exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,8.0,9.0,5.0,7.0,5.0,10.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,11.0,8.0,6.0,5.0,7.0,6.0,7.0,5.0,5.0,6.0,5.0,6.0
banjo,8.0,20.0,15.0,11.0,5.0,9.0,5.0,4.0,5.0,6.0,6.0,18.0,10.0,6.0,7.0,5.0,7.0,7.0,5.0,4.0,4.0,8.0,4.0,4.0,6.0,6.0,9.0
basgitaar,9.0,15.0,20.0,10.0,5.0,14.0,7.0,9.0,7.0,5.0,5.0,17.0,9.0,7.0,5.0,5.0,6.0,5.0,7.0,6.0,6.0,5.0,5.0,7.0,5.0,7.0,12.0
cello,5.0,11.0,10.0,20.0,8.0,17.0,5.0,4.0,6.0,5.0,7.0,11.0,8.0,9.0,8.0,6.0,5.0,5.0,7.0,5.0,8.0,4.0,4.0,6.0,5.0,5.0,18.0
cimbalen,7.0,5.0,5.0,8.0,20.0,7.0,5.0,11.0,4.0,5.0,8.0,6.0,9.0,6.0,3.0,6.0,6.0,4.0,6.0,5.0,6.0,14.0,12.0,8.0,9.0,6.0,5.0
contrabas,5.0,9.0,14.0,17.0,7.0,20.0,6.0,5.0,5.0,5.0,6.0,7.0,9.0,6.0,8.0,5.0,7.0,5.0,11.0,6.0,4.0,6.0,9.0,6.0,4.0,6.0,12.0
doedelzak,10.0,5.0,7.0,5.0,5.0,6.0,20.0,6.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,11.0,6.0,3.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,5.0
drumstel,4.0,4.0,9.0,4.0,11.0,5.0,6.0,20.0,5.0,5.0,5.0,13.0,5.0,5.0,1.0,6.0,5.0,4.0,5.0,6.0,4.0,8.0,7.0,4.0,18.0,5.0,7.0
dwarsfluit,5.0,5.0,7.0,6.0,4.0,5.0,5.0,5.0,20.0,7.0,12.0,6.0,6.0,8.0,6.0,5.0,5.0,12.0,5.0,7.0,4.0,6.0,4.0,7.0,6.0,6.0,6.0
fagot,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,20.0,10.0,4.0,5.0,12.0,6.0,8.0,5.0,6.0,4.0,11.0,4.0,7.0,4.0,7.0,5.0,6.0,6.0
fluit,5.0,6.0,5.0,7.0,8.0,6.0,4.0,5.0,12.0,10.0,20.0,5.0,5.0,13.0,6.0,7.0,10.0,18.0,6.0,6.0,4.0,7.0,9.0,7.0,8.0,10.0,8.0
gitaar,6.0,18.0,17.0,11.0,6.0,7.0,5.0,13.0,6.0,4.0,5.0,20.0,9.0,9.0,5.0,7.0,4.0,5.0,7.0,6.0,7.0,9.0,5.0,7.0,6.0,7.0,9.0
harp,6.0,10.0,9.0,8.0,9.0,9.0,5.0,5.0,6.0,5.0,5.0,9.0,20.0,6.0,10.0,4.0,7.0,7.0,5.0,6.0,4.0,6.0,6.0,6.0,3.0,7.0,8.0
klarinet,5.0,6.0,7.0,9.0,6.0,6.0,5.0,5.0,8.0,12.0,13.0,9.0,6.0,20.0,7.0,5.0,5.0,7.0,4.0,8.0,5.0,6.0,6.0,7.0,5.0,9.0,6.0
klavecimbel,4.0,7.0,5.0,8.0,3.0,8.0,5.0,1.0,6.0,6.0,6.0,5.0,10.0,7.0,20.0,7.0,10.0,5.0,19.0,5.0,13.0,6.0,9.0,5.0,6.0,5.0,8.0
mondharmonica,11.0,5.0,5.0,6.0,6.0,5.0,11.0,6.0,5.0,8.0,7.0,7.0,4.0,5.0,7.0,20.0,7.0,7.0,5.0,7.0,4.0,7.0,6.0,6.0,7.0,5.0,5.0
orgel,8.0,7.0,6.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,10.0,4.0,7.0,5.0,10.0,7.0,20.0,5.0,12.0,5.0,15.0,5.0,5.0,6.0,4.0,4.0,5.0
panfluit,6.0,7.0,5.0,5.0,4.0,5.0,3.0,4.0,12.0,6.0,18.0,5.0,7.0,7.0,5.0,7.0,5.0,20.0,4.0,6.0,4.0,10.0,8.0,9.0,4.0,8.0,6.0
piano,5.0,5.0,7.0,7.0,6.0,11.0,5.0,5.0,5.0,4.0,6.0,7.0,5.0,4.0,19.0,5.0,12.0,4.0,20.0,5.0,12.0,6.0,7.0,6.0,5.0,6.0,7.0
saxofoon,7.0,4.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,11.0,6.0,6.0,6.0,8.0,5.0,7.0,5.0,6.0,5.0,20.0,6.0,5.0,4.0,7.0,5.0,7.0,4.0
