exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,11.0,8.0,8.0,8.0,11.0,12.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,11.0,9.0,9.0,7.0,9.0,7.0,10.0,11.0,8.0,7.0,8.0,10.0
banjo,11.0,20.0,15.0,8.0,7.0,10.0,6.0,7.0,7.0,7.0,7.0,15.0,13.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,10.0,7.0,10.0,11.0,8.0,12.0
basgitaar,8.0,15.0,20.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,7.0,17.0,7.0,9.0,7.0,10.0,8.0,6.0,9.0,8.0,11.0,7.0,8.0,10.0,6.0,9.0,11.0
cello,8.0,8.0,8.0,20.0,6.0,14.0,8.0,9.0,7.0,8.0,8.0,13.0,13.0,7.0,10.0,11.0,9.0,9.0,12.0,8.0,8.0,7.0,6.0,7.0,8.0,12.0,12.0
cimbalen,8.0,7.0,10.0,6.0,20.0,7.0,6.0,15.0,7.0,7.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,6.0,13.0,8.0,9.0,14.0,6.0,7.0,9.0,9.0
contrabas,11.0,10.0,9.0,14.0,7.0,20.0,6.0,7.0,8.0,6.0,7.0,11.0,8.0,7.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,10.0
doedelzak,12.0,6.0,7.0,8.0,6.0,6.0,20.0,7.0,9.0,15.0,13.0,8.0,6.0,8.0,11.0,10.0,7.0,7.0,7.0,9.0,9.0,7.0,5.0,7.0,8.0,11.0,8.0
drumstel,9.0,7.0,6.0,9.0,15.0,7.0,7.0,20.0,9.0,8.0,7.0,10.0,7.0,9.0,7.0,7.0,7.0,7.0,9.0,6.0,7.0,11.0,7.0,12.0,15.0,7.0,8.0
dwarsfluit,8.0,7.0,8.0,7.0,7.0,8.0,9.0,9.0,20.0,12.0,18.0,8.0,6.0,14.0,8.0,10.0,9.0,16.0,10.0,12.0,6.0,7.0,9.0,14.0,7.0,12.0,8.0
fagot,8.0,7.0,7.0,8.0,7.0,6.0,15.0,8.0,12.0,20.0,15.0,8.0,7.0,14.0,7.0,9.0,7.0,11.0,8.0,13.0,7.0,7.0,8.0,12.0,8.0,13.0,9.0
fluit,8.0,7.0,7.0,8.0,8.0,7.0,13.0,7.0,18.0,15.0,20.0,8.0,9.0,16.0,8.0,13.0,9.0,13.0,10.0,13.0,8.0,9.0,9.0,11.0,9.0,13.0,12.0
gitaar,8.0,15.0,17.0,13.0,7.0,11.0,8.0,10.0,8.0,8.0,8.0,20.0,9.0,9.0,10.0,9.0,8.0,6.0,7.0,10.0,7.0,8.0,8.0,8.0,10.0,7.0,12.0
harp,8.0,13.0,7.0,13.0,8.0,8.0,6.0,7.0,6.0,7.0,9.0,9.0,20.0,9.0,12.0,9.0,8.0,8.0,12.0,11.0,8.0,6.0,8.0,10.0,7.0,7.0,9.0
klarinet,7.0,7.0,9.0,7.0,9.0,7.0,8.0,9.0,14.0,14.0,16.0,9.0,9.0,20.0,8.0,9.0,8.0,14.0,7.0,14.0,9.0,7.0,11.0,11.0,7.0,13.0,8.0
klavecimbel,10.0,8.0,7.0,10.0,8.0,10.0,11.0,7.0,8.0,7.0,8.0,10.0,12.0,8.0,20.0,8.0,16.0,9.0,14.0,9.0,4.0,8.0,7.0,7.0,9.0,10.0,8.0
mondharmonica,11.0,8.0,10.0,11.0,7.0,8.0,10.0,7.0,10.0,9.0,13.0,9.0,9.0,9.0,8.0,20.0,7.0,13.0,8.0,9.0,7.0,8.0,14.0,7.0,7.0,12.0,7.0
orgel,9.0,8.0,8.0,9.0,7.0,7.0,7.0,7.0,9.0,7.0,9.0,8.0,8.0,8.0,16.0,7.0,20.0,7.0,16.0,7.0,16.0,8.0,10.0,7.0,7.0,6.0,7.0
panfluit,9.0,8.0,6.0,9.0,7.0,8.0,7.0,7.0,16.0,11.0,13.0,6.0,8.0,14.0,9.0,13.0,7.0,20.0,8.0,8.0,7.0,9.0,11.0,11.0,8.0,11.0,7.0
piano,7.0,8.0,9.0,12.0,6.0,8.0,7.0,9.0,10.0,8.0,10.0,7.0,12.0,7.0,14.0,8.0,16.0,8.0,20.0,8.0,16.0,7.0,8.0,8.0,7.0,8.0,7.0
saxofoon,9.0,9.0,8.0,8.0,13.0,8.0,9.0,6.0,12.0,13.0,13.0,10.0,11.0,14.0,9.0,9.0,7.0,8.0,8.0,20.0,8.0,12.0,6.0,12.0,10.0,15.0,8.0
synthesizer,7.0,6.0,11.0,8.0,8.0,8.0,9.0,7.0,6.0,7.0,8.0,7.0,8.0,9.0,4.0,7.0,16.0,7.0,16.0,8.0,20.0,7.0,7.0,7.0,8.0,8.0,7.0
tamboerijn,10.0,10.0,7.0,7.0,9.0,7.0,7.0,11.0,7.0,7.0,9.0,8.0,6.0,7.0,8.0,8.0,8.0,9.0,7.0,12.0,7.0,20.0,11.0,7.0,8.0,11.0,8.0
triangel,11.0,7.0,8.0,6.0,14.0,6.0,5.0,7.0,9.0,8.0,9.0,8.0,8.0,11.0,7.0,14.0,10.0,11.0,8.0,6.0,7.0,11.0,20.0,7.0,9.0,6.0,8.0
trombone,8.0,10.0,10.0,7.0,6.0,8.0,7.0,12.0,14.0,12.0,11.0,8.0,10.0,11.0,7.0,7.0,7.0,11.0,8.0,12.0,7.0,7.0,7.0,20.0,7.0,17.0,13.0
trommel,7.0,11.0,6.0,8.0,7.0,8.0,8.0,15.0,7.0,8.0,9.0,10.0,7.0,7.0,9.0,7.0,7.0,8.0,7.0,10.0,8.0,8.0,9.0,7.0,20.0,8.0,10.0
trompet,8.0,8.0,9.0,12.0,9.0,8.0,11.0,7.0,12.0,13.0,13.0,7.0,7.0,13.0,10.0,12.0,6.0,11.0,8.0,15.0,8.0,11.0,6.0,17.0,8.0,20.0,10.0
viool,10.0,12.0,11.0,12.0,9.0,10.0,8.0,8.0,8.0,9.0,12.0,12.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,13.0,10.0,10.0,20.0
