exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,9.0,4.0,3.0,2.0,2.0,11.0,7.0,3.0,4.0,5.0,9.0,2.0,10.0,2.0,15.0,9.0,6.0,2.0,11.0,7.0,10.0,2.0,3.0,3.0,5.0,2.0
banjo,9.0,20.0,17.0,11.0,4.0,14.0,2.0,3.0,2.0,3.0,3.0,18.0,11.0,2.0,1.0,12.0,2.0,5.0,2.0,4.0,3.0,17.0,3.0,3.0,6.0,3.0,12.0
basgitaar,4.0,17.0,20.0,15.0,2.0,15.0,2.0,5.0,2.0,1.0,2.0,18.0,11.0,2.0,11.0,4.0,1.0,7.0,6.0,10.0,5.0,4.0,3.0,3.0,7.0,2.0,8.0
cello,3.0,11.0,15.0,20.0,2.0,11.0,2.0,2.0,3.0,3.0,1.0,14.0,14.0,2.0,3.0,2.0,4.0,2.0,6.0,2.0,2.0,9.0,3.0,3.0,3.0,2.0,17.0
cimbalen,2.0,4.0,2.0,2.0,20.0,3.0,2.0,10.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,9.0,17.0,15.0,3.0,9.0,1.0,2.0
contrabas,2.0,14.0,15.0,11.0,3.0,20.0,2.0,2.0,3.0,11.0,2.0,16.0,11.0,7.0,9.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,2.0,6.0
doedelzak,11.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,4.0,8.0,3.0,2.0,2.0,14.0,3.0,12.0,11.0,6.0,1.0,2.0,5.0,3.0,2.0,9.0,8.0,3.0,1.0
drumstel,7.0,3.0,5.0,2.0,10.0,2.0,2.0,20.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,10.0,13.0,11.0,2.0,15.0,2.0,5.0
dwarsfluit,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,20.0,17.0,16.0,2.0,2.0,14.0,2.0,14.0,11.0,17.0,8.0,9.0,1.0,3.0,1.0,12.0,2.0,3.0,4.0
fagot,4.0,3.0,1.0,3.0,2.0,11.0,8.0,1.0,17.0,20.0,18.0,2.0,3.0,19.0,3.0,10.0,12.0,4.0,2.0,17.0,1.0,2.0,2.0,12.0,2.0,9.0,5.0
fluit,5.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,16.0,18.0,20.0,1.0,2.0,14.0,2.0,9.0,9.0,14.0,6.0,5.0,2.0,2.0,3.0,11.0,1.0,6.0,2.0
gitaar,9.0,18.0,18.0,14.0,5.0,16.0,2.0,5.0,2.0,2.0,1.0,20.0,14.0,2.0,9.0,3.0,1.0,2.0,2.0,3.0,3.0,8.0,2.0,7.0,8.0,2.0,14.0
harp,2.0,11.0,11.0,14.0,1.0,11.0,2.0,2.0,2.0,3.0,2.0,14.0,20.0,9.0,14.0,3.0,3.0,8.0,8.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,16.0
klarinet,10.0,2.0,2.0,2.0,2.0,7.0,14.0,2.0,14.0,19.0,14.0,2.0,9.0,20.0,2.0,6.0,10.0,11.0,2.0,17.0,2.0,4.0,2.0,14.0,2.0,12.0,3.0
klavecimbel,2.0,1.0,11.0,3.0,2.0,9.0,3.0,2.0,2.0,3.0,2.0,9.0,14.0,2.0,20.0,2.0,1.0,2.0,17.0,2.0,12.0,9.0,2.0,3.0,5.0,4.0,13.0
mondharmonica,15.0,12.0,4.0,2.0,3.0,1.0,12.0,3.0,14.0,10.0,9.0,3.0,3.0,6.0,2.0,20.0,9.0,16.0,3.0,14.0,3.0,10.0,4.0,11.0,4.0,11.0,1.0
orgel,9.0,2.0,1.0,4.0,2.0,4.0,11.0,3.0,11.0,12.0,9.0,1.0,3.0,10.0,1.0,9.0,20.0,11.0,15.0,10.0,17.0,2.0,1.0,4.0,4.0,13.0,3.0
panfluit,6.0,5.0,7.0,2.0,1.0,3.0,6.0,2.0,17.0,4.0,14.0,2.0,8.0,11.0,2.0,16.0,11.0,20.0,2.0,11.0,2.0,3.0,11.0,4.0,3.0,5.0,1.0
piano,2.0,2.0,6.0,6.0,2.0,3.0,1.0,3.0,8.0,2.0,6.0,2.0,8.0,2.0,17.0,3.0,15.0,2.0,20.0,3.0,14.0,1.0,9.0,2.0,7.0,2.0,3.0
saxofoon,11.0,4.0,10.0,2.0,2.0,3.0,2.0,3.0,9.0,17.0,5.0,3.0,1.0,17.0,2.0,14.0,10.0,11.0,3.0,20.0,5.0,1.0,2.0,16.0,6.0,18.0,3.0
synthesizer,7.0,3.0,5.0,2.0,9.0,2.0,5.0,10.0,1.0,1.0,2.0,3.0,2.0,2.0,12.0,3.0,17.0,2.0,14.0,5.0,20.0,1.0,2.0,2.0,3.0,2.0,1.0
tamboerijn,10.0,17.0,4.0,9.0,17.0,3.0,3.0,13.0,3.0,2.0,2.0,8.0,3.0,4.0,9.0,10.0,2.0,3.0,1.0,1.0,1.0,20.0,14.0,3.0,15.0,4.0,2.0
triangel,2.0,3.0,3.0,3.0,15.0,3.0,2.0,11.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,11.0,9.0,2.0,2.0,14.0,20.0,2.0,9.0,2.0,2.0
trombone,3.0,3.0,3.0,3.0,3.0,2.0,9.0,2.0,12.0,12.0,11.0,7.0,2.0,14.0,3.0,11.0,4.0,4.0,2.0,16.0,2.0,3.0,2.0,20.0,2.0,18.0,8.0
trommel,3.0,6.0,7.0,3.0,9.0,5.0,8.0,15.0,2.0,2.0,1.0,8.0,1.0,2.0,5.0,4.0,4.0,3.0,7.0,6.0,3.0,15.0,9.0,2.0,20.0,3.0,3.0
trompet,5.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,9.0,6.0,2.0,1.0,12.0,4.0,11.0,13.0,5.0,2.0,18.0,2.0,4.0,2.0,18.0,3.0,20.0,2.0
viool,2.0,12.0,8.0,17.0,2.0,6.0,1.0,5.0,4.0,5.0,2.0,14.0,16.0,3.0,13.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,8.0,3.0,2.0,20.0
