exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,5.0,1.0,5.0,1.0,6.0,3.0,12.0,3.0,15.0,8.0,12.0,16.0,5.0,1.0,1.0,5.0,1.0,9.0,1.0
banjo,1.0,20.0,15.0,10.0,2.0,13.0,1.0,5.0,1.0,2.0,1.0,16.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,6.0,1.0,2.0,1.0,8.0
basgitaar,1.0,15.0,20.0,10.0,1.0,17.0,1.0,5.0,1.0,1.0,1.0,19.0,9.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,1.0,5.0,1.0,10.0
cello,1.0,10.0,10.0,20.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,18.0
cimbalen,1.0,2.0,1.0,2.0,20.0,1.0,1.0,17.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,5.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,14.0,3.0,1.0
contrabas,1.0,13.0,17.0,15.0,1.0,20.0,1.0,6.0,1.0,1.0,1.0,5.0,16.0,5.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,6.0,1.0,17.0
doedelzak,13.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,6.0,16.0,10.0,1.0,1.0,5.0,1.0,6.0,6.0,6.0,2.0,6.0,8.0,1.0,1.0,9.0,1.0,5.0,1.0
drumstel,1.0,5.0,5.0,1.0,17.0,6.0,1.0,20.0,1.0,2.0,1.0,2.0,6.0,1.0,3.0,1.0,6.0,16.0,5.0,1.0,8.0,15.0,1.0,4.0,15.0,1.0,1.0
dwarsfluit,5.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,20.0,1.0,18.0,1.0,1.0,9.0,1.0,5.0,5.0,17.0,1.0,5.0,1.0,1.0,1.0,9.0,1.0,6.0,1.0
fagot,1.0,2.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,20.0,10.0,1.0,1.0,8.0,1.0,6.0,8.0,5.0,1.0,12.0,4.0,1.0,1.0,15.0,3.0,15.0,1.0
