exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,9.0,9.0,19.0,2.0,3.0,2.0,2.0,5.0,8.0,2.0,5.0,2.0,4.0,1.0,15.0,2.0
beanie,2.0,20.0,2.0,2.0,2.0,1.0,15.0,3.0,2.0,3.0,15.0,2.0,5.0,3.0,1.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0
belt,2.0,2.0,20.0,3.0,3.0,2.0,3.0,5.0,3.0,9.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0
blouse,3.0,2.0,3.0,20.0,2.0,1.0,2.0,2.0,6.0,4.0,3.0,3.0,2.0,3.0,10.0,4.0,15.0,2.0,18.0,2.0,2.0,2.0,2.0,15.0,6.0,10.0,1.0,5.0,2.0
boots,1.0,2.0,3.0,2.0,20.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,12.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0
bra,2.0,1.0,2.0,1.0,2.0,20.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,1.0
cap,2.0,15.0,3.0,2.0,5.0,2.0,20.0,10.0,2.0,2.0,15.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,10.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0
coat,3.0,3.0,5.0,2.0,2.0,1.0,10.0,20.0,2.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,5.0,4.0,3.0,1.0,2.0,5.0,2.0,10.0,4.0,3.0,2.0,3.0,2.0
dress,2.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,20.0,8.0,5.0,5.0,4.0,4.0,5.0,3.0,15.0,4.0,2.0,2.0,9.0,10.0,3.0,2.0,1.0,5.0,4.0,6.0,5.0
dungarees,2.0,3.0,9.0,4.0,2.0,2.0,2.0,4.0,8.0,20.0,4.0,10.0,2.0,2.0,10.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,9.0,6.0,3.0,2.0,2.0,5.0
hat,2.0,15.0,2.0,3.0,4.0,2.0,15.0,1.0,5.0,4.0,20.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0
jeans,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,10.0,1.0,20.0,2.0,5.0,15.0,2.0,5.0,2.0,1.0,1.0,14.0,4.0,1.0,5.0,10.0,1.0,3.0,2.0,12.0
mittens,2.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,20.0,2.0,2.0,10.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0
panties,9.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,5.0,2.0,20.0,7.0,3.0,2.0,2.0,2.0,2.0,15.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,5.0
