exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,1.0,5.0,7.0,1.0,17.0,2.0,4.0,5.0,3.0,2.0,5.0,1.0,16.0,3.0,15.0,9.0,4.0,3.0,1.0,13.0,12.0,1.0,5.0,3.0,12.0,2.0,15.0,8.0
beanie,1.0,20.0,5.0,12.0,14.0,3.0,15.0,17.0,7.0,5.0,15.0,4.0,14.0,8.0,4.0,18.0,3.0,9.0,8.0,10.0,2.0,2.0,14.0,4.0,5.0,2.0,7.0,6.0,4.0
belt,5.0,5.0,20.0,9.0,6.0,2.0,6.0,5.0,4.0,10.0,5.0,14.0,6.0,5.0,10.0,8.0,5.0,5.0,5.0,7.0,10.0,3.0,5.0,14.0,8.0,8.0,14.0,5.0,5.0
blouse,7.0,12.0,9.0,20.0,2.0,10.0,12.0,11.0,15.0,8.0,9.0,5.0,5.0,5.0,9.0,8.0,15.0,10.0,15.0,4.0,9.0,8.0,9.0,12.0,15.0,9.0,4.0,15.0,11.0
boots,1.0,14.0,6.0,2.0,20.0,6.0,10.0,12.0,2.0,7.0,2.0,7.0,17.0,5.0,10.0,4.0,3.0,9.0,5.0,15.0,4.0,6.0,10.0,5.0,7.0,5.0,5.0,1.0,2.0
bra,17.0,3.0,2.0,10.0,6.0,20.0,7.0,3.0,12.0,4.0,2.0,10.0,2.0,17.0,7.0,10.0,16.0,4.0,12.0,2.0,15.0,16.0,14.0,15.0,6.0,11.0,4.0,15.0,12.0
cap,2.0,15.0,6.0,12.0,10.0,7.0,20.0,10.0,5.0,4.0,18.0,12.0,10.0,5.0,4.0,6.0,6.0,7.0,7.0,8.0,3.0,7.0,8.0,2.0,9.0,2.0,5.0,4.0,5.0
coat,4.0,17.0,5.0,11.0,12.0,3.0,10.0,20.0,13.0,12.0,10.0,14.0,14.0,4.0,14.0,14.0,2.0,14.0,15.0,12.0,4.0,9.0,10.0,10.0,10.0,11.0,5.0,14.0,7.0
dress,5.0,7.0,4.0,15.0,2.0,12.0,5.0,13.0,20.0,14.0,3.0,14.0,6.0,10.0,15.0,14.0,12.0,5.0,5.0,7.0,14.0,16.0,4.0,17.0,10.0,5.0,3.0,12.0,5.0
dungarees,3.0,5.0,10.0,8.0,7.0,4.0,4.0,12.0,14.0,20.0,6.0,17.0,8.0,7.0,18.0,4.0,15.0,6.0,12.0,12.0,14.0,8.0,13.0,2.0,10.0,14.0,8.0,14.0,10.0
hat,2.0,15.0,5.0,9.0,2.0,2.0,18.0,10.0,3.0,6.0,20.0,4.0,14.0,2.0,5.0,6.0,2.0,12.0,5.0,12.0,5.0,10.0,5.0,5.0,5.0,5.0,10.0,4.0,2.0
