exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,12.0,15.0,1.0,1.0,1.0,1.0,10.0,12.0,12.0,14.0,5.0,1.0,8.0,12.0,1.0,11.0,1.0,16.0,16.0,1.0,5.0,16.0,18.0,1.0,17.0,11.0,5.0,4.0
beanie,12.0,20.0,7.0,5.0,1.0,1.0,5.0,1.0,1.0,16.0,3.0,18.0,5.0,10.0,1.0,1.0,15.0,6.0,6.0,8.0,10.0,12.0,8.0,1.0,10.0,15.0,1.0,14.0,1.0
belt,15.0,7.0,20.0,15.0,1.0,3.0,11.0,1.0,1.0,15.0,6.0,4.0,1.0,15.0,14.0,10.0,1.0,8.0,14.0,2.0,15.0,12.0,6.0,1.0,1.0,12.0,18.0,4.0,12.0
blouse,1.0,5.0,15.0,20.0,5.0,14.0,1.0,10.0,5.0,18.0,5.0,1.0,1.0,1.0,14.0,18.0,10.0,16.0,15.0,1.0,5.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,4.0
boots,1.0,1.0,1.0,5.0,20.0,8.0,1.0,8.0,14.0,4.0,10.0,5.0,14.0,8.0,14.0,8.0,18.0,1.0,10.0,1.0,11.0,1.0,1.0,15.0,5.0,15.0,14.0,5.0,2.0
bra,1.0,1.0,3.0,14.0,8.0,20.0,1.0,1.0,1.0,10.0,4.0,4.0,15.0,6.0,4.0,17.0,8.0,9.0,5.0,5.0,5.0,5.0,10.0,5.0,1.0,1.0,8.0,1.0,5.0
cap,1.0,5.0,11.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0,10.0,3.0,1.0,5.0,14.0,1.0,8.0,5.0,1.0,7.0,5.0,8.0,1.0,14.0,8.0,5.0,1.0,1.0,10.0
coat,10.0,1.0,1.0,10.0,8.0,1.0,1.0,20.0,5.0,4.0,14.0,1.0,1.0,4.0,2.0,5.0,16.0,18.0,1.0,1.0,2.0,1.0,3.0,9.0,2.0,18.0,1.0,4.0,5.0
dress,12.0,1.0,1.0,5.0,14.0,1.0,1.0,5.0,20.0,5.0,10.0,7.0,1.0,11.0,2.0,16.0,14.0,15.0,1.0,1.0,4.0,7.0,11.0,2.0,10.0,1.0,5.0,12.0,8.0
dungarees,12.0,16.0,15.0,18.0,4.0,10.0,2.0,4.0,5.0,20.0,15.0,4.0,5.0,1.0,1.0,1.0,10.0,11.0,1.0,14.0,9.0,10.0,5.0,3.0,1.0,2.0,6.0,12.0,8.0
hat,14.0,3.0,6.0,5.0,10.0,4.0,10.0,14.0,10.0,15.0,20.0,1.0,11.0,14.0,10.0,1.0,1.0,12.0,14.0,16.0,15.0,1.0,15.0,1.0,15.0,4.0,14.0,1.0,5.0
jeans,5.0,18.0,4.0,1.0,5.0,4.0,3.0,1.0,7.0,4.0,1.0,20.0,5.0,10.0,12.0,1.0,8.0,18.0,13.0,15.0,1.0,1.0,1.0,3.0,5.0,5.0,2.0,14.0,4.0
mittens,1.0,5.0,1.0,1.0,14.0,15.0,1.0,1.0,1.0,5.0,11.0,5.0,20.0,5.0,3.0,5.0,14.0,18.0,5.0,12.0,12.0,12.0,1.0,2.0,2.0,1.0,8.0,1.0,10.0
panties,8.0,10.0,15.0,1.0,8.0,6.0,5.0,4.0,11.0,1.0,14.0,10.0,5.0,20.0,16.0,5.0,4.0,1.0,1.0,10.0,1.0,12.0,10.0,1.0,4.0,1.0,4.0,4.0,1.0
pants,12.0,1.0,14.0,14.0,14.0,4.0,14.0,2.0,2.0,1.0,10.0,12.0,3.0,16.0,20.0,1.0,4.0,4.0,19.0,1.0,5.0,1.0,1.0,10.0,16.0,1.0,1.0,5.0,16.0
pullover,1.0,1.0,10.0,18.0,8.0,17.0,1.0,5.0,16.0,1.0,1.0,1.0,5.0,5.0,1.0,20.0,1.0,8.0,1.0,5.0,2.0,15.0,5.0,8.0,1.0,14.0,1.0,5.0,14.0
pyjamas,11.0,15.0,1.0,10.0,18.0,8.0,8.0,16.0,14.0,10.0,1.0,8.0,14.0,4.0,4.0,1.0,20.0,5.0,11.0,18.0,1.0,4.0,1.0,15.0,4.0,5.0,10.0,1.0,16.0
scarf,1.0,6.0,8.0,16.0,1.0,9.0,5.0,18.0,15.0,11.0,12.0,18.0,18.0,1.0,4.0,8.0,5.0,20.0,1.0,14.0,14.0,6.0,6.0,12.0,15.0,16.0,13.0,1.0,14.0
shirt,16.0,6.0,14.0,15.0,10.0,5.0,1.0,1.0,1.0,1.0,14.0,13.0,5.0,1.0,19.0,1.0,11.0,1.0,20.0,15.0,12.0,12.0,1.0,1.0,5.0,12.0,12.0,14.0,5.0
shoes,16.0,8.0,2.0,1.0,1.0,5.0,7.0,1.0,1.0,14.0,16.0,15.0,12.0,10.0,1.0,5.0,18.0,14.0,15.0,20.0,1.0,1.0,1.0,18.0,10.0,1.0,5.0,6.0,20.0
shorts,1.0,10.0,15.0,5.0,11.0,5.0,5.0,2.0,4.0,9.0,15.0,1.0,12.0,1.0,5.0,2.0,1.0,14.0,12.0,1.0,20.0,12.0,17.0,5.0,10.0,8.0,11.0,16.0,12.0
skirt,5.0,12.0,12.0,2.0,1.0,5.0,8.0,1.0,7.0,10.0,1.0,1.0,12.0,12.0,1.0,15.0,4.0,6.0,12.0,1.0,12.0,20.0,18.0,8.0,12.0,14.0,1.0,5.0,1.0
socks,16.0,8.0,6.0,4.0,1.0,10.0,1.0,3.0,11.0,5.0,15.0,1.0,1.0,10.0,1.0,5.0,1.0,6.0,1.0,1.0,17.0,18.0,20.0,10.0,1.0,1.0,10.0,1.0,1.0
suit,18.0,1.0,1.0,1.0,15.0,5.0,14.0,9.0,2.0,3.0,1.0,3.0,2.0,1.0,10.0,8.0,15.0,12.0,1.0,18.0,5.0,8.0,10.0,20.0,1.0,6.0,4.0,1.0,11.0
sweater,1.0,10.0,1.0,5.0,5.0,1.0,8.0,2.0,10.0,1.0,15.0,5.0,2.0,4.0,16.0,1.0,4.0,15.0,5.0,10.0,10.0,12.0,1.0,1.0,20.0,8.0,1.0,1.0,1.0
t-shirt,17.0,15.0,12.0,1.0,15.0,1.0,5.0,18.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,14.0,5.0,16.0,12.0,1.0,8.0,14.0,1.0,6.0,8.0,20.0,5.0,1.0,1.0
tie,11.0,1.0,18.0,3.0,14.0,8.0,1.0,1.0,5.0,6.0,14.0,2.0,8.0,4.0,1.0,1.0,10.0,13.0,12.0,5.0,11.0,1.0,10.0,4.0,1.0,5.0,20.0,1.0,1.0
top,5.0,14.0,4.0,1.0,5.0,1.0,1.0,4.0,12.0,12.0,1.0,14.0,1.0,4.0,5.0,5.0,1.0,1.0,14.0,6.0,16.0,5.0,1.0,1.0,1.0,1.0,1.0,20.0,5.0
tracksuit,4.0,1.0,12.0,4.0,2.0,5.0,10.0,5.0,8.0,8.0,5.0,4.0,10.0,1.0,16.0,14.0,16.0,14.0,5.0,20.0,12.0,1.0,1.0,11.0,1.0,1.0,1.0,5.0,20.0
