exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,1.0,1.0,8.0,1.0,15.0,1.0,5.0,15.0,10.0,1.0,1.0,1.0,8.0,10.0,16.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,4.0
beanie,1.0,20.0,1.0,3.0,2.0,1.0,17.0,1.0,1.0,1.0,15.0,1.0,2.0,1.0,2.0,1.0,1.0,10.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
belt,1.0,1.0,20.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
blouse,8.0,3.0,2.0,20.0,1.0,9.0,1.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,10.0,1.0,20.0,1.0,1.0,2.0,1.0,6.0,11.0,12.0,1.0,15.0,1.0
boots,1.0,2.0,2.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,16.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bra,15.0,1.0,1.0,9.0,1.0,20.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,7.0,2.0,10.0,2.0
cap,1.0,17.0,3.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,15.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
coat,5.0,1.0,1.0,5.0,1.0,1.0,1.0,20.0,2.0,8.0,2.0,2.0,4.0,1.0,2.0,12.0,5.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,5.0,10.0
dress,15.0,1.0,1.0,14.0,2.0,7.0,1.0,2.0,20.0,3.0,1.0,1.0,1.0,3.0,12.0,4.0,5.0,1.0,2.0,2.0,1.0,15.0,1.0,16.0,9.0,7.0,2.0,7.0,3.0
dungarees,10.0,1.0,2.0,1.0,1.0,2.0,1.0,8.0,3.0,20.0,2.0,3.0,1.0,1.0,10.0,9.0,12.0,1.0,8.0,1.0,7.0,3.0,1.0,2.0,2.0,10.0,1.0,4.0,2.0
