exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beanie,1.0,20.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,17.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
belt,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0
blouse,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,12.0,12.0,15.0,1.0,12.0,1.0
boots,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0
bra,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0
cap,1.0,20.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
coat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,12.0,1.0,1.0,1.0,1.0
dress,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
dungarees,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
hat,1.0,20.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jeans,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,10.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
mittens,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,19.0,1.0,15.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
panties,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,12.0,1.0,12.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pants,2.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,12.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pullover,12.0,1.0,1.0,12.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,10.0,19.0,1.0,1.0,20.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,10.0,1.0
pyjamas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,20.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,10.0,1.0,12.0,1.0
scarf,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0
shirt,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,15.0,16.0,12.0,12.0,12.0,1.0
shoes,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
shorts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,18.0,1.0,14.0,20.0,1.0,12.0,1.0,1.0,1.0,20.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
skirt,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,12.0,20.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0
socks,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,1.0
suit,1.0,1.0,12.0,12.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,10.0,1.0,1.0
sweater,1.0,1.0,1.0,12.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,2.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0
t-shirt,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0
tie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,20.0,1.0,1.0
top,1.0,1.0,1.0,12.0,1.0,12.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,12.0,1.0,12.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0
tracksuit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
