feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
bestaat al lang,-3,0,-2,0,1,0,-3,0,3,1,2,2,0.08333333333333333,1.928651593652148
bestaat in verschillende groottes,-1,1,-2,0,-2,0,-3,2,1,2,2,1,0.08333333333333333,1.7298624923456323
bestaat in verschillende soorten,-2,1,-1,0,2,0,-3,0,1,2,2,1,0.25,1.6025547785276542
bestaat in verschillende vormen,-1,2,-1,0,0,0,-3,1,1,2,2,1,0.3333333333333333,1.497472618255253
bevat kogels,-1,3,2,-1,1,1,3,2,2,0,2,-3,0.9166666666666666,1.8319554050414562
dient om je te beschermen,0,2,1,1,2,2,-2,-2,-1,2,2,2,0.75,1.6025547785276542
gebruiksvoorwerp,2,0,-3,0,1,0,1,2,1,0,2,-1,0.4166666666666667,1.4433756729740643
gemaakt uit metaal,-1,-3,1,-3,-1,0,-3,1,1,0,2,1,-0.4166666666666667,1.7816403745544227
heeft een handvat,-3,-1,-1,-3,-2,-3,-3,0,1,1,-3,1,-1.3333333333333333,1.7232808737106582
heeft een loop,-2,3,2,-3,0,3,3,2,2,0,2,-3,0.75,2.3011854652449344
is gevaarlijk,3,2,2,1,3,1,2,3,3,3,3,3,2.4166666666666665,0.792961461098759
is gewelddadig,2,-3,2,2,3,1,2,2,2,3,3,2,1.75,1.6025547785276542
is hard,-3,2,1,2,0,0,-3,-2,0,0,-2,1,-0.3333333333333333,1.775250729197189
is onderhevig aan regels,-1,1,-2,-1,0,1,1,0,2,2,1,2,0.5,1.3142574813455419
is populair in Amerika,-1,3,-3,-2,-1,-1,0,0,3,3,0,-1,0.0,2.0
is verboden,1,3,0,-3,2,0,1,0,0,1,1,-1,0.4166666666666667,1.5050420310248864
is zwaar,-3,1,-1,-3,0,0,-3,-2,0,0,-3,-3,-1.4166666666666667,1.5642792899510294
is zwart,-3,1,1,-3,-2,0,-3,-2,0,0,-3,-3,-1.4166666666666667,1.6764862244009227
je kan er iemand mee doden,0,3,3,2,3,3,3,3,3,1,3,3,2.5,1.0
je kan er iemand mee verwonden,3,2,2,3,3,3,3,3,3,1,2,3,2.5833333333333335,0.6685579234215214
kan je mee schieten,1,3,-2,1,1,3,2,1,0,2,-3,3,1.0,1.9069251784911847
komt vaak voor in films,-2,1,0,-2,0,0,0,-1,-3,2,0,1,-0.3333333333333333,1.4354811251305468
moet je een wapenvergunning voor hebben,2,3,1,1,-1,3,1,2,2,1,1,2,1.5,1.087114613009218
vernielt,2,-1,2,1,2,1,2,2,3,3,-2,-3,1.0,1.954016841836789
vind je vaak in actiefilms,1,1,1,-1,0,1,1,1,2,3,0,1,0.9166666666666666,0.996204919895622
wordt alleen door mensen gebruikt,1,1,-2,1,3,2,1,0,-3,0,-3,1,0.16666666666666666,1.8989630344113089
wordt gebruikt bij sport,-2,1,-1,-3,-3,0,-3,-2,-2,0,1,-3,-1.4166666666666667,1.5642792899510296
wordt gebruikt door criminelen,3,2,2,2,3,2,2,1,3,3,3,1,2.25,0.7537783614444091
wordt gebruikt door politie,2,3,2,2,2,1,2,2,2,1,2,1,1.8333333333333333,0.5773502691896257
wordt gebruikt door soldaten,1,3,2,2,2,1,3,3,3,1,2,1,2.0,0.8528028654224418
wordt gebruikt om oorlog te voeren,3,3,2,3,2,3,3,3,3,3,3,3,2.8333333333333335,0.38924947208076144
wordt gebruikt om te jagen,2,3,1,2,1,2,3,2,3,2,3,3,2.25,0.7537783614444091
