feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
bouwt nesten,3,3,3,3,3,2,2,2,2,3,3,3,2.6666666666666665,0.4923659639173309
eet kleine dieren,2,1,1,0,2,0,3,1,2,1,2,1,1.3333333333333333,0.8876253645985945
eet wormen,3,2,2,1,2,2,3,3,-2,0,2,2,1.6666666666666667,1.4354811251305468
fladdert,2,2,-1,3,2,3,2,2,3,3,3,2,2.1666666666666665,1.1146408580454257
fluit,2,2,2,3,1,2,1,-1,-3,3,1,3,1.3333333333333333,1.775250729197189
heeft een bek,3,3,3,2,1,3,3,3,2,2,2,3,2.5,0.674199862463242
heeft een snavel,3,3,3,1,2,3,3,3,3,3,3,3,2.75,0.621581560508061
heeft luchtzakken,-3,2,2,1,-3,1,1,1,3,-3,3,3,0.6666666666666666,2.3484359721209165
heeft poten,0,1,1,2,-3,2,3,-1,1,1,1,1,0.75,1.5447859516333116
heeft twee poten,3,3,3,1,3,2,3,0,3,3,3,3,2.5,1.0
heeft twee vleugels,3,3,3,2,3,3,3,3,0,3,3,3,2.6666666666666665,0.8876253645985945
heeft veren,3,3,3,3,2,2,3,3,3,3,3,3,2.8333333333333335,0.38924947208076144
heeft vleugels,3,3,3,3,2,2,3,2,3,3,3,3,2.75,0.45226701686664544
in kooi,1,2,1,-1,1,2,1,1,-3,0,1,2,0.6666666666666666,1.4354811251305466
is een dier,3,3,3,1,3,2,3,-1,3,3,3,3,2.4166666666666665,1.2401124093721456
is een trekvogel,2,1,1,-1,2,2,-1,3,-3,3,2,1,1.0,1.8090680674665818
kan lopen,-1,1,1,1,-2,-2,3,0,-1,-1,0,1,0.0,1.4770978917519928
kan vliegen,2,3,3,3,2,2,3,3,3,3,3,3,2.75,0.45226701686664544
kan zich voortplanten,-3,1,-3,2,-2,-1,3,0,0,1,-3,-1,-0.5,2.0225995873897262
kraait 's morgens,1,1,-3,0,-2,2,-2,3,-3,1,1,1,0.0,2.0
kraaloogjes,3,3,2,-2,1,3,1,-2,-3,-3,1,2,0.5,2.354878881270658
leeft in het wild,2,2,3,1,0,1,1,-2,-3,3,2,3,1.0833333333333333,1.928651593652148
legt eieren,3,3,3,2,2,2,3,1,3,3,3,3,2.5833333333333335,0.6685579234215214
tsjilpt,1,2,2,2,1,1,2,3,-3,1,2,2,1.3333333333333333,1.4974726182552527
vind je in bomen,1,2,-2,-1,1,2,3,1,0,2,1,2,1.0,1.4142135623730951
wordt soms als huisdier gehouden,-3,0,-2,-2,-1,1,1,-1,0,-2,-3,-2,-1.1666666666666667,1.403458930534474
wordt soms door mensen gegeten,-3,0,-3,-3,-1,1,0,0,0,-3,-3,0,-1.25,1.6025547785276542
zingt,1,1,1,2,1,2,2,-3,-3,-3,1,3,0.4166666666666667,2.151461800448216
