feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
bestaat al lang,0,3,3,-2,-2,-3,1,3,1,0,-3,-3,-0.16666666666666666,2.4058010698889443
bestaat in verschillende groottes,0,0,-3,0,1,-1,0,-2,-2,2,0,-1,-0.5,1.381698559415515
bestaat in verschillende kleuren,3,3,3,3,-2,3,0,2,1,-2,0,2,1.3333333333333333,1.9227505550564006
bestaat in verschillende merken,3,3,3,3,-3,-3,-3,3,1,-1,2,-3,0.4166666666666667,2.7784342658585555
bestaat in verschillende soorten,3,3,3,3,0,3,0,3,1,-1,3,2,1.9166666666666667,1.5050420310248864
bestaat in verschillende vormen,3,3,3,3,0,3,1,1,2,-1,2,-3,1.4166666666666667,1.928651593652148
er zijn verschillende types van,1,0,-1,0,1,-1,0,2,-1,1,0,1,0.25,0.9653072991634227
geeft je vrijheid,1,1,0,1,0,0,1,0,1,1,1,-1,0.5,0.674199862463242
gemaakt uit metaal,2,1,3,3,0,1,1,1,1,0,1,0,1.1666666666666667,1.0298573010888745
heeft een motor,3,3,2,2,3,1,1,3,2,0,1,3,2.0,1.044465935734187
heeft een stuur,3,3,3,3,1,1,1,3,2,-2,3,3,2.0,1.5374122295716148
heeft een technische evolutie doorgemaakt,0,1,-3,1,1,2,1,0,2,2,1,2,0.8333333333333334,1.403458930534474
heeft wielen,3,1,3,3,3,-1,2,3,2,0,2,3,2.0,1.348399724926484
is duur,1,3,1,1,-2,2,-3,3,1,0,-2,-3,0.16666666666666666,2.167249338901663
is een auto,3,-2,3,1,2,3,2,3,0,3,-2,3,1.5833333333333333,1.9286515936521476
is handig,2,1,3,2,-2,1,0,1,1,0,2,3,1.1666666666666667,1.403458930534474
is milieuvervuilend,1,1,2,2,-3,0,3,1,2,-1,-2,1,0.5833333333333334,1.781640374554423
is milieuvriendelijk,-2,-2,-2,1,-1,1,3,-3,-2,2,-2,-2,-0.75,1.9598237397554634
is onmisbaar,1,-1,-3,-1,-3,-1,0,1,1,2,1,0,-0.25,1.6025547785276542
is snel,1,1,-2,1,1,0,1,2,3,1,0,2,0.9166666666666666,1.2401124093721456
je kan er dingen mee vervoeren,3,3,1,1,1,3,3,3,3,2,2,3,2.3333333333333335,0.8876253645985945
je kan je ermee verplaatsen,3,3,-3,3,1,3,3,3,3,2,3,3,2.25,1.764549903980152
kan bewegen,3,2,0,2,-1,1,3,-1,2,2,1,2,1.3333333333333333,1.3706888336846836
kan je met meerdere personen inzitten,2,2,-3,1,1,0,2,0,2,1,0,1,0.75,1.4222261679238197
kan ongelukken veroorzaken,1,2,-2,1,-1,-1,1,0,-1,0,1,0,0.08333333333333333,1.1645001528813153
kan statussymbool zijn,2,3,3,0,0,2,3,2,1,1,2,-2,1.4166666666666667,1.5050420310248864
koop je in de winkel,1,-1,-3,0,-1,-2,1,-2,0,-1,0,-2,-0.8333333333333334,1.2673044646258476
maakt lawaai,1,2,2,2,-2,2,2,3,1,0,2,2,1.4166666666666667,1.3113721705515067
verbruikt brandstof,2,2,2,2,0,-1,1,1,2,0,0,0,0.9166666666666666,1.0836246694508318
verplaats je je sneller mee dan te voet,3,3,2,3,1,3,3,2,2,2,2,2,2.3333333333333335,0.6513389472789297
wordt bestuurd,3,2,3,2,1,0,2,1,2,3,2,2,1.9166666666666667,0.90033663737852
wordt gebruikt voor lange afstanden,3,-1,2,2,3,1,2,3,2,2,1,3,1.9166666666666667,1.1645001528813153
wordt mechanisch aangedreven,3,2,-3,2,1,1,2,0,-2,0,2,1,0.75,1.764549903980152
wordt veel gebruikt,2,2,-3,-2,1,-1,0,1,1,3,1,1,0.5,1.7320508075688772
