exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
adjustable spanner,12.0,13.0,11.0,3.0,13.0,7.0,9.0,5.0,3.0,6.0,20.0,4.0,5.0,9.0,5.0,10.0,13.0,4.0,8.0,13.0
anvil,,20.0,22.0,27.0,26.0,20.0,25.0,22.0,29.0,27.0,30.0,29.0,13.0,26.0,12.0,28.0,23.0,24.0,27.0,28.0
axe,5.0,7.0,19.0,14.0,4.0,12.0,6.0,8.0,5.0,19.0,12.0,16.0,4.0,14.0,7.0,7.0,4.0,12.0,6.0,9.0
chisel,6.0,4.0,6.0,6.0,7.0,4.0,3.0,15.0,9.0,15.0,8.0,7.0,2.0,11.0,16.0,20.0,14.0,7.0,10.0,7.0
clamp,25.0,15.0,17.0,18.0,15.0,15.0,12.0,23.0,12.0,18.0,29.0,18.0,11.0,20.0,13.0,24.0,24.0,9.0,18.0,21.0
crowbar (breekijzer),,12.0,12.0,12.0,21.0,6.0,5.0,24.0,17.0,12.0,11.0,21.0,21.0,28.0,15.0,9.0,7.0,19.0,14.0,6.0
crowbar (koevoet),16.0,21.0,15.0,13.0,12.0,26.0,15.0,27.0,16.0,16.0,7.0,22.0,14.0,27.0,10.0,16.0,6.0,20.0,15.0,18.0
drill,18.0,6.0,7.0,21.0,3.0,10.0,18.0,1.0,7.0,4.0,14.0,5.0,8.0,15.0,9.0,1.0,2.0,10.0,16.0,11.0
file,21.0,26.0,9.0,9.0,16.0,18.0,8.0,29.0,10.0,17.0,21.0,6.0,25.0,21.0,6.0,18.0,16.0,15.0,12.0,16.0
filling knife,17.0,,16.0,8.0,9.0,19.0,21.0,18.0,23.0,8.0,27.0,12.0,17.0,18.0,19.0,26.0,17.0,11.0,13.0,23.0
grinding disc,13.0,23.0,8.0,20.0,28.0,9.0,19.0,10.0,27.0,22.0,15.0,13.0,15.0,10.0,17.0,19.0,3.0,14.0,23.0,8.0
hammer,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,10.0,1.0,1.0,1.0
knife,11.0,2.0,18.0,15.0,17.0,29.0,10.0,13.0,11.0,11.0,1.0,11.0,28.0,7.0,14.0,12.0,15.0,17.0,9.0,5.0
lawn mower,26.0,25.0,28.0,24.0,27.0,25.0,23.0,26.0,21.0,23.0,16.0,17.0,26.0,30.0,26.0,5.0,26.0,28.0,29.0,24.0
level,22.0,8.0,13.0,23.0,14.0,16.0,14.0,16.0,14.0,9.0,24.0,10.0,24.0,5.0,22.0,18.0,25.0,16.0,22.0,10.0
nail,15.0,5.0,27.0,30.0,30.0,13.0,29.0,6.0,25.0,26.0,9.0,27.0,23.0,3.0,20.0,4.0,28.0,21.0,5.0,30.0
oil can,19.0,28.0,20.0,26.0,18.0,22.0,21.0,25.0,26.0,21.0,23.0,28.0,20.0,17.0,18.0,22.0,22.0,26.0,26.0,26.0
paint brush,9.0,27.0,24.0,25.0,20.0,24.0,27.0,17.0,18.0,23.0,22.0,15.0,22.0,25.0,23.0,21.0,21.0,23.0,19.0,14.0
pickaxe,10.0,16.0,21.0,10.0,11.0,27.0,20.0,9.0,19.0,14.0,18.0,19.0,12.0,12.0,,11.0,5.0,13.0,21.0,20.0
plane,24.0,11.0,14.0,15.0,19.0,17.0,13.0,19.0,13.0,10.0,25.0,9.0,,19.0,,8.0,,8.0,20.0,15.0
plough,20.0,22.0,26.0,16.0,23.0,21.0,22.0,21.0,30.0,28.0,26.0,30.0,19.0,22.0,21.0,30.0,1.0,22.0,28.0,25.0
rope,23.0,24.0,30.0,29.0,29.0,14.0,26.0,28.0,20.0,25.0,10.0,25.0,27.0,24.0,24.0,29.0,29.0,30.0,24.0,22.0
saw,4.0,17.0,2.0,7.0,2.0,2.0,2.0,2.0,6.0,3.0,4.0,3.0,9.0,13.0,8.0,3.0,8.0,6.0,3.0,3.0
screwdriver,7.0,9.0,3.0,3.0,8.0,3.0,17.0,4.0,2.0,2.0,3.0,1.0,16.0,2.0,3.0,2.0,11.0,2.0,4.0,2.0
shovel,8.0,3.0,5.0,11.0,10.0,8.0,7.0,7.0,4.0,13.0,6.0,14.0,6.0,8.0,4.0,13.0,18.0,18.0,7.0,4.0
tongs,2.0,10.0,4.0,4.0,5.0,5.0,4.0,12.0,24.0,7.0,5.0,20.0,3.0,4.0,2.0,15.0,9.0,5.0,2.0,12.0
vacuum cleaner,27.0,14.0,29.0,28.0,25.0,28.0,28.0,30.0,28.0,30.0,17.0,26.0,29.0,29.0,25.0,14.0,27.0,29.0,30.0,29.0
wheelbarrow,14.0,18.0,25.0,22.0,6.0,23.0,24.0,14.0,22.0,24.0,19.0,23.0,10.0,6.0,27.0,27.0,19.0,27.0,17.0,17.0
wire brush,,29.0,23.0,17.0,22.0,,11.0,20.0,15.0,20.0,28.0,24.0,18.0,23.0,,23.0,20.0,25.0,25.0,27.0
wrench,3.0,19.0,10.0,5.0,24.0,11.0,16.0,11.0,8.0,5.0,13.0,8.0,7.0,16.0,11.0,17.0,12.0,3.0,11.0,19.0
