exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
(hot air) balloon,13.0,24.0,27.0,21.0,25.0,23.0,21.0,28.0,25.0,22.0,20.0,28.0,19.0,18.0,27.0,17.0,23.0,27.0,25.0,24.0
airplane,10.0,9.0,23.0,18.0,18.0,11.0,13.0,3.0,3.0,4.0,11.0,14.0,10.0,13.0,8.0,11.0,13.0,17.0,13.0,5.0
bicycle,2.0,2.0,8.0,2.0,14.0,9.0,2.0,16.0,9.0,6.0,2.0,5.0,4.0,14.0,2.0,14.0,8.0,16.0,2.0,2.0
boat,17.0,14.0,24.0,17.0,13.0,12.0,16.0,18.0,15.0,3.0,12.0,15.0,5.0,12.0,12.0,24.0,7.0,15.0,14.0,17.0
bus,23.0,3.0,4.0,3.0,2.0,2.0,7.0,4.0,4.0,10.0,3.0,11.0,2.0,9.0,3.0,5.0,2.0,2.0,9.0,7.0
car,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
carriage,18.0,18.0,18.0,22.0,19.0,22.0,17.0,19.0,19.0,20.0,25.0,24.0,7.0,22.0,16.0,27.0,20.0,20.0,21.0,9.0
cart,21.0,20.0,15.0,20.0,22.0,18.0,27.0,20.0,20.0,19.0,24.0,23.0,26.0,20.0,29.0,20.0,26.0,18.0,22.0,4.0
go-cart,19.0,21.0,25.0,29.0,28.0,28.0,24.0,24.0,21.0,24.0,19.0,21.0,21.0,16.0,22.0,15.0,27.0,29.0,24.0,23.0
helicopter,29.0,22.0,26.0,14.0,17.0,21.0,19.0,9.0,17.0,7.0,13.0,20.0,11.0,21.0,26.0,28.0,12.0,21.0,18.0,15.0
hovercraft,8.0,,,26.0,26.0,27.0,23.0,21.0,16.0,,17.0,22.0,28.0,25.0,19.0,22.0,24.0,24.0,26.0,28.0
jeep,25.0,19.0,10.0,12.0,7.0,17.0,5.0,14.0,12.0,9.0,7.0,19.0,13.0,7.0,20.0,4.0,17.0,10.0,5.0,20.0
kick scooter,9.0,26.0,20.0,23.0,21.0,15.0,14.0,27.0,28.0,25.0,21.0,7.0,29.0,26.0,23.0,23.0,15.0,22.0,20.0,19.0
motorbike (brommer),5.0,6.0,6.0,6.0,15.0,14.0,6.0,12.0,8.0,16.0,8.0,4.0,17.0,3.0,5.0,8.0,6.0,4.0,6.0,10.0
motorbike (moto),6.0,10.0,3.0,16.0,11.0,7.0,4.0,11.0,6.0,5.0,18.0,6.0,15.0,6.0,9.0,21.0,18.0,13.0,3.0,6.0
rocket,26.0,28.0,29.0,30.0,30.0,31.0,25.0,26.0,29.0,23.0,22.0,30.0,14.0,29.0,25.0,29.0,22.0,23.0,28.0,26.0
scooter,7.0,11.0,7.0,5.0,16.0,8.0,3.0,15.0,7.0,17.0,9.0,17.0,14.0,8.0,10.0,13.0,4.0,5.0,7.0,11.0
skateboard,24.0,17.0,19.0,27.0,29.0,25.0,29.0,30.0,30.0,26.0,30.0,16.0,21.0,24.0,24.0,18.0,30.0,28.0,29.0,30.0
sled,30.0,25.0,22.0,28.0,24.0,24.0,28.0,29.0,27.0,27.0,26.0,25.0,22.0,28.0,30.0,26.0,29.0,25.0,23.0,22.0
submarine,28.0,27.0,28.0,24.0,27.0,30.0,22.0,22.0,23.0,,27.0,26.0,30.0,,21.0,25.0,16.0,30.0,,25.0
subway train,16.0,13.0,16.0,8.0,9.0,19.0,15.0,6.0,18.0,11.0,28.0,12.0,18.0,11.0,11.0,16.0,10.0,8.0,10.0,13.0
taxi,15.0,15.0,9.0,11.0,8.0,16.0,10.0,10.0,11.0,8.0,10.0,13.0,12.0,17.0,18.0,12.0,9.0,9.0,4.0,12.0
tractor,12.0,16.0,17.0,13.0,20.0,26.0,20.0,23.0,22.0,21.0,15.0,18.0,9.0,23.0,14.0,10.0,14.0,19.0,19.0,21.0
trailer,20.0,23.0,14.0,19.0,12.0,20.0,26.0,17.0,24.0,24.0,29.0,27.0,23.0,27.0,17.0,19.0,28.0,14.0,15.0,29.0
train,22.0,7.0,2.0,4.0,4.0,10.0,11.0,2.0,2.0,2.0,5.0,9.0,20.0,2.0,6.0,9.0,3.0,3.0,17.0,3.0
tram,27.0,12.0,11.0,7.0,6.0,13.0,9.0,5.0,5.0,12.0,16.0,10.0,16.0,4.0,13.0,7.0,5.0,12.0,8.0,8.0
truck (camion),11.0,8.0,12.0,15.0,5.0,4.0,18.0,7.0,13.0,13.0,14.0,3.0,8.0,15.0,15.0,2.0,11.0,7.0,11.0,16.0
truck (vrachtwagen),3.0,5.0,13.0,9.0,3.0,5.0,12.0,8.0,10.0,14.0,4.0,2.0,6.0,5.0,7.0,3.0,21.0,6.0,16.0,18.0
van,4.0,4.0,5.0,10.0,10.0,6.0,8.0,13.0,14.0,15.0,6.0,8.0,3.0,10.0,4.0,6.0,15.0,11.0,12.0,14.0
zeppelin,14.0,29.0,30.0,25.0,23.0,29.0,22.0,25.0,26.0,18.0,23.0,29.0,24.0,19.0,28.0,30.0,19.0,26.0,27.0,21.0
