exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,6.0,13.0,12.0,8.0,11.0,8.0,15.0,8.0,11.0,11.0,8.0,11.0,5.0,8.0,11.0,7.0,8.0,18.0,8.0,17.0,19.0,3.0,5.0,11.0,14.0,9.0,8.0,11.0,9.0
ballet,6.0,20.0,4.0,3.0,8.0,4.0,5.0,9.0,5.0,4.0,4.0,4.0,14.0,2.0,13.0,11.0,7.0,5.0,5.0,4.0,7.0,5.0,16.0,8.0,8.0,4.0,5.0,6.0,3.0,8.0
baseball,13.0,4.0,20.0,16.0,7.0,8.0,8.0,11.0,16.0,11.0,6.0,9.0,4.0,17.0,11.0,7.0,8.0,2.0,9.0,8.0,8.0,14.0,10.0,6.0,16.0,17.0,5.0,9.0,7.0,7.0
basketbal,12.0,3.0,16.0,20.0,7.0,11.0,8.0,17.0,15.0,17.0,4.0,16.0,6.0,9.0,3.0,4.0,7.0,2.0,8.0,12.0,3.0,14.0,8.0,7.0,17.0,17.0,8.0,11.0,4.0,9.0
biljarten,8.0,8.0,7.0,7.0,20.0,12.0,14.0,4.0,2.0,6.0,8.0,12.0,2.0,3.0,12.0,11.0,7.0,11.0,6.0,7.0,12.0,7.0,7.0,8.0,11.0,4.0,8.0,8.0,7.0,7.0
boksen,11.0,4.0,8.0,11.0,12.0,20.0,8.0,11.0,12.0,8.0,8.0,7.0,8.0,14.0,11.0,15.0,8.0,7.0,13.0,10.0,10.0,13.0,8.0,4.0,9.0,4.0,12.0,9.0,8.0,10.0
golf,8.0,5.0,8.0,8.0,14.0,8.0,20.0,10.0,4.0,17.0,8.0,7.0,8.0,8.0,8.0,5.0,7.0,9.0,11.0,12.0,12.0,11.0,6.0,12.0,4.0,6.0,15.0,8.0,9.0,2.0
handbal,15.0,9.0,11.0,17.0,4.0,11.0,10.0,20.0,9.0,13.0,6.0,4.0,10.0,13.0,7.0,4.0,8.0,7.0,8.0,4.0,9.0,14.0,7.0,8.0,19.0,19.0,11.0,12.0,5.0,8.0
hardlopen,8.0,5.0,16.0,15.0,2.0,12.0,4.0,9.0,20.0,14.0,3.0,11.0,18.0,13.0,6.0,11.0,5.0,7.0,8.0,12.0,17.0,11.0,17.0,16.0,17.0,11.0,19.0,14.0,4.0,13.0
ijshockey,11.0,4.0,11.0,17.0,6.0,8.0,17.0,13.0,14.0,20.0,7.0,3.0,5.0,17.0,2.0,6.0,15.0,6.0,4.0,15.0,9.0,9.0,8.0,8.0,17.0,12.0,4.0,11.0,3.0,4.0
judo,11.0,4.0,6.0,4.0,8.0,8.0,8.0,6.0,3.0,7.0,20.0,7.0,8.0,9.0,6.0,8.0,6.0,7.0,12.0,8.0,11.0,9.0,12.0,10.0,4.0,8.0,4.0,6.0,10.0,4.0
kogelstoten,8.0,4.0,9.0,16.0,12.0,7.0,7.0,4.0,11.0,3.0,7.0,20.0,8.0,11.0,2.0,4.0,4.0,4.0,6.0,9.0,8.0,9.0,11.0,13.0,11.0,4.0,7.0,7.0,4.0,7.0
paardrijden,11.0,14.0,4.0,6.0,2.0,8.0,8.0,10.0,18.0,5.0,8.0,8.0,20.0,4.0,12.0,4.0,11.0,12.0,3.0,4.0,7.0,4.0,8.0,4.0,6.0,4.0,15.0,6.0,7.0,8.0
rugby,5.0,2.0,17.0,9.0,3.0,14.0,8.0,13.0,13.0,17.0,9.0,11.0,4.0,20.0,7.0,6.0,4.0,7.0,5.0,5.0,7.0,8.0,4.0,4.0,15.0,13.0,7.0,9.0,7.0,3.0
schaken,8.0,13.0,11.0,3.0,12.0,11.0,8.0,7.0,6.0,2.0,6.0,2.0,12.0,7.0,20.0,12.0,2.0,14.0,2.0,6.0,4.0,11.0,4.0,2.0,6.0,12.0,14.0,9.0,6.0,3.0
schermen,11.0,11.0,7.0,4.0,11.0,15.0,5.0,4.0,11.0,6.0,8.0,4.0,4.0,6.0,12.0,20.0,4.0,7.0,13.0,5.0,12.0,11.0,8.0,9.0,4.0,9.0,8.0,8.0,2.0,5.0
skiën,7.0,7.0,8.0,7.0,7.0,8.0,7.0,8.0,5.0,15.0,6.0,4.0,11.0,4.0,2.0,4.0,20.0,4.0,6.0,17.0,6.0,4.0,4.0,6.0,5.0,9.0,7.0,7.0,5.0,7.0
sportvissen,8.0,5.0,2.0,2.0,11.0,7.0,9.0,7.0,7.0,6.0,7.0,4.0,12.0,7.0,14.0,7.0,4.0,20.0,7.0,11.0,4.0,6.0,8.0,11.0,5.0,6.0,15.0,7.0,15.0,14.0
squash,18.0,5.0,9.0,8.0,6.0,13.0,11.0,8.0,8.0,4.0,12.0,6.0,3.0,5.0,2.0,13.0,6.0,7.0,20.0,4.0,16.0,19.0,8.0,12.0,9.0,13.0,11.0,8.0,6.0,9.0
