exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,4.0,5.0,6.0,2.0,4.0,3.0,3.0,6.0,4.0,5.0,4.0,4.0,3.0,4.0,9.0,5.0,3.0,15.0,6.0,14.0,16.0,5.0,5.0,3.0,7.0,5.0,4.0,5.0,4.0
ballet,4.0,20.0,3.0,6.0,5.0,2.0,4.0,4.0,7.0,4.0,9.0,4.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,8.0,5.0,6.0,14.0,6.0,11.0,4.0,7.0,3.0,4.0,6.0
baseball,5.0,3.0,20.0,6.0,3.0,6.0,3.0,12.0,9.0,11.0,6.0,4.0,5.0,15.0,2.0,6.0,5.0,2.0,5.0,5.0,4.0,13.0,4.0,8.0,10.0,4.0,4.0,4.0,5.0,3.0
basketbal,6.0,6.0,6.0,20.0,2.0,6.0,3.0,16.0,7.0,5.0,5.0,4.0,7.0,3.0,2.0,4.0,4.0,3.0,8.0,6.0,4.0,6.0,5.0,5.0,8.0,11.0,6.0,5.0,6.0,6.0
biljarten,2.0,5.0,3.0,2.0,20.0,2.0,14.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,16.0,6.0,2.0,13.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0
boksen,4.0,2.0,6.0,6.0,2.0,20.0,3.0,6.0,6.0,5.0,6.0,5.0,5.0,11.0,2.0,6.0,6.0,3.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0
golf,3.0,4.0,3.0,3.0,14.0,3.0,20.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,7.0,5.0,3.0,6.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,8.0,2.0,3.0,3.0
handbal,3.0,4.0,12.0,16.0,4.0,6.0,3.0,20.0,6.0,6.0,5.0,8.0,7.0,8.0,2.0,6.0,5.0,3.0,7.0,5.0,4.0,5.0,4.0,6.0,7.0,11.0,7.0,5.0,5.0,5.0
hardlopen,6.0,7.0,9.0,7.0,2.0,6.0,2.0,6.0,20.0,6.0,5.0,6.0,7.0,9.0,2.0,10.0,7.0,2.0,12.0,5.0,6.0,5.0,6.0,9.0,9.0,6.0,16.0,5.0,5.0,6.0
ijshockey,4.0,4.0,11.0,5.0,2.0,5.0,3.0,6.0,6.0,20.0,4.0,3.0,4.0,8.0,2.0,4.0,7.0,2.0,5.0,5.0,3.0,5.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,5.0
judo,5.0,9.0,6.0,5.0,2.0,6.0,3.0,5.0,5.0,4.0,20.0,5.0,5.0,12.0,3.0,7.0,4.0,2.0,6.0,5.0,6.0,4.0,7.0,5.0,4.0,4.0,6.0,5.0,5.0,6.0
kogelstoten,4.0,4.0,4.0,4.0,3.0,5.0,4.0,8.0,6.0,3.0,5.0,20.0,4.0,6.0,3.0,7.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,8.0,4.0,4.0,6.0,5.0,4.0,5.0
paardrijden,4.0,3.0,5.0,7.0,2.0,5.0,3.0,7.0,7.0,4.0,5.0,4.0,20.0,8.0,3.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,11.0
rugby,3.0,3.0,15.0,3.0,2.0,11.0,2.0,8.0,9.0,8.0,12.0,6.0,8.0,20.0,2.0,4.0,4.0,2.0,6.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,6.0,4.0,6.0,6.0
schaken,4.0,3.0,2.0,2.0,16.0,2.0,7.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,20.0,3.0,2.0,12.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0
schermen,9.0,8.0,6.0,4.0,6.0,6.0,5.0,6.0,10.0,4.0,7.0,7.0,6.0,4.0,3.0,20.0,5.0,7.0,7.0,5.0,9.0,9.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0
skiën,5.0,3.0,5.0,4.0,2.0,6.0,3.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,2.0,5.0,20.0,2.0,4.0,8.0,3.0,5.0,6.0,5.0,4.0,4.0,7.0,4.0,5.0,5.0
sportvissen,3.0,3.0,2.0,3.0,13.0,3.0,6.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,12.0,7.0,2.0,20.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,8.0,2.0,9.0,3.0
squash,15.0,3.0,5.0,8.0,2.0,5.0,2.0,7.0,12.0,5.0,6.0,4.0,4.0,6.0,3.0,7.0,4.0,2.0,20.0,5.0,11.0,17.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0
surfen,6.0,8.0,5.0,6.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,8.0,3.0,5.0,20.0,2.0,5.0,7.0,6.0,5.0,4.0,7.0,5.0,16.0,5.0
tafeltennis,14.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,6.0,3.0,6.0,5.0,5.0,5.0,4.0,9.0,3.0,3.0,11.0,2.0,20.0,12.0,4.0,4.0,5.0,4.0,7.0,6.0,4.0,5.0
tennis,16.0,6.0,13.0,6.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,9.0,5.0,2.0,17.0,5.0,12.0,20.0,5.0,4.0,5.0,5.0,8.0,5.0,5.0,4.0
turnen,5.0,14.0,4.0,5.0,2.0,6.0,3.0,4.0,6.0,4.0,7.0,3.0,5.0,4.0,3.0,6.0,6.0,3.0,6.0,7.0,4.0,5.0,20.0,6.0,3.0,4.0,8.0,4.0,5.0,6.0
verspringen,5.0,6.0,8.0,5.0,4.0,5.0,4.0,6.0,9.0,4.0,5.0,8.0,6.0,4.0,2.0,4.0,5.0,3.0,6.0,6.0,4.0,4.0,6.0,20.0,7.0,4.0,8.0,7.0,4.0,4.0
voetbal,3.0,11.0,10.0,8.0,3.0,4.0,3.0,7.0,9.0,6.0,4.0,4.0,4.0,6.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,7.0,20.0,7.0,8.0,11.0,6.0,3.0
volleybal,7.0,4.0,4.0,11.0,2.0,4.0,3.0,11.0,6.0,6.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,3.0,6.0,4.0,4.0,5.0,4.0,4.0,7.0,20.0,5.0,5.0,6.0,7.0
wandelen,5.0,7.0,4.0,6.0,4.0,3.0,8.0,7.0,16.0,4.0,6.0,6.0,6.0,6.0,4.0,5.0,7.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,5.0,20.0,8.0,6.0,8.0
wielrennen,4.0,3.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,5.0,6.0,5.0,4.0,7.0,11.0,5.0,8.0,20.0,5.0,5.0
zeilen,5.0,4.0,5.0,6.0,2.0,4.0,3.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,3.0,4.0,5.0,9.0,6.0,16.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,20.0,8.0
zwemmen,4.0,6.0,3.0,6.0,2.0,4.0,3.0,5.0,6.0,5.0,6.0,5.0,11.0,6.0,2.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,6.0,4.0,3.0,7.0,8.0,5.0,8.0,20.0
