exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,11.0,7.0,13.0,8.0,5.0,9.0,6.0,14.0,7.0,8.0,9.0,3.0,6.0,10.0,13.0,5.0,10.0,14.0,6.0,10.0,17.0,9.0,5.0,9.0,11.0,9.0,5.0,5.0,4.0
ballet,11.0,20.0,5.0,8.0,5.0,6.0,5.0,9.0,12.0,10.0,13.0,12.0,7.0,6.0,11.0,11.0,7.0,6.0,12.0,10.0,11.0,8.0,17.0,6.0,4.0,13.0,13.0,6.0,11.0,14.0
baseball,7.0,5.0,20.0,6.0,8.0,6.0,14.0,4.0,12.0,5.0,10.0,9.0,5.0,6.0,7.0,7.0,5.0,9.0,11.0,9.0,7.0,8.0,8.0,5.0,6.0,8.0,9.0,7.0,4.0,6.0
basketbal,13.0,8.0,6.0,20.0,7.0,8.0,11.0,10.0,11.0,7.0,5.0,5.0,7.0,9.0,4.0,5.0,9.0,6.0,9.0,4.0,7.0,7.0,6.0,6.0,12.0,12.0,10.0,8.0,7.0,5.0
biljarten,8.0,5.0,8.0,7.0,20.0,6.0,9.0,8.0,5.0,11.0,8.0,11.0,7.0,9.0,11.0,7.0,5.0,4.0,4.0,6.0,9.0,8.0,5.0,2.0,8.0,5.0,8.0,6.0,4.0,5.0
boksen,5.0,6.0,6.0,8.0,6.0,20.0,2.0,12.0,8.0,14.0,12.0,9.0,8.0,16.0,5.0,15.0,5.0,5.0,7.0,7.0,8.0,5.0,7.0,6.0,12.0,5.0,5.0,5.0,5.0,8.0
golf,9.0,5.0,14.0,11.0,9.0,2.0,20.0,10.0,5.0,4.0,5.0,14.0,7.0,5.0,8.0,5.0,3.0,7.0,10.0,6.0,8.0,10.0,11.0,10.0,4.0,4.0,8.0,8.0,17.0,6.0
handbal,6.0,9.0,4.0,10.0,8.0,12.0,10.0,20.0,4.0,9.0,7.0,5.0,5.0,13.0,4.0,3.0,9.0,6.0,15.0,7.0,6.0,6.0,9.0,4.0,14.0,17.0,10.0,6.0,8.0,9.0
hardlopen,14.0,12.0,12.0,11.0,5.0,8.0,5.0,4.0,20.0,7.0,10.0,6.0,12.0,16.0,7.0,6.0,13.0,8.0,12.0,5.0,7.0,8.0,12.0,17.0,12.0,12.0,18.0,13.0,5.0,11.0
ijshockey,7.0,10.0,5.0,7.0,11.0,14.0,4.0,9.0,7.0,20.0,13.0,5.0,1.0,6.0,4.0,6.0,10.0,7.0,5.0,5.0,11.0,5.0,7.0,7.0,10.0,9.0,3.0,12.0,7.0,4.0
judo,8.0,13.0,10.0,5.0,8.0,12.0,5.0,7.0,10.0,13.0,20.0,9.0,8.0,5.0,7.0,12.0,8.0,9.0,5.0,9.0,9.0,7.0,14.0,10.0,11.0,5.0,5.0,9.0,12.0,1.0
kogelstoten,9.0,12.0,9.0,5.0,11.0,9.0,14.0,5.0,6.0,5.0,9.0,20.0,6.0,11.0,3.0,8.0,6.0,5.0,7.0,5.0,7.0,6.0,8.0,10.0,8.0,10.0,11.0,5.0,2.0,5.0
paardrijden,3.0,7.0,5.0,7.0,7.0,8.0,7.0,5.0,12.0,1.0,8.0,6.0,20.0,4.0,9.0,5.0,6.0,6.0,5.0,8.0,6.0,16.0,7.0,10.0,6.0,4.0,10.0,11.0,11.0,7.0
rugby,6.0,6.0,6.0,9.0,9.0,16.0,5.0,13.0,16.0,6.0,5.0,11.0,4.0,20.0,6.0,5.0,6.0,6.0,7.0,8.0,6.0,11.0,5.0,6.0,19.0,9.0,5.0,6.0,5.0,12.0
schaken,10.0,11.0,7.0,4.0,11.0,5.0,8.0,4.0,7.0,4.0,7.0,3.0,9.0,6.0,20.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,8.0,6.0,5.0,8.0,6.0,5.0,5.0
schermen,13.0,11.0,7.0,5.0,7.0,15.0,5.0,3.0,6.0,6.0,12.0,8.0,5.0,5.0,6.0,20.0,8.0,5.0,12.0,5.0,8.0,8.0,11.0,5.0,5.0,8.0,8.0,8.0,9.0,7.0
skiën,5.0,7.0,5.0,9.0,5.0,5.0,3.0,9.0,13.0,10.0,8.0,6.0,6.0,6.0,6.0,8.0,20.0,4.0,5.0,15.0,5.0,14.0,8.0,9.0,11.0,9.0,8.0,9.0,6.0,4.0
sportvissen,10.0,6.0,9.0,6.0,4.0,5.0,7.0,6.0,8.0,7.0,9.0,5.0,6.0,6.0,5.0,5.0,4.0,20.0,6.0,8.0,8.0,6.0,9.0,11.0,5.0,6.0,6.0,11.0,13.0,10.0
squash,14.0,12.0,11.0,9.0,4.0,7.0,10.0,15.0,12.0,5.0,5.0,7.0,5.0,7.0,5.0,12.0,5.0,6.0,20.0,4.0,14.0,16.0,7.0,9.0,6.0,10.0,8.0,5.0,11.0,2.0
surfen,6.0,10.0,9.0,4.0,6.0,7.0,6.0,7.0,5.0,5.0,9.0,5.0,8.0,8.0,5.0,5.0,15.0,8.0,4.0,20.0,11.0,5.0,5.0,5.0,6.0,5.0,9.0,5.0,15.0,6.0
tafeltennis,10.0,11.0,7.0,7.0,9.0,8.0,8.0,6.0,7.0,11.0,9.0,7.0,6.0,6.0,6.0,8.0,5.0,8.0,14.0,11.0,20.0,1.0,6.0,6.0,9.0,10.0,10.0,7.0,5.0,4.0
tennis,17.0,8.0,8.0,7.0,8.0,5.0,10.0,6.0,8.0,5.0,7.0,6.0,16.0,11.0,5.0,8.0,14.0,6.0,16.0,5.0,1.0,20.0,4.0,8.0,6.0,12.0,5.0,10.0,8.0,8.0
turnen,9.0,17.0,8.0,6.0,5.0,7.0,11.0,9.0,12.0,7.0,14.0,8.0,7.0,5.0,6.0,11.0,8.0,9.0,7.0,5.0,6.0,4.0,20.0,9.0,10.0,12.0,10.0,8.0,7.0,12.0
