exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,6.0,11.0,10.0,6.0,6.0,4.0,11.0,7.0,7.0,3.0,10.0,7.0,8.0,5.0,9.0,7.0,3.0,16.0,6.0,13.0,17.0,9.0,9.0,5.0,8.0,6.0,4.0,6.0,8.0
ballet,6.0,20.0,3.0,1.0,7.0,7.0,5.0,4.0,6.0,3.0,13.0,4.0,4.0,2.0,7.0,7.0,10.0,1.0,9.0,8.0,7.0,6.0,16.0,15.0,3.0,6.0,5.0,5.0,8.0,10.0
baseball,11.0,3.0,20.0,12.0,6.0,8.0,9.0,11.0,15.0,8.0,8.0,12.0,5.0,9.0,6.0,7.0,5.0,5.0,15.0,3.0,8.0,10.0,8.0,6.0,14.0,10.0,3.0,8.0,4.0,3.0
basketbal,10.0,1.0,12.0,20.0,7.0,6.0,10.0,13.0,16.0,5.0,3.0,8.0,5.0,16.0,8.0,7.0,6.0,4.0,9.0,4.0,8.0,6.0,3.0,4.0,9.0,8.0,9.0,8.0,5.0,5.0
biljarten,6.0,7.0,6.0,7.0,20.0,6.0,6.0,7.0,3.0,8.0,8.0,12.0,9.0,6.0,6.0,6.0,6.0,2.0,9.0,6.0,7.0,7.0,4.0,3.0,11.0,4.0,5.0,8.0,6.0,3.0
boksen,6.0,7.0,8.0,6.0,6.0,20.0,9.0,6.0,5.0,8.0,10.0,11.0,3.0,13.0,6.0,11.0,5.0,6.0,11.0,6.0,6.0,5.0,4.0,12.0,3.0,6.0,6.0,7.0,4.0,4.0
golf,4.0,5.0,9.0,10.0,6.0,9.0,20.0,7.0,4.0,12.0,4.0,6.0,9.0,3.0,3.0,4.0,2.0,9.0,8.0,8.0,8.0,7.0,5.0,3.0,9.0,11.0,2.0,5.0,6.0,8.0
handbal,11.0,4.0,11.0,13.0,7.0,6.0,7.0,20.0,11.0,9.0,8.0,16.0,4.0,12.0,6.0,7.0,4.0,5.0,7.0,16.0,4.0,8.0,6.0,7.0,12.0,12.0,7.0,7.0,7.0,9.0
hardlopen,7.0,6.0,15.0,16.0,3.0,5.0,4.0,11.0,20.0,5.0,9.0,5.0,12.0,12.0,5.0,6.0,6.0,7.0,11.0,8.0,7.0,11.0,8.0,5.0,16.0,6.0,1.0,11.0,12.0,8.0
ijshockey,7.0,3.0,8.0,5.0,8.0,8.0,12.0,9.0,5.0,20.0,6.0,7.0,5.0,14.0,4.0,6.0,11.0,5.0,12.0,5.0,8.0,6.0,4.0,8.0,5.0,6.0,6.0,4.0,7.0,4.0
