exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,4.0,12.0,8.0,12.0,11.0,13.0,17.0,15.0,4.0,4.0,13.0,5.0,10.0,1.0,14.0,4.0,1.0,15.0,12.0,15.0,14.0,8.0,11.0,10.0,16.0,1.0,7.0,6.0,6.0
ballet,4.0,20.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,18.0,3.0,1.0,14.0,1.0,3.0,5.0,3.0,18.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0
baseball,12.0,2.0,20.0,16.0,3.0,14.0,16.0,12.0,3.0,16.0,7.0,16.0,7.0,15.0,1.0,10.0,5.0,3.0,16.0,8.0,2.0,10.0,4.0,8.0,12.0,18.0,3.0,9.0,12.0,5.0
basketbal,8.0,2.0,16.0,20.0,5.0,17.0,12.0,18.0,12.0,13.0,15.0,12.0,8.0,16.0,2.0,13.0,8.0,1.0,8.0,11.0,4.0,13.0,6.0,6.0,13.0,16.0,4.0,14.0,7.0,4.0
biljarten,12.0,2.0,3.0,5.0,20.0,1.0,12.0,8.0,1.0,4.0,9.0,17.0,4.0,1.0,9.0,11.0,3.0,12.0,11.0,3.0,14.0,6.0,2.0,6.0,5.0,4.0,16.0,2.0,1.0,7.0
boksen,11.0,2.0,14.0,17.0,1.0,20.0,6.0,16.0,12.0,15.0,12.0,14.0,11.0,19.0,1.0,15.0,16.0,5.0,13.0,8.0,10.0,17.0,9.0,10.0,12.0,11.0,1.0,4.0,5.0,10.0
golf,13.0,6.0,16.0,12.0,12.0,6.0,20.0,5.0,9.0,10.0,5.0,10.0,8.0,6.0,9.0,13.0,12.0,6.0,11.0,8.0,6.0,15.0,10.0,10.0,6.0,7.0,14.0,4.0,8.0,6.0
handbal,17.0,1.0,12.0,18.0,8.0,16.0,5.0,20.0,12.0,11.0,14.0,15.0,2.0,17.0,3.0,13.0,6.0,2.0,18.0,12.0,15.0,15.0,2.0,12.0,14.0,17.0,6.0,5.0,11.0,5.0
hardlopen,15.0,2.0,3.0,12.0,1.0,12.0,9.0,12.0,20.0,10.0,8.0,10.0,10.0,12.0,3.0,11.0,11.0,1.0,11.0,8.0,10.0,11.0,5.0,14.0,12.0,13.0,6.0,10.0,7.0,13.0
ijshockey,4.0,1.0,16.0,13.0,4.0,15.0,10.0,11.0,10.0,20.0,14.0,7.0,10.0,15.0,2.0,12.0,16.0,6.0,14.0,6.0,6.0,13.0,1.0,5.0,8.0,9.0,4.0,12.0,14.0,5.0
judo,4.0,1.0,7.0,15.0,9.0,12.0,5.0,14.0,8.0,14.0,20.0,9.0,15.0,10.0,1.0,7.0,8.0,1.0,13.0,12.0,7.0,12.0,3.0,7.0,12.0,12.0,2.0,4.0,7.0,6.0
kogelstoten,13.0,2.0,16.0,12.0,17.0,14.0,10.0,15.0,10.0,7.0,9.0,20.0,9.0,15.0,2.0,16.0,10.0,7.0,10.0,10.0,9.0,14.0,5.0,10.0,13.0,12.0,2.0,6.0,10.0,8.0
paardrijden,5.0,3.0,7.0,8.0,4.0,11.0,8.0,2.0,10.0,10.0,15.0,9.0,20.0,11.0,3.0,8.0,14.0,1.0,11.0,4.0,3.0,12.0,6.0,10.0,7.0,7.0,3.0,2.0,12.0,9.0
rugby,10.0,1.0,15.0,16.0,1.0,19.0,6.0,17.0,12.0,15.0,10.0,15.0,11.0,20.0,1.0,16.0,16.0,1.0,16.0,12.0,8.0,14.0,3.0,15.0,16.0,18.0,1.0,10.0,13.0,7.0
schaken,1.0,18.0,1.0,2.0,9.0,1.0,9.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,20.0,7.0,1.0,16.0,1.0,1.0,10.0,2.0,2.0,2.0,3.0,2.0,14.0,1.0,3.0,1.0
schermen,14.0,3.0,10.0,13.0,11.0,15.0,13.0,13.0,11.0,12.0,7.0,16.0,8.0,16.0,7.0,20.0,4.0,16.0,12.0,15.0,7.0,12.0,3.0,11.0,6.0,13.0,7.0,7.0,8.0,12.0
skiën,4.0,1.0,5.0,8.0,3.0,16.0,12.0,6.0,11.0,16.0,8.0,10.0,14.0,16.0,1.0,4.0,20.0,2.0,12.0,11.0,8.0,15.0,6.0,8.0,7.0,8.0,1.0,8.0,13.0,8.0
sportvissen,1.0,14.0,3.0,1.0,12.0,5.0,6.0,2.0,1.0,6.0,1.0,7.0,1.0,1.0,16.0,16.0,2.0,20.0,2.0,3.0,4.0,3.0,5.0,12.0,2.0,2.0,18.0,9.0,12.0,4.0
squash,15.0,1.0,16.0,8.0,11.0,13.0,11.0,18.0,11.0,14.0,13.0,10.0,11.0,16.0,1.0,12.0,12.0,2.0,20.0,14.0,13.0,18.0,3.0,8.0,13.0,15.0,5.0,13.0,6.0,10.0
surfen,12.0,3.0,8.0,11.0,3.0,8.0,8.0,12.0,8.0,6.0,12.0,10.0,4.0,12.0,1.0,15.0,11.0,3.0,14.0,20.0,7.0,4.0,5.0,7.0,10.0,11.0,4.0,4.0,17.0,9.0
tafeltennis,15.0,5.0,2.0,4.0,14.0,10.0,6.0,15.0,10.0,6.0,7.0,9.0,3.0,8.0,10.0,7.0,8.0,4.0,13.0,7.0,20.0,12.0,5.0,2.0,4.0,7.0,12.0,2.0,4.0,10.0
tennis,14.0,3.0,10.0,13.0,6.0,17.0,15.0,15.0,11.0,13.0,12.0,14.0,12.0,14.0,2.0,12.0,15.0,3.0,18.0,4.0,12.0,20.0,4.0,14.0,8.0,19.0,3.0,13.0,11.0,12.0
turnen,8.0,18.0,4.0,6.0,2.0,9.0,10.0,2.0,5.0,1.0,3.0,5.0,6.0,3.0,2.0,3.0,6.0,5.0,3.0,5.0,5.0,4.0,20.0,9.0,3.0,5.0,15.0,6.0,5.0,6.0
verspringen,11.0,2.0,8.0,6.0,6.0,10.0,10.0,12.0,14.0,5.0,7.0,10.0,10.0,15.0,2.0,11.0,8.0,12.0,8.0,7.0,2.0,14.0,9.0,20.0,12.0,4.0,10.0,9.0,3.0,8.0
voetbal,10.0,2.0,12.0,13.0,5.0,12.0,6.0,14.0,12.0,8.0,12.0,13.0,7.0,16.0,3.0,6.0,7.0,2.0,13.0,10.0,4.0,8.0,3.0,12.0,20.0,4.0,11.0,5.0,5.0,7.0
volleybal,16.0,1.0,18.0,16.0,4.0,11.0,7.0,17.0,13.0,9.0,12.0,12.0,7.0,18.0,2.0,13.0,8.0,2.0,15.0,11.0,7.0,19.0,5.0,4.0,4.0,20.0,8.0,5.0,10.0,11.0
wandelen,1.0,1.0,3.0,4.0,16.0,1.0,14.0,6.0,6.0,4.0,2.0,2.0,3.0,1.0,14.0,7.0,1.0,18.0,5.0,4.0,12.0,3.0,15.0,10.0,11.0,8.0,20.0,10.0,4.0,5.0
wielrennen,7.0,1.0,9.0,14.0,2.0,4.0,4.0,5.0,10.0,12.0,4.0,6.0,2.0,10.0,1.0,7.0,8.0,9.0,13.0,4.0,2.0,13.0,6.0,9.0,5.0,5.0,10.0,20.0,9.0,6.0
zeilen,6.0,2.0,12.0,7.0,1.0,5.0,8.0,11.0,7.0,14.0,7.0,10.0,12.0,13.0,3.0,8.0,13.0,12.0,6.0,17.0,4.0,11.0,5.0,3.0,5.0,10.0,4.0,9.0,20.0,11.0
zwemmen,6.0,2.0,5.0,4.0,7.0,10.0,6.0,5.0,13.0,5.0,6.0,8.0,9.0,7.0,1.0,12.0,8.0,4.0,10.0,9.0,10.0,12.0,6.0,8.0,7.0,11.0,5.0,6.0,11.0,20.0
