exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,3.0,3.0,7.0,2.0,6.0,6.0,3.0,7.0,5.0,6.0,6.0,7.0,6.0,3.0,3.0,6.0,2.0,12.0,3.0,12.0,8.0,2.0,5.0,10.0,10.0,3.0,6.0,3.0,7.0
ballet,3.0,20.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,9.0,2.0,3.0,1.0,2.0,6.0,3.0,3.0,3.0,6.0,12.0,2.0,2.0,2.0,7.0,10.0,3.0,3.0
baseball,3.0,2.0,20.0,10.0,3.0,8.0,3.0,6.0,8.0,9.0,6.0,11.0,3.0,8.0,2.0,6.0,6.0,3.0,11.0,3.0,3.0,3.0,6.0,6.0,6.0,11.0,3.0,6.0,3.0,6.0
basketbal,7.0,1.0,10.0,20.0,3.0,6.0,3.0,12.0,10.0,7.0,6.0,7.0,2.0,8.0,2.0,5.0,5.0,3.0,7.0,2.0,3.0,6.0,3.0,6.0,10.0,14.0,2.0,5.0,3.0,9.0
biljarten,2.0,3.0,3.0,3.0,20.0,2.0,9.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,14.0,3.0,3.0,10.0,2.0,8.0,10.0,3.0,2.0,1.0,3.0,5.0,10.0,3.0,9.0,2.0
boksen,6.0,2.0,8.0,6.0,2.0,20.0,2.0,5.0,3.0,7.0,3.0,8.0,3.0,13.0,2.0,10.0,3.0,2.0,6.0,3.0,3.0,4.0,2.0,6.0,6.0,9.0,3.0,3.0,2.0,2.0
golf,6.0,3.0,3.0,3.0,9.0,2.0,20.0,6.0,2.0,2.0,6.0,3.0,6.0,2.0,11.0,6.0,3.0,9.0,6.0,8.0,7.0,11.0,6.0,3.0,6.0,5.0,10.0,3.0,3.0,6.0
handbal,3.0,3.0,6.0,12.0,2.0,5.0,6.0,20.0,8.0,7.0,6.0,4.0,3.0,8.0,3.0,5.0,4.0,3.0,9.0,6.0,3.0,10.0,3.0,8.0,10.0,15.0,3.0,6.0,3.0,6.0
hardlopen,7.0,2.0,8.0,10.0,2.0,3.0,2.0,8.0,20.0,6.0,6.0,6.0,4.0,6.0,2.0,3.0,6.0,3.0,12.0,6.0,3.0,3.0,6.0,12.0,10.0,6.0,10.0,12.0,3.0,3.0
ijshockey,5.0,1.0,9.0,7.0,2.0,7.0,2.0,7.0,6.0,20.0,6.0,6.0,3.0,12.0,2.0,6.0,12.0,2.0,8.0,2.0,2.0,6.0,2.0,7.0,10.0,9.0,2.0,4.0,2.0,7.0
judo,6.0,2.0,6.0,6.0,2.0,3.0,6.0,6.0,6.0,6.0,20.0,3.0,6.0,6.0,1.0,3.0,2.0,6.0,9.0,3.0,2.0,6.0,6.0,5.0,6.0,6.0,2.0,3.0,3.0,2.0
kogelstoten,6.0,1.0,11.0,7.0,3.0,8.0,3.0,4.0,6.0,6.0,3.0,20.0,2.0,6.0,1.0,3.0,2.0,6.0,3.0,4.0,8.0,7.0,3.0,8.0,6.0,6.0,3.0,3.0,3.0,7.0
paardrijden,7.0,9.0,3.0,2.0,3.0,3.0,6.0,3.0,4.0,3.0,6.0,2.0,20.0,2.0,6.0,7.0,3.0,6.0,3.0,2.0,3.0,3.0,6.0,3.0,3.0,2.0,8.0,4.0,3.0,5.0
rugby,6.0,2.0,8.0,8.0,3.0,13.0,2.0,8.0,6.0,12.0,6.0,6.0,2.0,20.0,1.0,6.0,3.0,3.0,9.0,3.0,3.0,3.0,3.0,6.0,15.0,8.0,3.0,7.0,3.0,6.0
schaken,3.0,3.0,2.0,2.0,14.0,2.0,11.0,3.0,2.0,2.0,1.0,1.0,6.0,1.0,20.0,2.0,5.0,10.0,3.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,9.0,2.0,9.0,2.0
schermen,3.0,1.0,6.0,5.0,3.0,10.0,6.0,5.0,3.0,6.0,3.0,3.0,7.0,6.0,2.0,20.0,4.0,7.0,3.0,3.0,3.0,2.0,3.0,2.0,9.0,3.0,3.0,3.0,2.0,2.0
skiën,6.0,2.0,6.0,5.0,3.0,3.0,3.0,4.0,6.0,12.0,2.0,2.0,3.0,3.0,5.0,4.0,20.0,3.0,7.0,10.0,3.0,3.0,9.0,9.0,5.0,3.0,7.0,3.0,6.0,15.0
sportvissen,2.0,6.0,3.0,3.0,10.0,2.0,9.0,3.0,3.0,2.0,6.0,6.0,6.0,3.0,10.0,7.0,3.0,20.0,3.0,7.0,4.0,6.0,1.0,1.0,2.0,3.0,11.0,6.0,8.0,8.0
squash,12.0,3.0,11.0,7.0,2.0,6.0,6.0,9.0,12.0,8.0,9.0,3.0,3.0,9.0,3.0,3.0,7.0,3.0,20.0,3.0,10.0,3.0,7.0,7.0,7.0,6.0,6.0,6.0,4.0,6.0
surfen,3.0,3.0,3.0,2.0,8.0,3.0,8.0,6.0,6.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,10.0,7.0,3.0,20.0,3.0,5.0,6.0,4.0,2.0,5.0,10.0,3.0,18.0,3.0
tafeltennis,12.0,3.0,3.0,3.0,10.0,3.0,7.0,3.0,3.0,2.0,2.0,8.0,3.0,3.0,3.0,3.0,3.0,4.0,10.0,3.0,20.0,10.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,1.0
tennis,8.0,6.0,3.0,6.0,3.0,4.0,11.0,10.0,3.0,6.0,6.0,7.0,3.0,3.0,6.0,2.0,3.0,6.0,3.0,5.0,10.0,20.0,7.0,6.0,7.0,3.0,6.0,3.0,7.0,6.0
