exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,2.0,2.0,4.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,13.0,3.0,3.0,7.0,3.0,2.0,8.0,2.0,10.0,16.0,4.0,2.0,2.0,13.0,2.0,3.0,1.0,2.0
ballet,2.0,20.0,2.0,3.0,2.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,2.0,10.0,6.0,2.0,11.0,2.0,2.0,3.0,4.0,16.0,2.0,2.0,3.0,6.0,8.0,12.0,4.0
baseball,2.0,2.0,20.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,10.0,2.0,2.0,13.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,12.0,3.0,2.0,2.0,2.0,2.0
basketbal,4.0,3.0,5.0,20.0,2.0,11.0,2.0,8.0,5.0,2.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,3.0,8.0,2.0,2.0,4.0,2.0,2.0,6.0,6.0,10.0,2.0,1.0,2.0
biljarten,5.0,2.0,4.0,2.0,20.0,2.0,10.0,3.0,2.0,9.0,2.0,5.0,3.0,2.0,1.0,3.0,2.0,6.0,4.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,11.0
boksen,2.0,6.0,2.0,11.0,2.0,20.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,8.0,1.0,10.0,2.0,12.0,2.0,2.0,4.0,3.0,6.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0
golf,2.0,2.0,2.0,2.0,10.0,2.0,20.0,2.0,10.0,8.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,2.0,6.0,2.0,2.0,2.0
handbal,6.0,2.0,3.0,8.0,3.0,2.0,2.0,20.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,11.0,2.0,2.0,3.0,5.0,2.0,9.0,2.0,2.0,6.0,18.0,1.0,2.0,2.0,14.0
hardlopen,2.0,2.0,2.0,5.0,2.0,2.0,10.0,4.0,20.0,3.0,6.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,11.0,2.0,5.0,4.0,7.0,9.0,3.0,20.0,6.0,2.0,2.0
ijshockey,2.0,2.0,2.0,2.0,9.0,2.0,8.0,2.0,3.0,20.0,2.0,3.0,2.0,2.0,1.0,2.0,9.0,2.0,4.0,2.0,2.0,9.0,9.0,2.0,8.0,5.0,3.0,9.0,2.0,2.0
judo,2.0,4.0,10.0,2.0,2.0,5.0,2.0,2.0,6.0,2.0,20.0,2.0,2.0,6.0,1.0,2.0,2.0,4.0,2.0,2.0,5.0,4.0,15.0,3.0,2.0,2.0,8.0,4.0,2.0,2.0
kogelstoten,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,20.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,7.0,6.0,3.0,2.0,2.0,2.0
paardrijden,13.0,9.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,20.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,16.0,2.0,12.0,2.0,2.0,2.0,6.0,2.0
rugby,3.0,2.0,13.0,10.0,2.0,8.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,20.0,2.0,11.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,4.0,2.0,2.0,2.0,3.0
schaken,3.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,1.0,2.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0
schermen,7.0,6.0,2.0,2.0,3.0,10.0,2.0,11.0,2.0,2.0,2.0,3.0,2.0,11.0,1.0,20.0,2.0,4.0,4.0,2.0,8.0,2.0,9.0,4.0,2.0,2.0,4.0,2.0,10.0,1.0
skiën,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,9.0,2.0,3.0,3.0,3.0,2.0,2.0,20.0,2.0,2.0,11.0,2.0,2.0,3.0,2.0,2.0,2.0,7.0,7.0,6.0,2.0
sportvissen,2.0,11.0,2.0,3.0,6.0,12.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,20.0,2.0,6.0,2.0,5.0,2.0,2.0,2.0,3.0,12.0,3.0,2.0,4.0
squash,8.0,2.0,2.0,8.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,20.0,2.0,2.0,13.0,13.0,2.0,2.0,4.0,15.0,2.0,4.0,2.0
surfen,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,11.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,11.0,6.0,2.0,20.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,16.0,2.0
tafeltennis,10.0,3.0,2.0,2.0,10.0,4.0,6.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,2.0,20.0,18.0,10.0,2.0,3.0,9.0,1.0,2.0,2.0,2.0
