exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,3.0,8.0,9.0,6.0,3.0,4.0,7.0,6.0,5.0,5.0,6.0,13.0,11.0,8.0,11.0,8.0,8.0,6.0,8.0,5.0,5.0,8.0,4.0,8.0,8.0,6.0,5.0,5.0,7.0
actor,3.0,20.0,5.0,4.0,8.0,3.0,5.0,6.0,7.0,10.0,5.0,6.0,7.0,5.0,11.0,9.0,9.0,3.0,8.0,5.0,6.0,4.0,9.0,12.0,4.0,6.0,15.0,6.0,6.0,5.0
archaeologist,8.0,5.0,20.0,7.0,5.0,9.0,3.0,2.0,2.0,6.0,6.0,4.0,8.0,4.0,8.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0,9.0,8.0,8.0,2.0,3.0,9.0,6.0,7.0
architect,9.0,4.0,7.0,20.0,5.0,5.0,3.0,5.0,6.0,6.0,9.0,5.0,11.0,8.0,9.0,12.0,9.0,8.0,9.0,4.0,5.0,3.0,4.0,7.0,4.0,7.0,5.0,5.0,4.0,8.0
baker,6.0,8.0,5.0,5.0,20.0,11.0,16.0,9.0,3.0,8.0,3.0,2.0,3.0,5.0,7.0,9.0,5.0,6.0,10.0,5.0,9.0,3.0,6.0,8.0,4.0,10.0,8.0,6.0,7.0,9.0
butcher,3.0,3.0,9.0,5.0,11.0,20.0,11.0,6.0,8.0,6.0,6.0,6.0,3.0,4.0,4.0,6.0,8.0,9.0,9.0,6.0,8.0,6.0,8.0,8.0,6.0,11.0,5.0,3.0,6.0,12.0
cook,4.0,5.0,3.0,3.0,16.0,11.0,20.0,5.0,4.0,9.0,4.0,5.0,4.0,8.0,8.0,6.0,6.0,6.0,4.0,4.0,3.0,5.0,6.0,4.0,8.0,8.0,5.0,7.0,6.0,5.0
dentist,7.0,6.0,2.0,5.0,9.0,6.0,5.0,20.0,14.0,8.0,5.0,5.0,7.0,3.0,4.0,5.0,5.0,11.0,11.0,7.0,2.0,7.0,6.0,5.0,8.0,8.0,4.0,7.0,4.0,12.0
doctor,6.0,7.0,2.0,6.0,3.0,8.0,4.0,14.0,20.0,11.0,6.0,9.0,3.0,9.0,11.0,8.0,3.0,14.0,8.0,6.0,3.0,5.0,6.0,13.0,6.0,6.0,9.0,8.0,8.0,17.0
educator,5.0,10.0,6.0,6.0,8.0,6.0,9.0,8.0,11.0,20.0,8.0,8.0,6.0,8.0,7.0,8.0,7.0,2.0,7.0,4.0,7.0,5.0,5.0,15.0,6.0,10.0,8.0,8.0,17.0,4.0
fireman,5.0,5.0,6.0,9.0,3.0,6.0,4.0,5.0,6.0,8.0,20.0,8.0,7.0,6.0,4.0,5.0,8.0,3.0,7.0,5.0,8.0,8.0,7.0,9.0,9.0,6.0,5.0,3.0,8.0,1.0
garbage collector,6.0,6.0,4.0,5.0,2.0,6.0,5.0,5.0,9.0,8.0,8.0,20.0,3.0,3.0,7.0,5.0,3.0,3.0,5.0,3.0,9.0,7.0,8.0,4.0,3.0,8.0,6.0,6.0,5.0,7.0
information scientist,13.0,7.0,8.0,11.0,3.0,3.0,4.0,7.0,3.0,6.0,7.0,3.0,20.0,7.0,8.0,12.0,6.0,4.0,3.0,17.0,8.0,8.0,6.0,7.0,10.0,6.0,4.0,6.0,5.0,6.0
judge,11.0,5.0,4.0,8.0,5.0,4.0,8.0,3.0,9.0,8.0,6.0,3.0,7.0,20.0,16.0,11.0,11.0,7.0,10.0,9.0,2.0,6.0,6.0,12.0,8.0,6.0,4.0,5.0,3.0,8.0
lawyer,8.0,11.0,8.0,9.0,7.0,4.0,8.0,4.0,11.0,7.0,4.0,7.0,8.0,16.0,20.0,12.0,12.0,6.0,6.0,9.0,6.0,11.0,6.0,11.0,7.0,6.0,4.0,9.0,4.0,5.0
manager,11.0,9.0,5.0,12.0,9.0,6.0,6.0,5.0,8.0,8.0,5.0,5.0,12.0,11.0,12.0,20.0,9.0,6.0,8.0,10.0,6.0,6.0,6.0,10.0,10.0,6.0,6.0,6.0,12.0,6.0
minister,8.0,9.0,6.0,9.0,5.0,8.0,6.0,5.0,3.0,7.0,8.0,3.0,6.0,11.0,12.0,9.0,20.0,7.0,4.0,8.0,6.0,4.0,5.0,7.0,7.0,3.0,12.0,6.0,3.0,6.0
pharmacist,8.0,3.0,6.0,8.0,6.0,9.0,6.0,11.0,14.0,2.0,3.0,3.0,4.0,7.0,6.0,6.0,7.0,20.0,14.0,8.0,5.0,5.0,6.0,13.0,7.0,12.0,8.0,9.0,5.0,5.0
physiotherapist,6.0,8.0,6.0,9.0,10.0,9.0,4.0,11.0,8.0,7.0,7.0,5.0,3.0,10.0,6.0,8.0,4.0,14.0,20.0,4.0,5.0,6.0,6.0,9.0,6.0,2.0,7.0,5.0,8.0,9.0
pilot,8.0,5.0,6.0,4.0,5.0,6.0,4.0,7.0,6.0,4.0,5.0,3.0,17.0,9.0,9.0,10.0,8.0,8.0,4.0,20.0,6.0,3.0,8.0,6.0,6.0,7.0,3.0,6.0,6.0,5.0
plumber,5.0,6.0,6.0,5.0,9.0,8.0,3.0,2.0,3.0,7.0,8.0,9.0,8.0,2.0,6.0,6.0,6.0,5.0,5.0,6.0,20.0,5.0,6.0,5.0,8.0,6.0,4.0,7.0,6.0,5.0
police officer,5.0,4.0,3.0,3.0,3.0,6.0,5.0,7.0,5.0,5.0,8.0,7.0,8.0,6.0,11.0,6.0,4.0,5.0,6.0,3.0,5.0,20.0,6.0,9.0,5.0,3.0,4.0,9.0,4.0,6.0
postman,8.0,9.0,9.0,4.0,6.0,8.0,6.0,6.0,6.0,5.0,7.0,8.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,8.0,6.0,6.0,20.0,4.0,11.0,6.0,7.0,9.0,8.0,9.0
psychologist,4.0,12.0,8.0,7.0,8.0,8.0,4.0,5.0,13.0,15.0,9.0,4.0,7.0,12.0,11.0,10.0,7.0,13.0,9.0,6.0,5.0,9.0,4.0,20.0,4.0,6.0,13.0,4.0,11.0,8.0
secretary,8.0,4.0,8.0,4.0,4.0,6.0,8.0,8.0,6.0,6.0,9.0,3.0,10.0,8.0,7.0,10.0,7.0,7.0,6.0,6.0,8.0,5.0,11.0,4.0,20.0,12.0,9.0,12.0,7.0,6.0
shop-assistant,8.0,6.0,2.0,7.0,10.0,11.0,8.0,8.0,6.0,10.0,6.0,8.0,6.0,6.0,6.0,6.0,3.0,12.0,2.0,7.0,6.0,3.0,6.0,6.0,12.0,20.0,12.0,10.0,5.0,5.0
stallholder,6.0,15.0,3.0,5.0,8.0,5.0,5.0,4.0,9.0,8.0,5.0,6.0,4.0,4.0,4.0,6.0,12.0,8.0,7.0,3.0,4.0,4.0,7.0,13.0,9.0,12.0,20.0,8.0,8.0,6.0
stewardess,5.0,6.0,9.0,5.0,6.0,3.0,7.0,7.0,8.0,8.0,3.0,6.0,6.0,5.0,9.0,6.0,6.0,9.0,5.0,6.0,7.0,9.0,9.0,4.0,12.0,10.0,8.0,20.0,7.0,4.0
teacher,5.0,6.0,6.0,4.0,7.0,6.0,6.0,4.0,8.0,17.0,8.0,5.0,5.0,3.0,4.0,12.0,3.0,5.0,8.0,6.0,6.0,4.0,8.0,11.0,7.0,5.0,8.0,7.0,20.0,6.0
veterinarian,7.0,5.0,7.0,8.0,9.0,12.0,5.0,12.0,17.0,4.0,1.0,7.0,6.0,8.0,5.0,6.0,6.0,5.0,9.0,5.0,5.0,6.0,9.0,8.0,6.0,5.0,6.0,4.0,6.0,20.0
