exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,4.0,7.0,12.0,2.0,6.0,4.0,2.0,7.0,6.0,4.0,4.0,12.0,12.0,6.0,11.0,13.0,8.0,8.0,8.0,3.0,5.0,16.0,5.0,14.0,9.0,5.0,7.0,8.0,7.0
actor,4.0,20.0,7.0,6.0,5.0,4.0,10.0,4.0,6.0,9.0,2.0,5.0,4.0,7.0,13.0,10.0,13.0,4.0,5.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,11.0,6.0,4.0
archaeologist,7.0,7.0,20.0,13.0,5.0,4.0,6.0,2.0,4.0,9.0,2.0,7.0,7.0,4.0,5.0,7.0,5.0,4.0,4.0,2.0,8.0,5.0,5.0,12.0,4.0,6.0,4.0,4.0,6.0,4.0
architect,12.0,6.0,13.0,20.0,12.0,6.0,4.0,6.0,7.0,6.0,6.0,4.0,6.0,5.0,4.0,12.0,9.0,5.0,5.0,2.0,9.0,4.0,4.0,4.0,7.0,3.0,5.0,4.0,4.0,9.0
baker,2.0,5.0,5.0,12.0,20.0,14.0,13.0,4.0,2.0,7.0,4.0,4.0,8.0,3.0,8.0,6.0,4.0,10.0,4.0,4.0,7.0,4.0,6.0,4.0,4.0,12.0,6.0,7.0,2.0,2.0
butcher,6.0,4.0,4.0,6.0,14.0,20.0,12.0,5.0,4.0,4.0,6.0,2.0,6.0,6.0,4.0,1.0,2.0,8.0,7.0,2.0,8.0,2.0,5.0,2.0,4.0,9.0,9.0,4.0,6.0,11.0
cook,4.0,10.0,6.0,4.0,13.0,12.0,20.0,7.0,15.0,4.0,6.0,4.0,7.0,2.0,4.0,7.0,6.0,5.0,4.0,4.0,5.0,4.0,11.0,4.0,4.0,4.0,3.0,8.0,7.0,4.0
dentist,2.0,4.0,2.0,6.0,4.0,5.0,7.0,20.0,17.0,6.0,8.0,4.0,5.0,4.0,7.0,2.0,4.0,17.0,11.0,4.0,7.0,5.0,3.0,6.0,3.0,7.0,3.0,4.0,7.0,7.0
doctor,7.0,6.0,4.0,7.0,2.0,4.0,15.0,17.0,20.0,6.0,9.0,5.0,4.0,10.0,13.0,8.0,5.0,13.0,17.0,4.0,8.0,4.0,5.0,11.0,2.0,6.0,7.0,4.0,9.0,17.0
educator,6.0,9.0,9.0,6.0,7.0,4.0,4.0,6.0,6.0,20.0,5.0,4.0,8.0,2.0,4.0,11.0,6.0,9.0,7.0,14.0,5.0,4.0,8.0,16.0,8.0,7.0,4.0,3.0,12.0,5.0
