exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,9.0,12.0,11.0,15.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,13.0,13.0,16.0,13.0,15.0,11.0,10.0,13.0,9.0,11.0,12.0,10.0,14.0,12.0,10.0,14.0,13.0,9.0
actor,9.0,20.0,11.0,11.0,10.0,11.0,10.0,10.0,12.0,11.0,12.0,10.0,11.0,9.0,10.0,12.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,12.0,10.0,10.0,13.0,11.0,11.0,12.0
archaeologist,12.0,11.0,20.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,13.0,9.0,10.0,11.0,10.0,11.0,10.0,12.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,12.0,11.0
architect,11.0,11.0,12.0,20.0,9.0,11.0,10.0,12.0,10.0,9.0,10.0,10.0,14.0,11.0,12.0,12.0,14.0,11.0,11.0,11.0,10.0,12.0,11.0,11.0,10.0,10.0,10.0,12.0,11.0,10.0
baker,15.0,10.0,10.0,9.0,20.0,15.0,14.0,9.0,12.0,11.0,12.0,9.0,9.0,10.0,10.0,10.0,11.0,16.0,10.0,10.0,10.0,14.0,9.0,9.0,12.0,18.0,13.0,9.0,11.0,11.0
butcher,11.0,11.0,10.0,11.0,15.0,20.0,16.0,10.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,17.0,12.0,10.0,9.0,15.0
cook,11.0,10.0,10.0,10.0,14.0,16.0,20.0,10.0,9.0,11.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,10.0,12.0,11.0,12.0,10.0,9.0,10.0,11.0,13.0,11.0,11.0,11.0,11.0
dentist,11.0,10.0,11.0,12.0,9.0,10.0,10.0,20.0,15.0,14.0,10.0,9.0,11.0,11.0,10.0,11.0,11.0,13.0,15.0,10.0,12.0,15.0,11.0,13.0,12.0,10.0,9.0,12.0,12.0,15.0
doctor,11.0,12.0,10.0,10.0,12.0,11.0,9.0,15.0,20.0,13.0,15.0,9.0,13.0,14.0,14.0,13.0,13.0,13.0,13.0,15.0,11.0,9.0,10.0,14.0,12.0,10.0,10.0,10.0,11.0,16.0
educator,10.0,11.0,10.0,9.0,11.0,9.0,11.0,14.0,13.0,20.0,9.0,9.0,9.0,12.0,10.0,12.0,10.0,12.0,11.0,9.0,9.0,12.0,9.0,16.0,15.0,10.0,10.0,10.0,13.0,11.0
fireman,10.0,12.0,13.0,10.0,12.0,10.0,11.0,10.0,15.0,9.0,20.0,12.0,11.0,11.0,13.0,10.0,11.0,11.0,9.0,13.0,13.0,14.0,12.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0
garbage collector,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,12.0,20.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,14.0,10.0,10.0,9.0,10.0,10.0,10.0
information scientist,13.0,11.0,10.0,14.0,9.0,11.0,10.0,11.0,13.0,9.0,11.0,9.0,20.0,12.0,11.0,13.0,13.0,10.0,11.0,12.0,9.0,12.0,11.0,13.0,12.0,11.0,10.0,10.0,12.0,10.0
judge,13.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,14.0,12.0,11.0,9.0,12.0,20.0,15.0,12.0,13.0,11.0,10.0,10.0,10.0,12.0,10.0,12.0,10.0,9.0,10.0,9.0,11.0,11.0
lawyer,16.0,10.0,10.0,12.0,10.0,9.0,11.0,10.0,14.0,10.0,13.0,10.0,11.0,15.0,20.0,14.0,14.0,11.0,10.0,12.0,10.0,14.0,11.0,12.0,12.0,10.0,10.0,10.0,11.0,12.0
manager,13.0,12.0,11.0,12.0,10.0,9.0,9.0,11.0,13.0,12.0,10.0,8.0,13.0,12.0,14.0,20.0,11.0,9.0,9.0,12.0,10.0,12.0,10.0,10.0,12.0,12.0,10.0,13.0,15.0,11.0
minister,15.0,11.0,10.0,14.0,11.0,8.0,11.0,11.0,13.0,10.0,11.0,10.0,13.0,13.0,14.0,11.0,20.0,11.0,11.0,12.0,11.0,13.0,10.0,11.0,12.0,11.0,17.0,10.0,12.0,10.0
pharmacist,11.0,10.0,12.0,11.0,16.0,9.0,10.0,13.0,13.0,12.0,11.0,10.0,10.0,11.0,11.0,9.0,11.0,20.0,12.0,10.0,10.0,10.0,11.0,13.0,13.0,13.0,12.0,10.0,9.0,12.0
physiotherapist,10.0,11.0,10.0,11.0,10.0,9.0,12.0,15.0,13.0,11.0,9.0,9.0,11.0,10.0,10.0,9.0,11.0,12.0,20.0,9.0,10.0,10.0,10.0,15.0,12.0,13.0,8.0,11.0,10.0,15.0
pilot,13.0,10.0,11.0,11.0,10.0,10.0,11.0,10.0,15.0,9.0,13.0,10.0,12.0,10.0,12.0,12.0,12.0,10.0,9.0,20.0,10.0,13.0,1.0,11.0,10.0,10.0,10.0,15.0,10.0,10.0
plumber,9.0,10.0,11.0,10.0,10.0,10.0,12.0,12.0,11.0,9.0,13.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,20.0,9.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0
