exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,6.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,10.0,3.0,2.0,3.0,3.0,3.0
actor,3.0,20.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
archaeologist,3.0,3.0,20.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0
architect,3.0,3.0,3.0,20.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0
baker,2.0,2.0,2.0,3.0,20.0,9.0,16.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0
butcher,2.0,2.0,3.0,2.0,9.0,20.0,14.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0
cook,3.0,3.0,3.0,3.0,16.0,14.0,20.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
dentist,3.0,3.0,3.0,5.0,3.0,3.0,3.0,20.0,15.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,8.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,13.0
doctor,3.0,3.0,4.0,4.0,2.0,2.0,3.0,15.0,20.0,3.0,6.0,2.0,4.0,5.0,5.0,4.0,4.0,8.0,3.0,4.0,2.0,2.0,3.0,13.0,3.0,3.0,2.0,4.0,4.0,13.0
educator,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,20.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,13.0,2.0
fireman,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,6.0,3.0,20.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,11.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
garbage collector,2.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,20.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0
information scientist,5.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,20.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0
judge,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,20.0,13.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0
lawyer,4.0,3.0,3.0,5.0,2.0,3.0,3.0,5.0,5.0,3.0,2.0,2.0,4.0,13.0,20.0,4.0,5.0,6.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0
manager,6.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,20.0,7.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0
minister,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,7.0,20.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0
pharmacist,3.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,8.0,2.0,3.0,2.0,3.0,4.0,6.0,4.0,3.0,20.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,10.0,3.0,3.0,3.0,4.0
physiotherapist,5.0,3.0,3.0,3.0,3.0,2.0,3.0,8.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,20.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0
pilot,4.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,20.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,7.0,3.0,3.0
