exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,8.0,9.0,7.0,6.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,7.0,9.0,8.0,10.0,10.0
actor,8.0,20.0,8.0,8.0,8.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,9.0,9.0,7.0,9.0,5.0,9.0,12.0,9.0,9.0
archaeologist,9.0,8.0,20.0,10.0,9.0,8.0,8.0,11.0,9.0,8.0,9.0,9.0,11.0,8.0,11.0,11.0,9.0,9.0,11.0,12.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0
architect,7.0,8.0,10.0,20.0,8.0,8.0,9.0,12.0,15.0,8.0,9.0,9.0,12.0,10.0,13.0,12.0,14.0,12.0,12.0,13.0,9.0,9.0,8.0,12.0,9.0,7.0,8.0,9.0,8.0,10.0
baker,6.0,8.0,9.0,8.0,20.0,10.0,14.0,9.0,9.0,9.0,7.0,8.0,8.0,7.0,7.0,8.0,5.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0
butcher,9.0,10.0,8.0,8.0,10.0,20.0,11.0,7.0,8.0,9.0,8.0,9.0,5.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,10.0,11.0,7.0,9.0,10.0,9.0,8.0,8.0,10.0
cook,10.0,8.0,8.0,9.0,14.0,11.0,20.0,7.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,5.0,9.0,9.0,10.0,11.0,9.0,12.0,9.0
dentist,9.0,7.0,11.0,12.0,9.0,7.0,7.0,20.0,14.0,9.0,8.0,8.0,14.0,12.0,11.0,9.0,9.0,13.0,14.0,11.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0
doctor,10.0,9.0,9.0,15.0,9.0,8.0,10.0,14.0,20.0,8.0,8.0,8.0,13.0,16.0,15.0,13.0,13.0,14.0,15.0,13.0,7.0,7.0,7.0,15.0,8.0,8.0,8.0,9.0,8.0,10.0
educator,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,20.0,9.0,10.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,6.0,9.0,14.0,9.0
