exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,8.0,12.0,11.0,9.0,11.0,11.0,11.0,11.0,8.0,9.0,11.0,12.0,13.0,7.0,14.0,12.0,13.0,11.0,12.0,9.0,12.0,13.0,11.0,15.0,12.0,12.0,11.0,12.0,9.0
actor,8.0,20.0,9.0,12.0,7.0,9.0,12.0,9.0,11.0,12.0,10.0,9.0,11.0,13.0,12.0,9.0,13.0,9.0,10.0,11.0,9.0,12.0,10.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0
archaeologist,12.0,9.0,20.0,14.0,8.0,10.0,10.0,11.0,10.0,12.0,7.0,9.0,11.0,11.0,7.0,11.0,12.0,9.0,11.0,11.0,11.0,11.0,9.0,12.0,11.0,7.0,11.0,11.0,11.0,11.0
architect,11.0,12.0,14.0,20.0,11.0,10.0,11.0,8.0,12.0,10.0,6.0,9.0,13.0,13.0,12.0,12.0,10.0,11.0,12.0,11.0,12.0,9.0,10.0,9.0,13.0,10.0,8.0,10.0,10.0,12.0
baker,9.0,7.0,8.0,11.0,20.0,15.0,13.0,12.0,9.0,8.0,11.0,10.0,11.0,9.0,11.0,7.0,8.0,12.0,9.0,10.0,10.0,11.0,13.0,9.0,12.0,1.0,10.0,10.0,12.0,7.0
butcher,11.0,9.0,10.0,10.0,15.0,20.0,13.0,10.0,12.0,8.0,8.0,11.0,10.0,9.0,11.0,7.0,11.0,11.0,13.0,8.0,14.0,10.0,10.0,11.0,11.0,13.0,13.0,8.0,10.0,10.0
cook,11.0,12.0,10.0,11.0,13.0,13.0,20.0,9.0,11.0,11.0,10.0,10.0,9.0,8.0,11.0,9.0,9.0,11.0,10.0,11.0,11.0,13.0,6.0,10.0,11.0,12.0,11.0,9.0,10.0,10.0
dentist,11.0,9.0,11.0,8.0,12.0,10.0,9.0,20.0,14.0,10.0,9.0,8.0,9.0,11.0,12.0,11.0,9.0,13.0,17.0,9.0,11.0,11.0,10.0,13.0,11.0,9.0,11.0,11.0,10.0,13.0
doctor,11.0,11.0,10.0,12.0,9.0,12.0,11.0,14.0,20.0,11.0,9.0,7.0,11.0,12.0,11.0,13.0,11.0,14.0,14.0,11.0,10.0,9.0,8.0,14.0,13.0,10.0,7.0,8.0,11.0,12.0
educator,8.0,12.0,12.0,10.0,8.0,8.0,11.0,10.0,11.0,20.0,11.0,9.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,8.0,11.0,11.0,11.0,15.0,11.0,11.0,11.0,11.0,15.0,9.0
fireman,9.0,10.0,7.0,6.0,11.0,8.0,10.0,9.0,9.0,11.0,20.0,10.0,12.0,11.0,6.0,11.0,10.0,11.0,9.0,11.0,13.0,14.0,11.0,8.0,9.0,9.0,12.0,11.0,11.0,7.0
garbage collector,11.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,7.0,9.0,10.0,20.0,7.0,10.0,8.0,7.0,9.0,11.0,7.0,7.0,13.0,11.0,13.0,8.0,9.0,11.0,12.0,10.0,8.0,6.0
information scientist,12.0,11.0,11.0,13.0,11.0,10.0,9.0,9.0,11.0,11.0,12.0,7.0,20.0,10.0,11.0,13.0,11.0,10.0,11.0,12.0,9.0,10.0,8.0,11.0,12.0,12.0,9.0,9.0,11.0,8.0
judge,13.0,13.0,11.0,13.0,9.0,9.0,8.0,11.0,12.0,12.0,11.0,10.0,10.0,20.0,14.0,14.0,13.0,11.0,9.0,9.0,9.0,13.0,9.0,12.0,11.0,8.0,11.0,7.0,13.0,11.0
lawyer,7.0,12.0,7.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,6.0,8.0,11.0,14.0,20.0,11.0,14.0,14.0,10.0,13.0,10.0,12.0,12.0,13.0,13.0,11.0,5.0,10.0,12.0,8.0
manager,14.0,9.0,11.0,12.0,7.0,7.0,9.0,11.0,13.0,11.0,11.0,7.0,13.0,14.0,11.0,20.0,15.0,13.0,13.0,12.0,9.0,11.0,9.0,12.0,13.0,12.0,8.0,11.0,12.0,12.0
minister,12.0,13.0,12.0,10.0,8.0,11.0,9.0,9.0,11.0,11.0,10.0,9.0,11.0,13.0,14.0,15.0,20.0,12.0,9.0,11.0,8.0,12.0,7.0,12.0,11.0,7.0,8.0,11.0,11.0,11.0
pharmacist,13.0,9.0,9.0,11.0,12.0,11.0,11.0,13.0,14.0,11.0,11.0,11.0,10.0,11.0,14.0,13.0,12.0,20.0,12.0,9.0,9.0,10.0,8.0,13.0,10.0,13.0,10.0,8.0,8.0,13.0
physiotherapist,11.0,10.0,11.0,12.0,9.0,13.0,10.0,17.0,14.0,10.0,9.0,7.0,11.0,9.0,10.0,13.0,9.0,12.0,20.0,11.0,11.0,10.0,9.0,15.0,10.0,10.0,11.0,11.0,9.0,12.0
pilot,12.0,11.0,11.0,11.0,10.0,8.0,11.0,9.0,11.0,8.0,11.0,7.0,12.0,9.0,13.0,12.0,11.0,9.0,11.0,20.0,10.0,9.0,11.0,11.0,11.0,12.0,8.0,15.0,12.0,9.0
plumber,9.0,9.0,11.0,12.0,10.0,14.0,11.0,11.0,10.0,11.0,13.0,13.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,20.0,11.0,10.0,4.0,8.0,10.0,11.0,6.0,12.0,9.0
police officer,12.0,12.0,11.0,9.0,11.0,10.0,13.0,11.0,9.0,11.0,14.0,11.0,10.0,13.0,12.0,11.0,12.0,10.0,10.0,9.0,11.0,20.0,13.0,12.0,11.0,11.0,9.0,11.0,12.0,11.0
postman,13.0,10.0,9.0,10.0,13.0,10.0,6.0,10.0,8.0,11.0,11.0,13.0,8.0,9.0,12.0,9.0,7.0,8.0,9.0,11.0,10.0,13.0,20.0,10.0,10.0,14.0,12.0,11.0,11.0,10.0
psychologist,11.0,11.0,12.0,9.0,9.0,11.0,10.0,13.0,14.0,15.0,8.0,8.0,11.0,12.0,13.0,12.0,12.0,13.0,15.0,11.0,4.0,12.0,10.0,20.0,9.0,9.0,11.0,12.0,14.0,12.0
secretary,15.0,12.0,11.0,13.0,12.0,11.0,11.0,11.0,13.0,11.0,9.0,9.0,12.0,11.0,13.0,13.0,11.0,10.0,10.0,11.0,8.0,11.0,10.0,9.0,20.0,13.0,10.0,19.0,13.0,11.0
shop-assistant,12.0,11.0,7.0,10.0,1.0,13.0,12.0,9.0,10.0,11.0,9.0,11.0,12.0,8.0,11.0,12.0,7.0,13.0,10.0,12.0,10.0,11.0,14.0,9.0,13.0,20.0,15.0,11.0,9.0,9.0
stallholder,12.0,11.0,11.0,8.0,10.0,13.0,11.0,11.0,7.0,11.0,12.0,12.0,9.0,11.0,5.0,8.0,8.0,10.0,11.0,8.0,11.0,9.0,12.0,11.0,10.0,15.0,20.0,13.0,14.0,10.0
stewardess,11.0,12.0,11.0,10.0,10.0,8.0,9.0,11.0,8.0,11.0,11.0,10.0,9.0,7.0,10.0,11.0,11.0,8.0,11.0,15.0,6.0,11.0,11.0,12.0,19.0,11.0,13.0,20.0,10.0,11.0
teacher,12.0,11.0,11.0,10.0,12.0,10.0,10.0,10.0,11.0,15.0,11.0,8.0,11.0,13.0,12.0,12.0,11.0,8.0,9.0,12.0,12.0,12.0,11.0,14.0,13.0,9.0,14.0,10.0,20.0,8.0
veterinarian,9.0,11.0,11.0,12.0,7.0,10.0,10.0,13.0,12.0,9.0,7.0,6.0,8.0,11.0,8.0,12.0,11.0,13.0,12.0,9.0,9.0,11.0,10.0,12.0,11.0,9.0,10.0,11.0,8.0,20.0
