exemplar,% known,age of acquisition
accordeon,97.5,7.5
banjo,96.77,10.26
basgitaar,97.77,10.04
cello,98.28,10.13
cimbalen,94.9,9.14
contrabas,98.02,9.35
doedelzak,99.49,9.13
drumstel,98.99,8.38
dwarsfluit,98.76,7.96
fagot,90.26,10.43
fluit,99.25,6.22
gitaar,100.0,6.04
harp,98.03,8.83
klarinet,99.0,9.39
klavecimbel,93.93,11.84
mondharmonica,98.27,9.13
orgel,99.24,7.91
panfluit,95.15,9.95
piano,99.75,6.25
saxofoon,99.25,9.17
synthesizer,98.51,9.88
tamboerijn,96.09,8.04
triangel,99.49,8.22
trombone,96.3,11.5
trommel,99.75,4.87
trompet,98.75,6.67
viool,99.75,7.0
