exemplar,% known,age of acquisition
bazooka,91.33,10.58
bijl,98.42,7.61
boksbeugel,97.12,10.63
boog,99.49,6.17
dolk,98.98,8.04
geweer,100.0,6.42
granaat,100.0,8.75
kanon,99.75,7.17
katapult,98.73,7.91
knuppel,98.96,8.13
mitrailleur,95.59,9.33
pistool,99.74,7.25
schild,98.95,10.22
speer,99.49,8.13
stok,97.1,5.04
tank,99.23,8.08
touw,96.51,5.0
tweeloop,90.0,11.08
zwaard,100.0,6.21
zweep,99.75,8.38
