exemplar,% known,age of acquisition
auto,98.31,4.39
boot,98.79,5.0
bromfiets,99.26,8.78
brommer,99.51,7.25
bus,98.78,4.92
camion,98.28,6.04
camionette,97.95,7.92
caravan,99.51,7.33
duikboot,99.5,7.88
fiets,99.01,4.57
gocart,97.82,6.68
helikopter,99.25,6.91
hovercraft,89.35,12.86
jeep,97.85,7.74
kar,99.5,5.04
koets,99.02,6.75
luchtballon,98.54,6.58
metrostel,94.39,8.96
moto,98.07,7.96
raket,99.5,7.63
skateboard,97.59,8.29
slede,98.79,5.17
step,97.13,9.3
taxi,97.57,8.29
tractor,99.75,6.21
tram,99.26,7.91
trein,99.26,4.71
vliegtuig,100.0,5.83
vrachtwagen,99.01,5.21
zeppelin,97.07,9.54
