exemplar,% known,age of acquisition
ansjovis,96.77,10.7
dolfijn,98.76,6.21
forel,98.01,9.09
goudvis,99.26,5.3
haai,98.99,6.13
haring,98.03,8.46
inktvis,98.02,7.79
kabeljauw,99.75,8.08
karper,97.76,10.0
orka,99.5,8.58
paling,99.49,7.96
piranha,99.5,10.0
pladijs,95.66,10.74
platvis,94.24,9.96
potvis,99.49,10.5
rog,97.06,10.79
sardine,97.31,9.46
snoek,96.38,9.92
stekelbaars,96.77,9.88
tong,99.49,4.22
walvis,99.23,6.46
zalm,99.0,8.92
zwaardvis,98.0,9.08
