exemplar,log(lemmaFreq)
bat,2.4
beaver,1.7
bison,1.36
cat,3.48
cow,3.18
deer,2.47
dog,3.85
donkey,2.71
dromedary,1.11
elephant,2.63
fox,2.5
giraffe,1.6
hamster,1.72
hedgehog,2.13
hippopotamus,1.74
horse,3.82
kangaroo,1.62
lion,2.99
llama,1.95
monkey,2.93
mouse,2.95
pig,2.98
polar bear,1.49
rabbit,2.98
rhinoceros,1.6
sheep,3.05
squirrel,2.16
tiger,2.47
wolf,2.86
zebra,1.6
