exemplar,log(lemmaFreq)
blackbird,2.33
canary,2.03
chickadee,2.53
chicken,3.15
crow,2.56
cuckoo,1.97
dove,2.92
duck,3.01
eagle,2.25
falcon,2.6
heron,2.1
magpie,2.11
ostrich,1.4
owl,2.54
parakeet,1.9
parrot,2.42
peacock,2.38
pelican,1.71
penguin,1.51
pheasant,2.09
robin,1.51
rooster,2.86
seagull,2.65
sparrow,2.87
stork,2.0
swallow,2.31
swan,2.53
turkey,2.16
vulture,2.47
woodpecker,1.86
