exemplar,log(lemmaFreq)
(hot air) balloon,1.54
airplane,3.34
bicycle,3.31
boat,3.45
bus,3.39
car,3.94
carriage,2.54
cart,2.83
go-cart,0.0
helicopter,2.62
hovercraft,0.0
jeep,2.63
kick scooter,1.46
motorbike (brommer),2.39
motorbike (moto),1.51
rocket,2.7
scooter,2.09
skateboard,0.0
sled,2.1
submarine,1.86
subway train,0.0
taxi,3.08
tractor,2.26
trailer,2.18
train,3.54
tram,2.93
truck (camion),1.36
truck (vrachtwagen),2.94
van,0.0
zeppelin,1.38
