exemplar,log(lemmaFreq)
accordion,1.67
bagpipe,1.48
banjo,1.15
bass guitar,0.48
bassoon,1.08
cello,1.58
clarinet,1.57
cymbals,0.95
double bass,1.08
drum,2.92
drum set,1.15
flute,1.4
guitar,2.42
harmonica,1.58
harp,1.84
harpsichord,1.54
organ,2.45
pan flute,0.48
piano,2.83
recorder,2.36
saxophone,1.32
synthesizer,1.34
tambourine,1.32
triangle,1.18
trombone,1.08
trumpet,2.24
violin,2.7
