exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,4.0,10.0,3.0,4.0,3.0,9.0,4.0,5.0,5.0,7.0,4.0,1.0,2.0,5.0,1.0,1.0,6.0,2.0,6.0,7.0,16.0,3.0,12.0,3.0,4.0,4.0,12.0,4.0,4.0,6.0,2.0,12.0
bottle,4.0,20.0,4.0,2.0,5.0,9.0,5.0,4.0,9.0,7.0,6.0,15.0,5.0,3.0,14.0,4.0,3.0,6.0,5.0,2.0,5.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,1.0,3.0,6.0
bowl,10.0,4.0,20.0,3.0,6.0,2.0,9.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,4.0,3.0,4.0,7.0,10.0,2.0,8.0,12.0,9.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,6.0,9.0
can opener,3.0,2.0,3.0,20.0,3.0,3.0,4.0,4.0,3.0,11.0,4.0,8.0,5.0,5.0,2.0,4.0,6.0,3.0,6.0,9.0,3.0,2.0,7.0,14.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,6.0,3.0
colander,4.0,5.0,6.0,3.0,20.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,8.0,2.0,3.0,1.0,3.0,4.0
electric kettle,3.0,9.0,2.0,3.0,3.0,20.0,1.0,7.0,7.0,2.0,16.0,1.0,17.0,4.0,8.0,8.0,6.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0
fork,9.0,5.0,9.0,4.0,3.0,1.0,20.0,1.0,4.0,4.0,3.0,10.0,7.0,3.0,7.0,9.0,14.0,5.0,3.0,8.0,3.0,13.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,6.0,3.0,6.0,2.0
fridge,4.0,4.0,3.0,4.0,4.0,7.0,1.0,20.0,7.0,3.0,4.0,1.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,8.0,3.0,1.0,3.0,4.0,8.0,2.0,5.0,2.0,4.0,8.0
glass,5.0,9.0,3.0,3.0,3.0,7.0,4.0,7.0,20.0,8.0,4.0,13.0,3.0,4.0,17.0,3.0,2.0,9.0,4.0,2.0,9.0,6.0,2.0,10.0,7.0,6.0,4.0,5.0,5.0,3.0,2.0,3.0,10.0
grater,5.0,7.0,3.0,11.0,2.0,2.0,4.0,3.0,8.0,20.0,5.0,9.0,3.0,11.0,3.0,3.0,1.0,8.0,2.0,2.0,5.0,2.0,3.0,10.0,6.0,4.0,4.0,3.0,2.0,2.0,2.0,10.0,4.0
kettle,7.0,6.0,3.0,4.0,5.0,16.0,3.0,4.0,4.0,5.0,20.0,3.0,6.0,8.0,7.0,4.0,4.0,16.0,12.0,4.0,8.0,10.0,2.0,3.0,2.0,16.0,16.0,5.0,15.0,4.0,7.0,3.0,3.0
knife,4.0,15.0,6.0,8.0,2.0,1.0,10.0,1.0,13.0,9.0,3.0,20.0,2.0,9.0,2.0,2.0,4.0,4.0,7.0,2.0,6.0,4.0,2.0,15.0,3.0,6.0,5.0,10.0,9.0,1.0,1.0,4.0,2.0
microwave oven,1.0,5.0,2.0,5.0,3.0,17.0,7.0,3.0,3.0,3.0,6.0,2.0,20.0,8.0,2.0,6.0,15.0,10.0,3.0,2.0,3.0,6.0,4.0,3.0,2.0,2.0,3.0,13.0,2.0,3.0,3.0,2.0,3.0
mixer,2.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,11.0,8.0,9.0,8.0,20.0,2.0,10.0,2.0,5.0,9.0,4.0,4.0,1.0,3.0,9.0,2.0,2.0,5.0,6.0,5.0,3.0,2.0,4.0,6.0
mug,5.0,14.0,4.0,2.0,3.0,8.0,7.0,3.0,17.0,3.0,7.0,2.0,2.0,2.0,20.0,4.0,2.0,7.0,1.0,2.0,9.0,7.0,2.0,12.0,2.0,4.0,3.0,2.0,6.0,4.0,4.0,2.0,9.0
nutcracker,1.0,4.0,3.0,4.0,2.0,8.0,9.0,3.0,3.0,3.0,4.0,2.0,6.0,10.0,4.0,20.0,2.0,2.0,8.0,3.0,5.0,2.0,6.0,9.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,5.0,2.0
oven,1.0,3.0,4.0,6.0,3.0,6.0,14.0,3.0,2.0,1.0,4.0,4.0,15.0,2.0,2.0,2.0,20.0,4.0,2.0,3.0,6.0,10.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,10.0
pan,6.0,6.0,7.0,3.0,2.0,3.0,5.0,2.0,9.0,8.0,16.0,4.0,10.0,5.0,7.0,2.0,4.0,20.0,3.0,2.0,10.0,18.0,2.0,2.0,9.0,7.0,4.0,2.0,2.0,3.0,2.0,5.0,16.0
percolator,2.0,5.0,10.0,6.0,3.0,2.0,3.0,3.0,4.0,2.0,12.0,7.0,3.0,9.0,1.0,8.0,2.0,3.0,20.0,4.0,4.0,9.0,2.0,2.0,5.0,3.0,3.0,2.0,8.0,7.0,2.0,8.0,5.0
place mat,6.0,2.0,2.0,9.0,2.0,3.0,8.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,20.0,8.0,3.0,5.0,7.0,2.0,8.0,4.0,3.0,5.0,16.0,3.0,13.0,1.0
plate,7.0,5.0,8.0,3.0,3.0,2.0,3.0,3.0,9.0,5.0,8.0,6.0,3.0,4.0,9.0,5.0,6.0,10.0,4.0,8.0,20.0,8.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,8.0,2.0,4.0,13.0
