exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,9.0,4.0,4.0,4.0,4.0,5.0,4.0
bottle,4.0,20.0,18.0,8.0,12.0,17.0,8.0,12.0,18.0,5.0,14.0,8.0,8.0,9.0,16.0,4.0,7.0,12.0,14.0,4.0,9.0,18.0,9.0,5.0,9.0,8.0,7.0,7.0,4.0,8.0,8.0,6.0,12.0
bowl,4.0,18.0,20.0,6.0,17.0,12.0,8.0,11.0,16.0,11.0,18.0,12.0,8.0,14.0,16.0,6.0,11.0,18.0,11.0,10.0,18.0,18.0,17.0,7.0,17.0,12.0,12.0,8.0,5.0,7.0,9.0,12.0,18.0
can opener,4.0,8.0,6.0,20.0,11.0,12.0,13.0,11.0,7.0,15.0,9.0,16.0,8.0,12.0,7.0,18.0,11.0,9.0,13.0,9.0,7.0,6.0,11.0,17.0,11.0,12.0,14.0,10.0,12.0,12.0,5.0,16.0,8.0
colander,4.0,12.0,17.0,11.0,20.0,12.0,12.0,9.0,14.0,16.0,18.0,5.0,9.0,8.0,14.0,6.0,11.0,17.0,14.0,4.0,16.0,16.0,17.0,6.0,19.0,9.0,4.0,7.0,11.0,15.0,7.0,11.0,17.0
electric kettle,4.0,17.0,12.0,12.0,12.0,20.0,4.0,11.0,17.0,7.0,17.0,4.0,14.0,15.0,11.0,12.0,11.0,15.0,18.0,4.0,8.0,17.0,17.0,8.0,9.0,7.0,6.0,12.0,4.0,16.0,7.0,7.0,9.0
fork,4.0,8.0,8.0,13.0,12.0,4.0,20.0,7.0,9.0,12.0,13.0,19.0,9.0,15.0,15.0,11.0,9.0,9.0,7.0,9.0,13.0,10.0,9.0,18.0,11.0,17.0,18.0,4.0,18.0,9.0,9.0,18.0,9.0
fridge,2.0,12.0,11.0,11.0,9.0,11.0,7.0,20.0,9.0,9.0,15.0,8.0,16.0,15.0,8.0,9.0,16.0,5.0,14.0,4.0,11.0,11.0,12.0,6.0,6.0,5.0,8.0,17.0,4.0,12.0,4.0,7.0,9.0
glass,1.0,18.0,16.0,7.0,14.0,17.0,9.0,9.0,20.0,9.0,15.0,11.0,8.0,7.0,19.0,4.0,7.0,14.0,10.0,4.0,13.0,13.0,9.0,9.0,14.0,13.0,11.0,6.0,11.0,6.0,7.0,6.0,12.0
grater,3.0,5.0,11.0,15.0,16.0,7.0,12.0,9.0,9.0,20.0,6.0,11.0,7.0,16.0,11.0,16.0,8.0,9.0,11.0,4.0,14.0,11.0,12.0,15.0,18.0,13.0,12.0,7.0,11.0,15.0,8.0,12.0,10.0
kettle,4.0,14.0,18.0,9.0,18.0,17.0,13.0,15.0,15.0,6.0,20.0,11.0,14.0,12.0,12.0,4.0,12.0,18.0,14.0,4.0,14.0,19.0,11.0,9.0,16.0,5.0,4.0,4.0,8.0,10.0,4.0,11.0,18.0
knife,6.0,8.0,12.0,16.0,5.0,4.0,19.0,8.0,11.0,11.0,11.0,20.0,5.0,8.0,15.0,14.0,6.0,8.0,7.0,12.0,13.0,6.0,5.0,18.0,8.0,13.0,17.0,5.0,4.0,9.0,8.0,16.0,8.0
microwave oven,4.0,8.0,8.0,8.0,9.0,14.0,9.0,16.0,8.0,7.0,14.0,5.0,20.0,16.0,11.0,8.0,18.0,12.0,14.0,4.0,6.0,11.0,12.0,7.0,5.0,6.0,8.0,17.0,2.0,17.0,4.0,11.0,12.0
mixer,4.0,9.0,14.0,12.0,8.0,15.0,15.0,15.0,7.0,16.0,12.0,8.0,16.0,20.0,8.0,12.0,16.0,8.0,16.0,4.0,6.0,12.0,12.0,13.0,13.0,15.0,16.0,13.0,11.0,13.0,4.0,19.0,9.0
mug,4.0,16.0,16.0,7.0,14.0,11.0,15.0,8.0,19.0,11.0,12.0,15.0,11.0,8.0,20.0,5.0,5.0,16.0,14.0,10.0,13.0,16.0,16.0,7.0,9.0,7.0,13.0,5.0,12.0,7.0,6.0,8.0,10.0
nutcracker,4.0,4.0,6.0,18.0,6.0,12.0,11.0,9.0,4.0,16.0,4.0,14.0,8.0,12.0,5.0,20.0,8.0,7.0,12.0,4.0,6.0,4.0,9.0,16.0,11.0,16.0,13.0,8.0,14.0,8.0,4.0,15.0,9.0
oven,4.0,7.0,11.0,11.0,11.0,11.0,9.0,16.0,7.0,8.0,12.0,6.0,18.0,16.0,5.0,8.0,20.0,12.0,12.0,6.0,9.0,10.0,11.0,4.0,9.0,4.0,4.0,19.0,8.0,17.0,4.0,5.0,11.0
pan,4.0,12.0,18.0,9.0,17.0,15.0,9.0,5.0,14.0,9.0,18.0,8.0,12.0,8.0,16.0,7.0,12.0,20.0,12.0,5.0,17.0,19.0,15.0,7.0,15.0,8.0,8.0,11.0,12.0,12.0,4.0,12.0,19.0
percolator,4.0,14.0,11.0,13.0,14.0,18.0,7.0,14.0,10.0,11.0,14.0,7.0,14.0,16.0,14.0,12.0,12.0,12.0,20.0,8.0,8.0,17.0,12.0,11.0,12.0,8.0,9.0,14.0,6.0,15.0,4.0,12.0,7.0
place mat,3.0,4.0,10.0,9.0,4.0,4.0,9.0,4.0,4.0,4.0,4.0,12.0,4.0,4.0,10.0,4.0,6.0,5.0,8.0,20.0,17.0,5.0,4.0,8.0,11.0,7.0,8.0,2.0,6.0,8.0,15.0,4.0,4.0
plate,4.0,9.0,18.0,7.0,16.0,8.0,13.0,11.0,13.0,14.0,14.0,13.0,6.0,6.0,13.0,6.0,9.0,17.0,8.0,17.0,20.0,8.0,15.0,11.0,13.0,11.0,11.0,11.0,12.0,9.0,8.0,8.0,14.0
pot,5.0,18.0,18.0,6.0,16.0,17.0,10.0,11.0,13.0,11.0,19.0,6.0,11.0,12.0,16.0,4.0,10.0,19.0,17.0,5.0,8.0,20.0,17.0,7.0,18.0,10.0,9.0,4.0,9.0,8.0,7.0,8.0,17.0
scales,4.0,9.0,17.0,11.0,17.0,17.0,9.0,12.0,9.0,12.0,11.0,5.0,12.0,12.0,16.0,9.0,11.0,15.0,12.0,4.0,15.0,17.0,20.0,6.0,17.0,5.0,8.0,14.0,7.0,17.0,9.0,15.0,12.0
scissors,4.0,5.0,7.0,17.0,6.0,8.0,18.0,6.0,9.0,15.0,9.0,18.0,7.0,13.0,7.0,16.0,4.0,7.0,11.0,8.0,11.0,7.0,6.0,20.0,10.0,16.0,17.0,4.0,13.0,7.0,7.0,17.0,8.0
sieve,3.0,9.0,17.0,11.0,19.0,9.0,11.0,6.0,14.0,18.0,16.0,8.0,5.0,13.0,9.0,11.0,9.0,15.0,12.0,11.0,13.0,18.0,17.0,10.0,20.0,12.0,10.0,14.0,11.0,8.0,11.0,9.0,15.0
spatula,4.0,8.0,12.0,12.0,9.0,7.0,17.0,5.0,13.0,13.0,5.0,13.0,6.0,15.0,7.0,16.0,4.0,8.0,8.0,7.0,11.0,10.0,5.0,16.0,12.0,20.0,18.0,4.0,17.0,7.0,9.0,17.0,8.0
spoon,9.0,7.0,12.0,14.0,4.0,6.0,18.0,8.0,11.0,12.0,4.0,17.0,8.0,16.0,13.0,13.0,4.0,8.0,9.0,8.0,11.0,9.0,8.0,17.0,10.0,18.0,20.0,5.0,19.0,5.0,9.0,17.0,11.0
