exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,5.0,2.0,2.0,5.0,10.0,4.0,4.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,3.0,10.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,2.0,4.0,10.0,5.0,2.0,2.0,3.0,2.0,2.0
bottle,5.0,20.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,10.0,5.0,3.0,4.0,5.0,2.0
bowl,2.0,5.0,20.0,3.0,12.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,15.0,5.0,3.0,4.0,2.0,12.0,4.0,2.0,15.0,4.0,5.0,10.0,10.0,2.0,4.0,5.0,2.0,6.0,3.0,3.0
can opener,2.0,4.0,3.0,20.0,4.0,1.0,3.0,5.0,5.0,2.0,6.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,4.0,5.0,15.0,4.0,4.0,2.0,2.0,12.0,2.0
colander,5.0,3.0,12.0,4.0,20.0,3.0,15.0,5.0,3.0,3.0,4.0,3.0,3.0,6.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,5.0,3.0,8.0,3.0,3.0,6.0
electric kettle,10.0,5.0,3.0,1.0,3.0,20.0,5.0,2.0,15.0,3.0,4.0,2.0,3.0,15.0,18.0,4.0,2.0,10.0,3.0,5.0,2.0,15.0,2.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0
fork,4.0,5.0,2.0,3.0,15.0,5.0,20.0,2.0,5.0,3.0,4.0,3.0,5.0,14.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,12.0,15.0,5.0,18.0,3.0,4.0,4.0,3.0,15.0,1.0
fridge,4.0,5.0,2.0,5.0,5.0,2.0,2.0,20.0,5.0,4.0,3.0,2.0,18.0,2.0,10.0,5.0,18.0,15.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,15.0,2.0,5.0,2.0
glass,4.0,3.0,3.0,5.0,3.0,15.0,5.0,5.0,20.0,4.0,5.0,4.0,3.0,5.0,5.0,1.0,4.0,4.0,5.0,6.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0
grater,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,20.0,4.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,3.0,3.0,15.0,5.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0
