exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,15.0,2.0,2.0
bottle,1.0,20.0,8.0,11.0,2.0,1.0,3.0,1.0,8.0,1.0,8.0,5.0,2.0,1.0,11.0,1.0,2.0,6.0,5.0,1.0,3.0,8.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0
bowl,1.0,8.0,20.0,2.0,2.0,5.0,1.0,5.0,8.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,8.0,12.0,2.0,2.0,8.0,17.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,17.0
can opener,2.0,11.0,2.0,20.0,5.0,2.0,10.0,1.0,1.0,5.0,2.0,15.0,1.0,3.0,1.0,10.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,15.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0
colander,3.0,2.0,2.0,5.0,20.0,2.0,1.0,1.0,2.0,3.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,14.0
electric kettle,1.0,1.0,5.0,2.0,2.0,20.0,2.0,2.0,3.0,1.0,3.0,1.0,14.0,2.0,2.0,11.0,10.0,2.0,18.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,14.0,2.0,5.0,2.0,2.0,3.0
fork,2.0,3.0,1.0,10.0,1.0,2.0,20.0,1.0,5.0,2.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,2.0,6.0,1.0,2.0,5.0,2.0,9.0,3.0,5.0,5.0,1.0,1.0,5.0,15.0
fridge,1.0,1.0,5.0,1.0,1.0,2.0,1.0,20.0,2.0,4.0,5.0,1.0,8.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0
glass,3.0,8.0,8.0,1.0,2.0,3.0,5.0,2.0,20.0,1.0,5.0,1.0,1.0,2.0,18.0,1.0,2.0,1.0,2.0,1.0,5.0,8.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
grater,2.0,1.0,2.0,5.0,3.0,1.0,2.0,4.0,1.0,20.0,2.0,14.0,2.0,5.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
