exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
bottle,1.0,20.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
bowl,1.0,1.0,20.0,1.0,12.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,18.0,1.0,1.0,15.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0
can opener,1.0,1.0,1.0,20.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
colander,1.0,1.0,12.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,11.0
electric kettle,2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,14.0,1.0,14.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,10.0
fork,1.0,4.0,2.0,2.0,1.0,1.0,20.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.0,1.0,1.0,4.0,1.0,11.0,19.0,1.0,18.0,1.0,1.0,1.0,1.0
fridge,1.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
glass,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
grater,1.0,1.0,9.0,1.0,1.0,1.0,5.0,1.0,1.0,20.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kettle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,2.0,16.0,1.0,1.0,1.0,9.0,15.0,15.0,9.0,10.0,10.0,1.0,1.0,9.0,4.0,1.0,10.0,10.0,8.0,1.0,1.0,11.0
knife,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,14.0,2.0,20.0,4.0,1.0,9.0,14.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0
microwave oven,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,16.0,4.0,20.0,1.0,5.0,1.0,1.0,15.0,1.0,1.0,16.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,1.0
mixer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,9.0,5.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,20.0,11.0
mug,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,9.0,5.0,1.0,20.0,1.0,10.0,1.0,19.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
nutcracker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,1.0
oven,1.0,1.0,3.0,1.0,10.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,1.0,9.0,10.0,1.0,20.0,13.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,8.0,1.0,1.0,1.0
pan,1.0,1.0,18.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,15.0,1.0,15.0,5.0,1.0,1.0,13.0,20.0,1.0,15.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
percolator,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,20.0,1.0,1.0,14.0,4.0,1.0,1.0,1.0,5.0,10.0,1.0,11.0,1.0,1.0,1.0
place mat,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,10.0,15.0,1.0,20.0,20.0,2.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0
plate,1.0,1.0,15.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,10.0,9.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,20.0,20.0,16.0,12.0,1.0,1.0,1.0,14.0,4.0,9.0,1.0,1.0,1.0,1.0
pot,1.0,1.0,18.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,8.0,9.0,1.0,1.0,1.0,14.0,14.0,2.0,16.0,20.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
scales,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,12.0,1.0,20.0,1.0,5.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,4.0
scissors,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,20.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,4.0,1.0
sieve,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
