exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,1.0,3.0,5.0,4.0,1.0,1.0,3.0,5.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,6.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,6.0,2.0,2.0,12.0,5.0,1.0
bottle,1.0,20.0,2.0,9.0,3.0,2.0,1.0,4.0,3.0,5.0,6.0,3.0,6.0,4.0,3.0,5.0,2.0,2.0,3.0,5.0,6.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,2.0,3.0
bowl,3.0,2.0,20.0,2.0,1.0,5.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,9.0,18.0,3.0,2.0,14.0,5.0,2.0,4.0,1.0,5.0,2.0,6.0,1.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0
can opener,5.0,9.0,2.0,20.0,2.0,4.0,6.0,2.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0
colander,4.0,3.0,1.0,2.0,20.0,6.0,4.0,4.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,17.0,2.0,5.0,3.0,1.0,3.0,20.0,2.0,1.0,6.0,2.0,2.0,1.0,3.0,1.0
electric kettle,1.0,2.0,5.0,4.0,6.0,20.0,6.0,6.0,3.0,6.0,8.0,1.0,5.0,4.0,1.0,2.0,2.0,8.0,2.0,3.0,2.0,6.0,1.0,3.0,2.0,5.0,6.0,12.0,5.0,19.0,3.0,5.0,2.0
fork,1.0,1.0,2.0,6.0,4.0,6.0,20.0,2.0,2.0,2.0,1.0,6.0,3.0,2.0,6.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,5.0,1.0,17.0,5.0,5.0,1.0,1.0,2.0,9.0
fridge,3.0,4.0,1.0,2.0,4.0,6.0,2.0,20.0,4.0,2.0,1.0,1.0,6.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,4.0,8.0,2.0,1.0,3.0,5.0,5.0,3.0,6.0
glass,5.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,20.0,3.0,1.0,5.0,3.0,3.0,1.0,2.0,2.0,6.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,5.0
grater,2.0,5.0,6.0,1.0,6.0,6.0,2.0,2.0,3.0,20.0,2.0,3.0,2.0,2.0,4.0,3.0,5.0,1.0,3.0,1.0,1.0,5.0,6.0,5.0,13.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0
