exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,4.0,3.0,1.0,4.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,14.0,1.0,1.0,20.0,1.0,1.0
bottle,1.0,20.0,1.0,1.0,4.0,11.0,1.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,4.0,9.0,1.0,12.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0
bowl,1.0,1.0,20.0,18.0,16.0,6.0,1.0,1.0,4.0,1.0,19.0,1.0,19.0,1.0,3.0,1.0,18.0,19.0,1.0,1.0,14.0,19.0,16.0,1.0,1.0,,12.0,19.0,1.0,1.0,1.0,15.0,16.0
can opener,6.0,1.0,18.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,9.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,18.0,20.0,13.0,1.0,1.0,,8.0,1.0,1.0,1.0,1.0,1.0,1.0
colander,1.0,4.0,16.0,1.0,20.0,6.0,1.0,1.0,4.0,1.0,17.0,1.0,1.0,1.0,14.0,1.0,2.0,2.0,11.0,1.0,1.0,20.0,5.0,1.0,20.0,,1.0,2.0,1.0,1.0,1.0,4.0,17.0
electric kettle,1.0,11.0,6.0,1.0,6.0,20.0,1.0,13.0,14.0,1.0,9.0,1.0,19.0,14.0,19.0,1.0,19.0,3.0,20.0,1.0,1.0,11.0,5.0,1.0,1.0,,20.0,20.0,1.0,14.0,1.0,1.0,14.0
fork,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,,20.0,2.0,16.0,1.0,1.0,8.0,1.0
fridge,1.0,1.0,1.0,1.0,1.0,13.0,1.0,20.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,18.0,1.0,1.0,1.0
glass,1.0,20.0,4.0,1.0,4.0,14.0,1.0,1.0,20.0,1.0,14.0,1.0,1.0,1.0,20.0,1.0,9.0,1.0,5.0,1.0,20.0,18.0,1.0,1.0,1.0,,5.0,1.0,11.0,1.0,1.0,1.0,1.0
grater,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,11.0,18.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,,1.0,1.0,1.0,1.0,1.0,13.0,2.0
