exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
bathing suit,16.0,13.0,16.0,28.0,16.0,17.0,25.0,21.0,22.0,25.0,28.0,29.0,16.0,27.0,28.0,14.0,20.0,28.0,26.0,17.0
beanie,21.0,20.0,27.0,22.0,26.0,26.0,,29.0,24.0,21.0,24.0,23.0,30.0,20.0,16.0,20.0,26.0,25.0,20.0,15.0
belt,27.0,24.0,23.0,25.0,28.0,18.0,27.0,17.0,29.0,27.0,29.0,21.0,28.0,8.0,27.0,29.0,21.0,22.0,14.0,22.0
blouse,13.0,7.0,5.0,7.0,2.0,5.0,3.0,15.0,7.0,10.0,14.0,9.0,4.0,4.0,4.0,19.0,11.0,8.0,30.0,13.0
boots,23.0,23.0,20.0,17.0,19.0,28.0,18.0,24.0,28.0,16.0,22.0,28.0,20.0,10.0,20.0,22.0,28.0,27.0,9.0,18.0
bra,25.0,25.0,24.0,20.0,22.0,22.0,22.0,4.0,20.0,20.0,15.0,19.0,12.0,2.0,24.0,28.0,13.0,20.0,12.0,28.0
cap,29.0,18.0,28.0,29.0,18.0,20.0,24.0,28.0,23.0,23.0,26.0,26.0,24.0,22.0,25.0,25.0,24.0,23.0,22.0,24.0
coat,20.0,10.0,11.0,24.0,15.0,6.0,10.0,16.0,3.0,13.0,5.0,6.0,3.0,26.0,2.0,17.0,12.0,17.0,16.0,20.0
dress,3.0,11.0,9.0,9.0,9.0,2.0,6.0,11.0,4.0,6.0,11.0,5.0,13.0,28.0,15.0,4.0,9.0,3.0,29.0,10.0
dungarees,18.0,21.0,10.0,26.0,12.0,,15.0,25.0,16.0,28.0,18.0,13.0,19.0,18.0,,18.0,16.0,12.0,15.0,16.0
hat,19.0,22.0,29.0,27.0,17.0,19.0,26.0,27.0,21.0,22.0,27.0,24.0,22.0,20.0,14.0,16.0,27.0,26.0,25.0,23.0
jeans,4.0,12.0,4.0,10.0,3.0,3.0,1.0,12.0,10.0,3.0,4.0,11.0,14.0,5.0,1.0,10.0,4.0,10.0,1.0,4.0
mittens,22.0,29.0,22.0,23.0,29.0,25.0,28.0,26.0,27.0,26.0,25.0,25.0,21.0,25.0,21.0,26.0,29.0,18.0,24.0,12.0
panties,28.0,27.0,26.0,18.0,25.0,21.0,21.0,2.0,19.0,19.0,16.0,18.0,23.0,6.0,18.0,15.0,14.0,19.0,18.0,9.0
pants,6.0,1.0,1.0,2.0,23.0,12.0,11.0,1.0,1.0,1.0,3.0,1.0,11.0,7.0,9.0,2.0,3.0,7.0,11.0,2.0
pullover,2.0,9.0,2.0,1.0,1.0,7.0,9.0,8.0,6.0,4.0,1.0,3.0,2.0,12.0,3.0,1.0,2.0,13.0,23.0,26.0
pyjamas,14.0,19.0,15.0,16.0,13.0,16.0,12.0,29.0,18.0,18.0,20.0,17.0,10.0,13.0,17.0,13.0,15.0,11.0,8.0,29.0
scarf,26.0,17.0,25.0,19.0,20.0,27.0,23.0,22.0,26.0,17.0,23.0,22.0,29.0,23.0,26.0,24.0,22.0,21.0,13.0,11.0
shirt,8.0,3.0,8.0,4.0,11.0,10.0,8.0,5.0,11.0,5.0,8.0,8.0,8.0,17.0,7.0,8.0,6.0,5.0,2.0,1.0
shoes,15.0,26.0,19.0,8.0,7.0,24.0,16.0,6.0,25.0,14.0,10.0,12.0,26.0,24.0,23.0,27.0,23.0,29.0,3.0,6.0
shorts,17.0,8.0,14.0,3.0,24.0,11.0,7.0,10.0,14.0,11.0,7.0,10.0,5.0,15.0,8.0,6.0,8.0,9.0,17.0,8.0
skirt,1.0,2.0,6.0,12.0,5.0,8.0,2.0,9.0,8.0,7.0,6.0,4.0,6.0,1.0,13.0,5.0,7.0,4.0,5.0,17.0
socks,24.0,14.0,17.0,11.0,27.0,23.0,20.0,7.0,13.0,15.0,13.0,20.0,7.0,18.0,22.0,23.0,19.0,15.0,27.0,7.0
suit,9.0,15.0,13.0,14.0,10.0,1.0,5.0,3.0,9.0,29.0,12.0,15.0,1.0,14.0,10.0,11.0,18.0,1.0,6.0,25.0
sweater,10.0,5.0,7.0,6.0,6.0,4.0,4.0,14.0,5.0,9.0,9.0,14.0,17.0,9.0,6.0,9.0,5.0,2.0,4.0,21.0
t-shirt,11.0,4.0,18.0,13.0,4.0,14.0,13.0,18.0,12.0,2.0,17.0,7.0,18.0,3.0,12.0,7.0,10.0,14.0,18.0,3.0
tie,5.0,28.0,21.0,21.0,21.0,15.0,19.0,23.0,17.0,24.0,21.0,27.0,25.0,21.0,19.0,21.0,25.0,24.0,10.0,19.0
top,7.0,16.0,3.0,5.0,8.0,9.0,17.0,13.0,2.0,8.0,2.0,2.0,9.0,11.0,5.0,3.0,1.0,6.0,21.0,5.0
tracksuit,12.0,6.0,12.0,15.0,14.0,13.0,14.0,20.0,15.0,12.0,19.0,16.0,15.0,10.0,11.0,12.0,17.0,16.0,7.0,27.0
