exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
accountant,23.0,8.0,19.0,18.0,19.0,23.0,20.0,7.0,13.0,19.0,2.0,6.0,17.0,19.0,13.0,2.0,28.0,12.0,13.0,1.0
actor,28.0,26.0,26.0,30.0,30.0,20.0,22.0,29.0,30.0,30.0,28.0,31.0,25.0,25.0,27.0,26.0,29.0,29.0,30.0,27.0
archaeologist,21.0,18.0,30.0,24.0,28.0,28.0,21.0,28.0,29.0,25.0,29.0,30.0,30.0,26.0,23.0,18.0,21.0,30.0,28.0,7.0
architect,1.0,1.0,14.0,20.0,18.0,21.0,27.0,11.0,18.0,5.0,22.0,7.0,23.0,21.0,12.0,30.0,19.0,8.0,15.0,3.0
baker,20.0,21.0,1.0,2.0,1.0,1.0,10.0,3.0,1.0,9.0,9.0,2.0,10.0,1.0,3.0,23.0,4.0,17.0,17.0,24.0
butcher,25.0,19.0,2.0,3.0,2.0,5.0,11.0,4.0,3.0,11.0,8.0,3.0,2.0,2.0,1.0,22.0,10.0,18.0,18.0,23.0
cook,25.0,25.0,13.0,7.0,16.0,3.0,13.0,8.0,4.0,26.0,26.0,25.0,3.0,3.0,14.0,25.0,15.0,19.0,26.0,21.0
dentist,5.0,9.0,12.0,16.0,7.0,10.0,6.0,16.0,21.0,17.0,16.0,10.0,29.0,11.0,16.0,17.0,6.0,2.0,10.0,12.0
doctor,11.0,2.0,5.0,8.0,3.0,2.0,1.0,6.0,20.0,8.0,15.0,1.0,5.0,10.0,8.0,1.0,3.0,1.0,2.0,9.0
educator,27.0,17.0,25.0,6.0,25.0,27.0,19.0,15.0,10.0,22.0,10.0,20.0,9.0,27.0,26.0,15.0,12.0,22.0,4.0,16.0
fireman,8.0,27.0,22.0,27.0,9.0,12.0,5.0,25.0,8.0,16.0,27.0,27.0,16.0,9.0,4.0,27.0,13.0,11.0,1.0,20.0
garbage collector,26.0,30.0,16.0,10.0,10.0,22.0,18.0,17.0,12.0,21.0,12.0,26.0,20.0,14.0,11.0,17.0,5.0,25.0,22.0,29.0
information scientist,22.0,10.0,8.0,15.0,26.0,13.0,29.0,14.0,26.0,23.0,4.0,23.0,21.0,22.0,22.0,13.0,27.0,5.0,14.0,6.0
judge,17.0,14.0,15.0,25.0,15.0,15.0,26.0,26.0,19.0,6.0,25.0,13.0,28.0,29.0,29.0,16.0,24.0,7.0,5.0,14.0
lawyer,13.0,6.0,4.0,21.0,11.0,6.0,30.0,20.0,23.0,10.0,23.0,14.0,14.0,15.0,10.0,11.0,8.0,3.0,6.0,2.0
manager,16.0,7.0,28.0,26.0,17.0,29.0,9.0,27.0,27.0,7.0,5.0,16.0,11.0,12.0,28.0,19.0,18.0,13.0,11.0,4.0
minister,6.0,24.0,23.0,28.0,29.0,30.0,15.0,30.0,25.0,28.0,30.0,24.0,6.0,30.0,30.0,28.0,25.0,10.0,29.0,8.0
pharmacist,7.0,5.0,9.0,22.0,21.0,7.0,7.0,21.0,16.0,3.0,14.0,11.0,15.0,23.0,19.0,20.0,22.0,6.0,8.0,11.0
physiotherapist,10.0,4.0,17.0,15.0,22.0,17.0,16.0,9.0,16.0,18.0,18.0,12.0,4.0,28.0,20.0,5.0,30.0,15.0,9.0,13.0
pilot,18.0,11.0,10.0,12.0,14.0,16.0,4.0,24.0,22.0,15.0,21.0,28.0,22.0,5.0,6.0,24.0,14.0,4.0,24.0,17.0
plumber,14.0,16.0,3.0,5.0,4.0,11.0,17.0,1.0,2.0,1.0,24.0,5.0,1.0,8.0,7.0,7.0,7.0,16.0,20.0,22.0
police officer,24.0,12.0,7.0,11.0,8.0,4.0,2.0,5.0,14.0,2.0,20.0,9.0,8.0,6.0,5.0,6.0,2.0,14.0,7.0,18.0
postman,4.0,22.0,11.0,1.0,5.0,9.0,3.0,13.0,6.0,12.0,13.0,17.0,13.0,7.0,2.0,3.0,11.0,21.0,19.0,26.0
psychologist,2.0,29.0,29.0,23.0,23.0,26.0,25.0,22.0,24.0,29.0,19.0,21.0,18.0,20.0,27.0,31.0,26.0,24.0,27.0,5.0
secretary,12.0,15.0,21.0,9.0,20.0,24.0,28.0,12.0,9.0,20.0,1.0,15.0,27.0,16.0,18.0,12.0,9.0,28.0,12.0,19.0
shop-assistant,15.0,23.0,20.0,13.0,13.0,19.0,12.0,19.0,28.0,24.0,6.0,18.0,12.0,17.0,25.0,4.0,16.0,27.0,16.0,28.0
stallholder,30.0,28.0,27.0,29.0,27.0,15.0,24.0,18.0,7.0,13.0,7.0,19.0,26.0,24.0,24.0,21.0,17.0,26.0,21.0,30.0
stewardess,19.0,20.0,24.0,17.0,24.0,18.0,23.0,23.0,11.0,27.0,11.0,29.0,19.0,13.0,17.0,9.0,23.0,23.0,25.0,25.0
teacher,3.0,13.0,18.0,4.0,6.0,8.0,14.0,2.0,5.0,14.0,3.0,4.0,7.0,4.0,15.0,29.0,1.0,20.0,3.0,15.0
veterinarian,9.0,3.0,6.0,14.0,12.0,14.0,8.0,10.0,17.0,4.0,17.0,8.0,24.0,18.0,9.0,18.0,20.0,9.0,23.0,10.0
