exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
accordion,11.0,25.0,22.0,23.0,19.0,16.0,6.0,12.0,12.0,9.0,27.0,15.0,9.0,18.0,8.0,17.0,6.0,21.0,18.0,25.0
bagpipe,12.0,14.0,23.0,27.0,23.0,27.0,14.0,15.0,17.0,15.0,26.0,23.0,19.0,20.0,24.0,16.0,22.0,20.0,10.0,22.0
banjo,24.0,12.0,20.0,21.0,27.0,25.0,,13.0,19.0,13.0,14.0,27.0,27.0,24.0,20.0,12.0,19.0,22.0,15.0,19.0
bass guitar,15.0,18.0,10.0,15.0,9.0,7.0,7.0,6.0,5.0,18.0,13.0,25.0,26.0,12.0,9.0,19.0,3.0,6.0,14.0,8.0
bassoon,9.0,27.0,11.0,14.0,12.0,24.0,,22.0,,22.0,4.0,26.0,18.0,11.0,26.0,,25.0,25.0,16.0,20.0
cello,6.0,11.0,4.0,11.0,24.0,4.0,19.0,24.0,15.0,12.0,11.0,10.0,12.0,8.0,18.0,10.0,14.0,9.0,13.0,11.0
clarinet,1.0,20.0,6.0,12.0,11.0,13.0,5.0,25.0,11.0,8.0,3.0,12.0,17.0,7.0,10.0,15.0,12.0,15.0,7.0,10.0
cymbals,17.0,10.0,24.0,17.0,26.0,17.0,24.0,27.0,24.0,25.0,24.0,17.0,25.0,25.0,19.0,22.0,,,27.0,21.0
double bass,25.0,7.0,7.0,16.0,25.0,14.0,11.0,16.0,14.0,7.0,10.0,11.0,11.0,14.0,16.0,18.0,16.0,23.0,20.0,9.0
drum,22.0,3.0,15.0,5.0,14.0,22.0,17.0,17.0,4.0,17.0,16.0,3.0,15.0,27.0,5.0,24.0,2.0,13.0,3.0,14.0
drum set,18.0,19.0,8.0,6.0,7.0,15.0,25.0,21.0,7.0,5.0,17.0,4.0,10.0,15.0,2.0,21.0,15.0,8.0,5.0,6.0
flute,2.0,5.0,13.0,8.0,4.0,12.0,23.0,7.0,10.0,11.0,7.0,9.0,4.0,4.0,14.0,8.0,7.0,7.0,12.0,15.0
guitar,8.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,12.0,2.0,2.0,2.0,1.0,2.0,10.0,2.0,1.0,3.0
harmonica,13.0,26.0,9.0,20.0,18.0,19.0,1.0,26.0,13.0,16.0,25.0,16.0,20.0,19.0,11.0,13.0,9.0,24.0,19.0,26.0
harp,14.0,22.0,12.0,25.0,8.0,6.0,12.0,4.0,18.0,19.0,15.0,14.0,21.0,1.0,23.0,5.0,21.0,12.0,17.0,7.0
harpsichord,27.0,16.0,17.0,18.0,21.0,26.0,22.0,18.0,25.0,24.0,19.0,21.0,14.0,13.0,1.0,20.0,26.0,10.0,25.0,23.0
organ,16.0,8.0,16.0,19.0,15.0,8.0,9.0,19.0,22.0,21.0,22.0,19.0,16.0,6.0,7.0,14.0,11.0,14.0,24.0,13.0
pan flute,26.0,17.0,21.0,24.0,20.0,18.0,13.0,5.0,20.0,23.0,8.0,24.0,13.0,23.0,17.0,9.0,17.0,11.0,26.0,18.0
piano,10.0,1.0,2.0,2.0,1.0,1.0,10.0,14.0,2.0,3.0,18.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0
recorder,4.0,4.0,5.0,4.0,10.0,5.0,4.0,2.0,9.0,10.0,1.0,8.0,5.0,17.0,6.0,7.0,18.0,4.0,6.0,16.0
saxophone,7.0,21.0,19.0,9.0,6.0,10.0,21.0,23.0,8.0,6.0,6.0,7.0,7.0,5.0,12.0,4.0,8.0,19.0,9.0,5.0
synthesizer,20.0,9.0,26.0,26.0,16.0,23.0,20.0,11.0,23.0,14.0,21.0,20.0,23.0,21.0,13.0,6.0,13.0,,21.0,17.0
tambourine,19.0,13.0,25.0,22.0,22.0,20.0,8.0,9.0,21.0,26.0,20.0,13.0,24.0,26.0,21.0,23.0,20.0,17.0,23.0,24.0
triangle,21.0,15.0,27.0,7.0,13.0,11.0,15.0,20.0,26.0,27.0,23.0,18.0,22.0,22.0,25.0,25.0,24.0,18.0,22.0,27.0
trombone,23.0,6.0,18.0,17.0,17.0,21.0,18.0,10.0,16.0,20.0,5.0,22.0,8.0,16.0,22.0,,23.0,16.0,11.0,12.0
trumpet,5.0,24.0,14.0,10.0,5.0,9.0,16.0,8.0,6.0,2.0,2.0,6.0,3.0,9.0,3.0,11.0,4.0,5.0,8.0,4.0
violin,3.0,23.0,3.0,9.0,2.0,3.0,3.0,3.0,3.0,4.0,9.0,5.0,6.0,10.0,15.0,3.0,5.0,3.0,4.0,2.0
