exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,15.0,11.0,11.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,11.0,8.0,9.0,8.0,9.0,11.0,10.0
bee,8.0,20.0,14.0,19.0,11.0,9.0,10.0,12.0,9.0,7.0,13.0,16.0,14.0,15.0,15.0,9.0,17.0,14.0,11.0,10.0,16.0,13.0,6.0,19.0,9.0,9.0
beetle,9.0,14.0,20.0,10.0,15.0,13.0,17.0,19.0,15.0,12.0,14.0,11.0,11.0,11.0,9.0,11.0,14.0,15.0,10.0,11.0,2.0,9.0,9.0,11.0,12.0,10.0
bumblebee,9.0,19.0,10.0,20.0,11.0,9.0,10.0,10.0,11.0,10.0,15.0,9.0,9.0,17.0,11.0,9.0,14.0,13.0,7.0,8.0,12.0,11.0,9.0,15.0,9.0,7.0
butterfly,9.0,11.0,15.0,11.0,20.0,13.0,11.0,12.0,10.0,11.0,15.0,8.0,9.0,10.0,14.0,11.0,8.0,9.0,8.0,9.0,12.0,15.0,9.0,10.0,7.0,8.0
caterpillar,8.0,9.0,13.0,9.0,13.0,20.0,12.0,8.0,13.0,11.0,11.0,12.0,10.0,12.0,11.0,12.0,11.0,8.0,9.0,14.0,9.0,10.0,12.0,9.0,15.0,17.0
centipede,10.0,10.0,17.0,10.0,11.0,12.0,20.0,11.0,14.0,11.0,13.0,11.0,13.0,10.0,12.0,12.0,14.0,11.0,14.0,12.0,10.0,9.0,10.0,8.0,13.0,13.0
cockchafer,9.0,12.0,19.0,10.0,12.0,8.0,11.0,20.0,10.0,10.0,13.0,10.0,10.0,13.0,13.0,13.0,12.0,10.0,9.0,12.0,12.0,9.0,9.0,10.0,14.0,7.0
cockroach,9.0,9.0,15.0,11.0,10.0,13.0,14.0,10.0,20.0,15.0,11.0,10.0,10.0,10.0,9.0,10.0,15.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,12.0,10.0
cricket,15.0,7.0,12.0,10.0,11.0,11.0,11.0,10.0,15.0,20.0,13.0,9.0,9.0,9.0,11.0,14.0,7.0,14.0,9.0,9.0,11.0,9.0,5.0,10.0,10.0,9.0
dragonfly,11.0,13.0,14.0,15.0,15.0,11.0,13.0,13.0,11.0,13.0,20.0,7.0,11.0,15.0,13.0,16.0,15.0,13.0,17.0,10.0,16.0,13.0,10.0,12.0,10.0,9.0
earwig,11.0,16.0,11.0,9.0,8.0,12.0,11.0,10.0,10.0,9.0,7.0,20.0,14.0,12.0,15.0,10.0,10.0,8.0,11.0,14.0,11.0,9.0,9.0,10.0,11.0,13.0
