exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
bee,,20.0,,,,,,,,,,,,,,,,,10.0,,,,,,,
beetle,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
bumblebee,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
butterfly,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
centipede,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
cockchafer,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
cockroach,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
cricket,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
dragonfly,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
earwig,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
flee,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
fly,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
fruit fly,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
grasshopper,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
horsefly,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
ladybug,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
leech,,10.0,,,,,,,,,,,,,,,,,20.0,,,,,,,
louse,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
mosquito,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
moth,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
spider,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
wasp,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
wood louse,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
worm,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
