exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,6.0,8.0,3.0,5.0,8.0,9.0,9.0,8.0,13.0,7.0,10.0,13.0,7.0,6.0,4.0,8.0,9.0,9.0,6.0,10.0,8.0,8.0,8.0,12.0,9.0
bee,6.0,20.0,7.0,19.0,11.0,6.0,9.0,4.0,6.0,6.0,11.0,4.0,7.0,17.0,11.0,6.0,7.0,8.0,9.0,8.0,15.0,10.0,9.0,19.0,5.0,6.0
beetle,8.0,7.0,20.0,8.0,7.0,10.0,7.0,19.0,9.0,11.0,3.0,5.0,4.0,7.0,7.0,11.0,8.0,15.0,8.0,4.0,6.0,9.0,9.0,7.0,11.0,9.0
bumblebee,3.0,19.0,8.0,20.0,11.0,8.0,7.0,9.0,6.0,7.0,9.0,6.0,10.0,16.0,15.0,7.0,9.0,11.0,8.0,8.0,12.0,7.0,8.0,18.0,4.0,8.0
butterfly,5.0,11.0,7.0,11.0,20.0,8.0,8.0,6.0,3.0,8.0,10.0,9.0,10.0,14.0,12.0,9.0,8.0,12.0,4.0,8.0,9.0,13.0,8.0,8.0,9.0,9.0
caterpillar,8.0,6.0,10.0,8.0,8.0,20.0,16.0,3.0,6.0,6.0,4.0,16.0,4.0,6.0,8.0,6.0,5.0,6.0,13.0,5.0,2.0,5.0,7.0,9.0,5.0,17.0
centipede,9.0,9.0,7.0,7.0,8.0,16.0,20.0,10.0,12.0,4.0,6.0,12.0,6.0,6.0,4.0,8.0,7.0,9.0,16.0,9.0,9.0,8.0,11.0,11.0,13.0,12.0
cockchafer,9.0,4.0,19.0,9.0,6.0,3.0,10.0,20.0,11.0,11.0,7.0,7.0,11.0,5.0,6.0,11.0,10.0,14.0,7.0,4.0,6.0,8.0,6.0,8.0,12.0,6.0
cockroach,8.0,6.0,9.0,6.0,3.0,6.0,12.0,11.0,20.0,16.0,7.0,11.0,11.0,9.0,6.0,12.0,6.0,7.0,6.0,9.0,7.0,9.0,9.0,6.0,9.0,6.0
cricket,13.0,6.0,11.0,7.0,8.0,6.0,4.0,11.0,16.0,20.0,8.0,7.0,11.0,6.0,6.0,17.0,6.0,9.0,7.0,8.0,6.0,6.0,8.0,5.0,7.0,4.0
dragonfly,7.0,11.0,3.0,9.0,10.0,4.0,6.0,7.0,7.0,8.0,20.0,9.0,9.0,15.0,12.0,9.0,6.0,10.0,3.0,5.0,16.0,11.0,9.0,11.0,7.0,8.0
earwig,10.0,4.0,5.0,6.0,9.0,16.0,12.0,7.0,11.0,7.0,9.0,20.0,6.0,7.0,8.0,6.0,9.0,6.0,6.0,9.0,9.0,9.0,7.0,10.0,9.0,10.0
flee,13.0,7.0,4.0,10.0,10.0,4.0,6.0,11.0,11.0,11.0,9.0,6.0,20.0,13.0,10.0,9.0,9.0,5.0,6.0,15.0,12.0,13.0,8.0,9.0,9.0,8.0
fly,7.0,17.0,7.0,16.0,14.0,6.0,6.0,5.0,9.0,6.0,15.0,7.0,13.0,20.0,19.0,6.0,14.0,12.0,6.0,7.0,18.0,15.0,5.0,14.0,9.0,8.0
fruit fly,6.0,11.0,7.0,15.0,12.0,8.0,4.0,6.0,6.0,6.0,12.0,8.0,10.0,19.0,20.0,6.0,13.0,8.0,7.0,7.0,15.0,12.0,8.0,11.0,8.0,7.0
grasshopper,4.0,6.0,11.0,7.0,9.0,6.0,8.0,11.0,12.0,17.0,9.0,6.0,9.0,6.0,6.0,20.0,8.0,5.0,5.0,9.0,6.0,8.0,8.0,7.0,4.0,4.0
horsefly,8.0,7.0,8.0,9.0,8.0,5.0,7.0,10.0,6.0,6.0,6.0,9.0,9.0,14.0,13.0,8.0,20.0,4.0,12.0,11.0,9.0,6.0,5.0,11.0,8.0,14.0
ladybug,9.0,8.0,15.0,11.0,12.0,6.0,9.0,14.0,7.0,9.0,10.0,6.0,5.0,12.0,8.0,5.0,4.0,20.0,5.0,8.0,7.0,9.0,7.0,7.0,9.0,6.0
leech,9.0,9.0,8.0,8.0,4.0,13.0,16.0,7.0,6.0,7.0,3.0,6.0,6.0,6.0,7.0,5.0,12.0,5.0,20.0,11.0,8.0,8.0,8.0,12.0,12.0,6.0
louse,6.0,8.0,4.0,8.0,8.0,5.0,9.0,4.0,9.0,8.0,5.0,9.0,15.0,7.0,7.0,9.0,11.0,8.0,11.0,20.0,9.0,6.0,8.0,6.0,7.0,4.0
mosquito,10.0,15.0,6.0,12.0,9.0,2.0,9.0,6.0,7.0,6.0,16.0,9.0,12.0,18.0,15.0,6.0,9.0,7.0,8.0,9.0,20.0,12.0,6.0,12.0,8.0,3.0
moth,8.0,10.0,9.0,7.0,13.0,5.0,8.0,8.0,9.0,6.0,11.0,9.0,13.0,15.0,12.0,8.0,6.0,9.0,8.0,6.0,12.0,20.0,4.0,12.0,10.0,7.0
spider,8.0,9.0,9.0,8.0,8.0,7.0,11.0,6.0,9.0,8.0,9.0,7.0,8.0,5.0,8.0,8.0,5.0,7.0,8.0,8.0,6.0,4.0,20.0,7.0,11.0,6.0
wasp,8.0,19.0,7.0,18.0,8.0,9.0,11.0,8.0,6.0,5.0,11.0,10.0,9.0,14.0,11.0,7.0,11.0,7.0,12.0,6.0,12.0,12.0,7.0,20.0,9.0,6.0
wood louse,12.0,5.0,11.0,4.0,9.0,5.0,13.0,12.0,9.0,7.0,7.0,9.0,9.0,9.0,8.0,4.0,8.0,9.0,12.0,7.0,8.0,10.0,11.0,9.0,20.0,7.0
worm,9.0,6.0,9.0,8.0,9.0,17.0,12.0,6.0,6.0,4.0,8.0,10.0,8.0,8.0,7.0,4.0,14.0,6.0,6.0,4.0,3.0,7.0,6.0,6.0,7.0,20.0
