exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,5.0,13.0,12.0,10.0,14.0,12.0,11.0,10.0,14.0,5.0,11.0,14.0,10.0,12.0,14.0,9.0,9.0,14.0,10.0,10.0,10.0,7.0,13.0,12.0,9.0
bee,5.0,20.0,15.0,18.0,15.0,13.0,12.0,15.0,10.0,10.0,12.0,10.0,9.0,2.0,8.0,11.0,9.0,13.0,7.0,12.0,15.0,12.0,6.0,17.0,8.0,9.0
beetle,13.0,15.0,20.0,15.0,16.0,9.0,11.0,14.0,12.0,14.0,6.0,12.0,12.0,17.0,12.0,14.0,5.0,16.0,14.0,9.0,14.0,14.0,14.0,7.0,13.0,13.0
bumblebee,12.0,18.0,15.0,20.0,12.0,12.0,7.0,11.0,12.0,11.0,14.0,8.0,11.0,11.0,12.0,13.0,8.0,11.0,9.0,12.0,13.0,8.0,10.0,15.0,7.0,12.0
butterfly,10.0,15.0,16.0,12.0,20.0,16.0,10.0,12.0,5.0,15.0,4.0,11.0,15.0,11.0,17.0,12.0,13.0,10.0,8.0,10.0,15.0,18.0,10.0,7.0,12.0,9.0
caterpillar,14.0,13.0,9.0,12.0,16.0,20.0,10.0,11.0,6.0,12.0,14.0,11.0,9.0,13.0,5.0,9.0,9.0,15.0,13.0,8.0,12.0,6.0,12.0,14.0,12.0,10.0
centipede,12.0,12.0,11.0,7.0,10.0,10.0,20.0,11.0,12.0,12.0,6.0,8.0,10.0,7.0,13.0,14.0,12.0,14.0,8.0,11.0,16.0,12.0,9.0,7.0,10.0,11.0
cockchafer,11.0,15.0,14.0,11.0,12.0,11.0,11.0,20.0,15.0,13.0,14.0,12.0,11.0,15.0,16.0,9.0,6.0,16.0,15.0,10.0,16.0,11.0,12.0,7.0,12.0,13.0
cockroach,10.0,10.0,12.0,12.0,5.0,6.0,12.0,15.0,20.0,14.0,12.0,8.0,7.0,12.0,18.0,5.0,10.0,6.0,10.0,5.0,13.0,7.0,12.0,10.0,13.0,8.0
cricket,14.0,10.0,14.0,11.0,15.0,12.0,12.0,13.0,14.0,20.0,7.0,9.0,14.0,9.0,9.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,10.0,8.0,12.0,12.0
dragonfly,5.0,12.0,6.0,14.0,4.0,14.0,6.0,14.0,12.0,7.0,20.0,15.0,9.0,9.0,16.0,5.0,5.0,14.0,14.0,12.0,17.0,12.0,12.0,14.0,14.0,13.0
earwig,11.0,10.0,12.0,8.0,11.0,11.0,8.0,12.0,8.0,9.0,15.0,20.0,13.0,14.0,14.0,12.0,14.0,10.0,13.0,12.0,12.0,13.0,10.0,9.0,11.0,12.0
flee,14.0,9.0,12.0,11.0,15.0,9.0,10.0,11.0,7.0,14.0,9.0,13.0,20.0,12.0,16.0,12.0,12.0,12.0,12.0,15.0,15.0,13.0,12.0,12.0,9.0,8.0
fly,10.0,2.0,17.0,11.0,11.0,13.0,7.0,15.0,12.0,9.0,9.0,14.0,12.0,20.0,17.0,12.0,8.0,15.0,10.0,9.0,16.0,12.0,9.0,15.0,9.0,9.0
fruit fly,12.0,8.0,12.0,12.0,17.0,5.0,13.0,16.0,18.0,9.0,16.0,14.0,16.0,17.0,20.0,12.0,13.0,12.0,15.0,12.0,16.0,12.0,13.0,15.0,15.0,10.0
grasshopper,14.0,11.0,14.0,13.0,12.0,9.0,14.0,9.0,5.0,12.0,5.0,12.0,12.0,12.0,12.0,20.0,11.0,12.0,15.0,15.0,12.0,15.0,16.0,9.0,12.0,8.0
horsefly,9.0,9.0,5.0,8.0,13.0,9.0,12.0,6.0,10.0,12.0,5.0,14.0,12.0,8.0,13.0,11.0,20.0,14.0,13.0,11.0,12.0,12.0,9.0,12.0,8.0,8.0
ladybug,9.0,13.0,16.0,11.0,10.0,15.0,14.0,16.0,6.0,13.0,14.0,10.0,12.0,15.0,12.0,12.0,14.0,20.0,7.0,10.0,15.0,13.0,12.0,8.0,9.0,5.0
leech,14.0,7.0,14.0,9.0,8.0,13.0,8.0,15.0,10.0,12.0,14.0,13.0,12.0,10.0,15.0,15.0,13.0,7.0,20.0,12.0,15.0,12.0,9.0,13.0,12.0,13.0
louse,10.0,12.0,9.0,12.0,10.0,8.0,11.0,10.0,5.0,12.0,12.0,12.0,15.0,9.0,12.0,15.0,11.0,10.0,12.0,20.0,14.0,12.0,8.0,14.0,15.0,12.0
mosquito,10.0,15.0,14.0,13.0,15.0,12.0,16.0,16.0,13.0,12.0,17.0,12.0,15.0,16.0,16.0,12.0,12.0,15.0,15.0,14.0,20.0,17.0,12.0,15.0,11.0,7.0
moth,10.0,12.0,14.0,8.0,18.0,6.0,12.0,11.0,7.0,12.0,12.0,13.0,13.0,12.0,12.0,15.0,12.0,13.0,12.0,12.0,17.0,20.0,6.0,12.0,10.0,10.0
spider,7.0,6.0,14.0,10.0,10.0,12.0,9.0,12.0,12.0,10.0,12.0,10.0,12.0,9.0,13.0,16.0,9.0,12.0,9.0,8.0,12.0,6.0,20.0,12.0,9.0,8.0
wasp,13.0,17.0,7.0,15.0,7.0,14.0,7.0,7.0,10.0,8.0,14.0,9.0,12.0,15.0,15.0,9.0,12.0,8.0,13.0,14.0,15.0,12.0,12.0,20.0,10.0,5.0
wood louse,12.0,8.0,13.0,7.0,12.0,12.0,10.0,12.0,13.0,12.0,14.0,11.0,9.0,9.0,15.0,12.0,8.0,9.0,12.0,15.0,11.0,10.0,9.0,10.0,20.0,12.0
worm,9.0,9.0,13.0,12.0,9.0,10.0,11.0,13.0,8.0,12.0,13.0,12.0,8.0,9.0,10.0,8.0,8.0,5.0,13.0,12.0,7.0,10.0,8.0,5.0,12.0,20.0
