exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,7.0,9.0,6.0,5.0,6.0,9.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0,10.0,5.0,7.0,7.0,6.0,8.0,6.0,4.0,7.0,6.0,11.0,7.0
bee,7.0,20.0,7.0,14.0,9.0,6.0,7.0,8.0,6.0,7.0,9.0,5.0,6.0,14.0,7.0,6.0,10.0,5.0,6.0,5.0,11.0,7.0,6.0,16.0,6.0,7.0
beetle,9.0,7.0,20.0,7.0,8.0,6.0,4.0,19.0,11.0,11.0,6.0,7.0,8.0,10.0,7.0,8.0,7.0,19.0,11.0,8.0,5.0,12.0,9.0,6.0,9.0,7.0
bumblebee,6.0,14.0,7.0,20.0,8.0,5.0,6.0,7.0,6.0,6.0,10.0,7.0,6.0,8.0,8.0,5.0,9.0,7.0,3.0,6.0,9.0,6.0,6.0,19.0,5.0,6.0
butterfly,5.0,9.0,8.0,8.0,20.0,11.0,6.0,7.0,3.0,8.0,11.0,3.0,6.0,11.0,8.0,6.0,7.0,10.0,1.0,6.0,9.0,8.0,4.0,10.0,4.0,7.0
caterpillar,6.0,6.0,6.0,5.0,11.0,20.0,14.0,6.0,7.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,9.0,5.0,7.0,5.0,4.0,12.0
centipede,9.0,7.0,4.0,6.0,6.0,14.0,20.0,6.0,7.0,11.0,7.0,10.0,6.0,7.0,4.0,7.0,7.0,7.0,11.0,7.0,6.0,5.0,7.0,6.0,7.0,8.0
cockchafer,7.0,8.0,19.0,7.0,7.0,6.0,6.0,20.0,7.0,8.0,7.0,8.0,6.0,8.0,8.0,6.0,6.0,15.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
cockroach,7.0,6.0,11.0,6.0,3.0,7.0,7.0,7.0,20.0,11.0,5.0,9.0,8.0,6.0,6.0,10.0,6.0,5.0,12.0,14.0,6.0,5.0,7.0,6.0,10.0,11.0
cricket,5.0,7.0,11.0,6.0,8.0,7.0,11.0,8.0,11.0,20.0,7.0,7.0,8.0,7.0,9.0,14.0,6.0,7.0,6.0,8.0,5.0,8.0,5.0,6.0,7.0,5.0
dragonfly,7.0,9.0,6.0,10.0,11.0,5.0,7.0,7.0,5.0,7.0,20.0,6.0,9.0,11.0,13.0,7.0,11.0,7.0,8.0,7.0,18.0,10.0,10.0,12.0,4.0,6.0
earwig,7.0,5.0,7.0,7.0,3.0,6.0,10.0,8.0,9.0,7.0,6.0,20.0,8.0,6.0,6.0,6.0,10.0,6.0,15.0,8.0,5.0,7.0,7.0,6.0,12.0,8.0
flee,7.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0,8.0,20.0,7.0,11.0,7.0,5.0,7.0,5.0,15.0,9.0,8.0,8.0,7.0,8.0,5.0
fly,8.0,14.0,10.0,8.0,11.0,6.0,7.0,8.0,6.0,7.0,11.0,6.0,7.0,20.0,11.0,6.0,12.0,8.0,7.0,7.0,10.0,10.0,7.0,10.0,6.0,5.0
fruit fly,10.0,7.0,7.0,8.0,8.0,5.0,4.0,8.0,6.0,9.0,13.0,6.0,11.0,11.0,20.0,5.0,9.0,8.0,6.0,6.0,10.0,8.0,8.0,8.0,7.0,4.0
grasshopper,5.0,6.0,8.0,5.0,6.0,6.0,7.0,6.0,10.0,14.0,7.0,6.0,7.0,6.0,5.0,20.0,6.0,7.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0
