exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,8.0,9.0,8.0,7.0,5.0,5.0,5.0,6.0,10.0,6.0,8.0,5.0,10.0,5.0,3.0,9.0,8.0,6.0,5.0,6.0,9.0,5.0,10.0,6.0,7.0
bee,8.0,20.0,6.0,18.0,5.0,6.0,5.0,5.0,12.0,9.0,10.0,8.0,12.0,14.0,10.0,12.0,8.0,6.0,7.0,6.0,11.0,10.0,7.0,18.0,7.0,8.0
beetle,9.0,6.0,20.0,4.0,9.0,7.0,9.0,19.0,17.0,8.0,8.0,9.0,7.0,7.0,8.0,13.0,8.0,16.0,6.0,5.0,1.0,6.0,8.0,8.0,4.0,4.0
bumblebee,8.0,18.0,4.0,20.0,7.0,5.0,5.0,9.0,8.0,6.0,10.0,7.0,6.0,12.0,11.0,12.0,7.0,6.0,5.0,9.0,10.0,12.0,5.0,18.0,5.0,3.0
butterfly,7.0,5.0,9.0,7.0,20.0,6.0,10.0,6.0,9.0,14.0,14.0,7.0,6.0,14.0,11.0,6.0,12.0,6.0,9.0,5.0,9.0,17.0,8.0,7.0,6.0,7.0
caterpillar,5.0,6.0,7.0,5.0,6.0,20.0,16.0,6.0,11.0,7.0,9.0,9.0,6.0,6.0,9.0,10.0,8.0,9.0,6.0,6.0,9.0,6.0,7.0,8.0,6.0,15.0
centipede,5.0,5.0,9.0,5.0,10.0,16.0,20.0,8.0,6.0,7.0,7.0,5.0,9.0,6.0,8.0,5.0,8.0,7.0,5.0,9.0,9.0,10.0,4.0,7.0,9.0,6.0
cockchafer,5.0,5.0,19.0,9.0,6.0,6.0,8.0,20.0,5.0,10.0,6.0,8.0,9.0,8.0,5.0,8.0,7.0,5.0,9.0,3.0,4.0,6.0,7.0,8.0,6.0,6.0
cockroach,6.0,12.0,17.0,8.0,9.0,11.0,6.0,5.0,20.0,12.0,6.0,8.0,10.0,11.0,7.0,7.0,7.0,4.0,14.0,10.0,7.0,5.0,12.0,10.0,8.0,6.0
cricket,10.0,9.0,8.0,6.0,14.0,7.0,7.0,10.0,12.0,20.0,8.0,5.0,9.0,10.0,6.0,18.0,12.0,6.0,7.0,6.0,8.0,9.0,5.0,12.0,5.0,8.0
dragonfly,6.0,10.0,8.0,10.0,14.0,9.0,7.0,6.0,6.0,8.0,20.0,8.0,12.0,8.0,2.0,13.0,14.0,8.0,13.0,4.0,9.0,6.0,9.0,14.0,9.0,6.0
