exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,2.0,5.0,3.0,3.0,5.0,4.0,3.0,9.0,3.0,3.0,15.0,2.0,3.0,1.0,2.0,3.0,2.0,8.0,3.0,5.0,2.0,7.0,2.0,8.0,6.0
bee,2.0,20.0,4.0,17.0,8.0,2.0,4.0,2.0,4.0,5.0,13.0,2.0,2.0,16.0,1.0,2.0,10.0,6.0,1.0,1.0,17.0,9.0,5.0,18.0,3.0,1.0
beetle,5.0,4.0,20.0,11.0,2.0,6.0,2.0,19.0,17.0,4.0,2.0,8.0,2.0,6.0,1.0,3.0,3.0,9.0,6.0,1.0,3.0,2.0,5.0,2.0,5.0,2.0
bumblebee,3.0,17.0,11.0,20.0,14.0,10.0,1.0,9.0,1.0,3.0,12.0,1.0,1.0,18.0,10.0,2.0,15.0,7.0,2.0,4.0,15.0,5.0,5.0,17.0,1.0,1.0
butterfly,3.0,8.0,2.0,14.0,20.0,3.0,3.0,2.0,2.0,3.0,10.0,2.0,1.0,16.0,1.0,15.0,10.0,6.0,2.0,3.0,6.0,17.0,5.0,12.0,2.0,2.0
caterpillar,5.0,2.0,6.0,10.0,3.0,20.0,18.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,15.0
centipede,4.0,4.0,2.0,1.0,3.0,18.0,20.0,5.0,5.0,2.0,2.0,18.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,6.0,15.0
cockchafer,3.0,2.0,19.0,9.0,2.0,3.0,5.0,20.0,17.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,6.0,3.0,2.0,2.0,3.0,5.0,4.0,6.0,3.0
cockroach,9.0,4.0,17.0,1.0,2.0,3.0,5.0,17.0,20.0,5.0,8.0,3.0,2.0,8.0,2.0,5.0,9.0,6.0,6.0,2.0,5.0,2.0,4.0,2.0,5.0,1.0
cricket,3.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,5.0,20.0,3.0,3.0,1.0,2.0,1.0,18.0,3.0,4.0,6.0,1.0,2.0,3.0,12.0,2.0,1.0,1.0
dragonfly,3.0,13.0,2.0,12.0,10.0,3.0,2.0,2.0,8.0,3.0,20.0,2.0,2.0,13.0,3.0,6.0,13.0,11.0,5.0,1.0,10.0,16.0,3.0,14.0,2.0,2.0
earwig,15.0,2.0,8.0,1.0,2.0,1.0,18.0,4.0,3.0,3.0,2.0,20.0,1.0,7.0,1.0,2.0,1.0,3.0,7.0,1.0,1.0,2.0,15.0,4.0,15.0,8.0
