exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,10.0,11.0,11.0,10.0,13.0,6.0,7.0,9.0,8.0,8.0,12.0,11.0,6.0,10.0,9.0,6.0,10.0,17.0,6.0,9.0,5.0,3.0,7.0,12.0,15.0
bee,10.0,20.0,7.0,19.0,14.0,11.0,7.0,8.0,6.0,7.0,12.0,5.0,15.0,15.0,12.0,7.0,17.0,10.0,9.0,10.0,12.0,12.0,7.0,19.0,6.0,8.0
beetle,11.0,7.0,20.0,7.0,9.0,10.0,12.0,19.0,18.0,17.0,6.0,9.0,11.0,13.0,14.0,8.0,6.0,17.0,12.0,3.0,10.0,7.0,15.0,14.0,17.0,12.0
bumblebee,11.0,19.0,7.0,20.0,10.0,8.0,10.0,7.0,4.0,7.0,14.0,9.0,12.0,18.0,18.0,7.0,18.0,8.0,10.0,12.0,10.0,11.0,4.0,17.0,10.0,6.0
butterfly,10.0,14.0,9.0,10.0,20.0,10.0,5.0,7.0,11.0,7.0,9.0,5.0,10.0,14.0,15.0,7.0,5.0,7.0,5.0,10.0,14.0,17.0,10.0,15.0,10.0,10.0
caterpillar,13.0,11.0,10.0,8.0,10.0,20.0,16.0,7.0,14.0,11.0,8.0,12.0,10.0,6.0,7.0,7.0,8.0,10.0,11.0,6.0,7.0,11.0,8.0,10.0,8.0,9.0
centipede,6.0,7.0,12.0,10.0,5.0,16.0,20.0,12.0,14.0,6.0,8.0,12.0,10.0,9.0,6.0,7.0,5.0,10.0,15.0,9.0,7.0,5.0,8.0,9.0,15.0,14.0
cockchafer,7.0,8.0,19.0,7.0,7.0,7.0,12.0,20.0,12.0,17.0,7.0,5.0,9.0,7.0,8.0,7.0,7.0,12.0,6.0,8.0,10.0,7.0,7.0,11.0,8.0,4.0
cockroach,9.0,6.0,18.0,4.0,11.0,14.0,14.0,12.0,20.0,16.0,5.0,8.0,8.0,7.0,10.0,8.0,6.0,12.0,7.0,8.0,8.0,6.0,10.0,9.0,16.0,11.0
cricket,8.0,7.0,17.0,7.0,7.0,11.0,6.0,17.0,16.0,20.0,10.0,7.0,14.0,13.0,7.0,12.0,10.0,12.0,9.0,7.0,11.0,8.0,4.0,7.0,15.0,7.0
dragonfly,8.0,12.0,6.0,14.0,9.0,8.0,8.0,7.0,5.0,10.0,20.0,10.0,11.0,16.0,12.0,7.0,11.0,13.0,4.0,10.0,17.0,14.0,12.0,11.0,7.0,10.0
earwig,12.0,5.0,9.0,9.0,5.0,12.0,12.0,5.0,8.0,7.0,10.0,20.0,7.0,4.0,5.0,7.0,4.0,4.0,9.0,7.0,5.0,5.0,8.0,5.0,12.0,19.0
