feature,freq
beschermt je lichaam,9
beschermt je tegen de kou,9
beschermt tegen de regen,2
beschermt tegen de zon,3
bestaat al lang,16
bestaat in verschillende groottes,23
bestaat in verschillende kleuren,23
bestaat in verschillende maten,4
bestaat in verschillende merken,2
bestaat in verschillende modellen,1
bestaat in verschillende soorten,27
bestaat in verschillende vormen,26
bestaat nog niet zo lang,1
bestaat uit verschillende delen,1
bevat kogels,10
blinkt,1
breekt snel,1
dient een esthetisch doel,4
dient om eten in te bewaren,2
dient om je te bedekken,10
dient om je te beschermen,13
dient om mee te werken,5
dient om te knutselen,1
draag je elke dag,1
drukt je persoonlijkheid uit,5
drukt je rol/beroep uit,1
er zijn verschillende types van,2
eventueel geautomatiseerd,3
gaat lang mee,1
gebruik je om eten klaar te maken,14
gebruiksvoorwerp,4
gebruikt in de bouw,3
geeft een luide knal,1
geeft het ritme aan,1
geeft je vrijheid,3
geeft warmte,2
gemaakt uit aluminium,1
gemaakt uit hout,14
gemaakt uit metaal,31
gemaakt uit plastic,4
hangt aan de muur,1
heeft een etiket,1
heeft een gat,1
heeft een handvat,9
heeft een hendel,1
heeft een laadruimte,1
heeft een loop,2
heeft een metaalkleur,1
heeft een motor,9
heeft een rietje,1
heeft een stuur,7
heeft een technische evolutie doorgemaakt,9
heeft felle kleuren,1
heeft geen smaak,1
heeft geen specifieke geur,2
heeft iedereen,6
heeft iedereen in huis,1
heeft knopen,1
heeft snaren,10
heeft toetsen,2
heeft wielen,14
is aangenaam,1
is afhankelijk van de gelegenheid,1
is bedoeld om aan te doen,7
is bedoeld om muziek mee te maken,9
is bedoeld om te doden,1
is bedoeld voor de handige harry,4
is brandbaar,3
is breekbaar,2
is bruin,2
is complex,1
is confectie,3
is duur,35
is een auto,8
is een blokfluit,2
is een contrabas,1
is een fiets,1
is een fluit,1
is een geweer,1
is een gitaar,3
is een goede uitvinding,2
is een hamer,2
is een handwerktuig,3
is een harp,2
is een hobo,1
is een hulpmiddel,7
is een kraan,2
is een mes,1
is een mondharmonica,1
is een orgel,1
is een soort piano,3
is een soort viool,4
is een tractor,2
is een verzamelnaam,5
is een verzamelobject,1
is efficient,1
is elektronisch,14
is er in alle prijsklassen,3
is er in verschillende gewichten,1
is er in verschillende materialen,11
is er in verschillende stijlen,2
is er in verschillende stoffen,6
is feestelijk,2
is fleurig,2
is functioneel,3
is gemaakt van staal,1
is gereedschap,5
is geschikt om te recycleren,2
is gevaarlijk,14
is gevaarlijk voor kinderen,2
is gewelddadig,3
is gezond,1
is glad,1
is goudkleurig,1
is grijs,3
is groen,1
is groot,3
is handig,19
is hard,2
is hetzelfde voor mannen en vrouwen,1
is illegaal,1
is klein,2
is kleurrijk,1
is krachtig,1
is langwerpig,1
is lelijk,1
is leuk,2
is licht,1
is log,1
is maatwerk,2
is makkelijk om mee te werken,1
is milieuvervuilend,10
is milieuvriendelijk,2
is modegebonden,9
is moeilijk te bespelen,3
is mooi,4
is multifunctioneel,4
is natuurlijk,1
is niet duur,1
is niet voor kinderen,1
is nuttig,3
is onderhevig aan regels,4
is ongezond,1
is onmisbaar,9
is plooibaar,3
is populair in Amerika,2
is praktisch,1
is roestvrij,1
is scherp,4
is seizoensgebonden,3
is sexy,1
is snel,4
is stevig,3
is te koop in een muziekwinkel,2
is te zien op tv,1
is traag,1
is van ijzer,3
is van katoen,1
is van koper,1
is van stof,8
is van textiel,2
is van wol,2
is verboden,2
is verschillend voor mannen en vrouwen,5
is vervangbaar,1
is warm,1
is wit,2
is zacht,1
is zilverkleurig,1
is zwaar,6
is zwart,7
je kan er dingen mee vervoeren,6
je kan er iemand mee doden,17
je kan er iemand mee verwonden,14
je kan je ermee verplaatsen,17
je moet er noten voor kunnen lezen,5
je moet erop blazen,3
kan als wapen gebruikt worden,1
kan bewegen,2
kan elektronisch zijn,2
kan gedragen worden,1
kan gevaarlijk zijn,14
kan in afwasmachine,1
kan je afwassen,3
kan je geld mee verdienen,1
kan je mee eten,3
kan je mee schieten,2
kan je mee snijden,3
kan je met meerdere personen inzitten,2
kan je muziek mee maken,1
kan je op spelen,10
kan je zelf maken,6
kan ongelukken veroorzaken,8
kan ook buiten de keuken gebruikt worden,1
kan scheuren,2
kan statussymbool zijn,8
kan tegen warmte,3
kan vals klinken,1
kan verslijten,3
kan vuil worden,1
klinkt mooi,3
komt vaak voor in films,2
komt voor in een fanfare,2
koop je in de winkel,9
koop je in een speciaalzaak,3
maakt een apart geluid,2
maakt een ronkend geluid,1
maakt geluid,13
maakt lawaai,10
maakt verschillende geluiden,4
moelijk te vinden wanneer je het nodig hebt,1
moet gestemd worden,1
moet je afwassen na gebruik,7
moet je een wapenvergunning voor hebben,6
moet je goed verzorgen,2
moet je leren bespelen,3
moet je leren gebruiken,1
moet je strijken,1
moet je wassen,7
moet ondersteund worden,1
niet toegelaten op een vliegtuig,1
om het te bespelen moet je intelligent zijn,1
om het te bespelen moet je talent hebben,1
om het te gebruiken moet je intelligent zijn,1
rijdt op het land,1
ruikt naar waspoeder,1
staat rechtop,1
stinkt,1
trillingen brengen het geluid voort,1
vaak gegeven als geschenk voor vaderdag,1
veel personen vinden het beangstigend,1
verbruikt brandstof,4
vereist een speciaal rijbewijs,1
vergemakkelijkt het werk,9
vergemakkelijkt het werk in de keuken,3
vernielt,5
veroorzaakt files,1
verplaats je je sneller mee dan te voet,8
verschilt van cultuur tot cultuur,7
vind je in de garage,1
vind je in de kast,2
vind je in de kleerkast,4
vind je in een lade,1
vind je op een podium,1
vind je vaak in actiefilms,2
voelt koud aan,3
werd al gebruikt in de oertijd,10
werkt op basis van het hefboomprincipe,1
worden op schaal nagebouwd,1
wordt alleen door mensen gebruikt,7
wordt bespeeld door muzikant,3
wordt bestuurd,8
wordt dagelijks gebruikt,1
wordt door iedereen gedragen,3
wordt gebruikt als decoratie,2
wordt gebruikt bij het koken,10
wordt gebruikt bij sport,2
wordt gebruikt door arbeiders,1
wordt gebruikt door criminelen,3
wordt gebruikt door een kok,1
wordt gebruikt door een vakman,2
wordt gebruikt door iedereen,3
wordt gebruikt door kinderen,1
wordt gebruikt door politie,11
wordt gebruikt door soldaten,4
wordt gebruikt in de landbouw,1
wordt gebruikt in de tuin,1
wordt gebruikt in opera,1
wordt gebruikt in orkesten,9
wordt gebruikt om iets te maken,6
wordt gebruikt om mee te werken,6
wordt gebruikt om oorlog te voeren,13
wordt gebruikt om te communiceren,1
wordt gebruikt om te jagen,5
wordt gebruikt voor lange afstanden,2
wordt gecombineert met andere instrumenten,2
wordt gedeeld,1
wordt gemaakt door ontwerpers,1
wordt gemaakt in een fabriek,1
wordt gemaakt in een wapenfabriek,1
wordt genaaid,2
wordt geshowd op een catwalk,1
wordt gestuurd door een computer,1
wordt in de keuken gebruikt,20
wordt in slechte omstandigheden vervaardigd,1
wordt mechanisch aangedreven,2
wordt met de hand gemaakt,2
wordt ook door apen gebruikt,1
wordt ook door dieren gebruikt,1
wordt over de hele wereld gebruikt,3
wordt snel vuil,2
wordt soms cadeau gedaan aan pasgehuwden,3
wordt soms cadeau gedaan met kerstmis,1
wordt soms gebruikt om zang te begeleiden,3
wordt veel gebruikt,3
wordt verkocht in kledingswinkels,4
wordt vooral door mannen gebruikt,10
wordt vooral gebruikt door vrouwen,2
zit in de gereedschapskist,1
zorgt voor ontspanning,7
zowel binnen als buiten te gebruiken,1
