exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,6.0,3.0,10.0,4.0,6.0,5.0,4.0,6.0,1.0,6.0,2.0,10.0,11.0,7.0,4.0,4.0,3.0,3.0,6.0,13.0,1.0,4.0,5.0,7.0,6.0,15.0,4.0,5.0,4.0
beaver,6.0,20.0,5.0,5.0,3.0,6.0,7.0,5.0,6.0,4.0,5.0,2.0,11.0,7.0,6.0,7.0,6.0,8.0,3.0,5.0,9.0,6.0,9.0,12.0,8.0,5.0,6.0,2.0,8.0,2.0
bison,3.0,5.0,20.0,5.0,14.0,6.0,4.0,8.0,9.0,3.0,5.0,6.0,2.0,5.0,8.0,12.0,7.0,11.0,5.0,5.0,1.0,6.0,6.0,6.0,10.0,6.0,3.0,11.0,6.0,9.0
cat,10.0,5.0,5.0,20.0,7.0,4.0,14.0,6.0,6.0,3.0,7.0,1.0,9.0,10.0,4.0,8.0,5.0,9.0,3.0,6.0,9.0,11.0,3.0,7.0,6.0,3.0,8.0,14.0,9.0,6.0
cow,4.0,3.0,14.0,7.0,20.0,14.0,5.0,11.0,8.0,7.0,8.0,3.0,3.0,6.0,7.0,12.0,4.0,5.0,8.0,7.0,4.0,11.0,9.0,3.0,9.0,6.0,3.0,5.0,7.0,11.0
deer,6.0,6.0,6.0,4.0,14.0,20.0,6.0,6.0,7.0,6.0,11.0,9.0,5.0,9.0,6.0,9.0,5.0,6.0,10.0,5.0,6.0,5.0,8.0,9.0,6.0,8.0,6.0,7.0,6.0,5.0
dog,5.0,7.0,4.0,14.0,5.0,6.0,20.0,8.0,2.0,3.0,12.0,3.0,7.0,8.0,5.0,9.0,8.0,9.0,3.0,4.0,5.0,9.0,9.0,8.0,5.0,9.0,6.0,6.0,14.0,5.0
donkey,4.0,5.0,8.0,6.0,11.0,6.0,8.0,20.0,7.0,6.0,4.0,4.0,3.0,7.0,5.0,16.0,7.0,8.0,13.0,5.0,7.0,6.0,5.0,4.0,6.0,8.0,4.0,6.0,8.0,13.0
dromedary,6.0,6.0,9.0,6.0,8.0,7.0,2.0,7.0,20.0,7.0,5.0,8.0,3.0,8.0,8.0,8.0,4.0,11.0,9.0,4.0,4.0,2.0,5.0,3.0,8.0,6.0,9.0,2.0,4.0,9.0
elephant,1.0,4.0,3.0,3.0,7.0,6.0,3.0,6.0,7.0,20.0,6.0,11.0,3.0,3.0,15.0,7.0,6.0,7.0,5.0,8.0,1.0,6.0,11.0,5.0,12.0,5.0,2.0,8.0,6.0,4.0
fox,6.0,5.0,5.0,7.0,8.0,11.0,12.0,4.0,5.0,6.0,20.0,7.0,4.0,6.0,5.0,8.0,6.0,8.0,9.0,7.0,5.0,9.0,3.0,7.0,7.0,7.0,9.0,9.0,15.0,5.0
giraffe,2.0,2.0,6.0,1.0,3.0,9.0,3.0,4.0,8.0,11.0,7.0,20.0,2.0,4.0,5.0,5.0,8.0,9.0,4.0,10.0,1.0,5.0,3.0,5.0,8.0,5.0,1.0,12.0,8.0,4.0
hamster,10.0,11.0,2.0,9.0,3.0,5.0,7.0,3.0,3.0,3.0,4.0,2.0,20.0,10.0,3.0,6.0,2.0,2.0,4.0,6.0,16.0,3.0,1.0,16.0,2.0,10.0,15.0,2.0,3.0,4.0
hedgehog,11.0,7.0,5.0,10.0,6.0,9.0,8.0,7.0,8.0,3.0,6.0,4.0,10.0,20.0,2.0,4.0,8.0,3.0,5.0,7.0,6.0,7.0,4.0,9.0,8.0,5.0,10.0,4.0,5.0,5.0
hippopotamus,7.0,6.0,8.0,4.0,7.0,6.0,5.0,5.0,8.0,15.0,5.0,5.0,3.0,2.0,20.0,8.0,7.0,7.0,7.0,4.0,8.0,6.0,8.0,5.0,16.0,6.0,6.0,7.0,5.0,6.0
horse,4.0,7.0,12.0,8.0,12.0,9.0,9.0,16.0,8.0,7.0,8.0,5.0,6.0,4.0,8.0,20.0,4.0,5.0,15.0,3.0,2.0,6.0,6.0,2.0,7.0,9.0,7.0,5.0,5.0,16.0
kangaroo,4.0,6.0,7.0,5.0,4.0,5.0,8.0,7.0,4.0,6.0,6.0,8.0,2.0,8.0,7.0,4.0,20.0,4.0,9.0,3.0,7.0,3.0,5.0,12.0,6.0,8.0,7.0,9.0,4.0,9.0
lion,3.0,8.0,11.0,9.0,5.0,6.0,9.0,8.0,11.0,7.0,8.0,9.0,2.0,3.0,7.0,5.0,4.0,20.0,6.0,8.0,2.0,3.0,4.0,3.0,9.0,3.0,4.0,14.0,10.0,10.0
llama,3.0,3.0,5.0,3.0,8.0,10.0,3.0,13.0,9.0,5.0,9.0,4.0,4.0,5.0,7.0,15.0,9.0,6.0,20.0,6.0,4.0,5.0,1.0,8.0,6.0,8.0,8.0,6.0,9.0,12.0
monkey,6.0,5.0,5.0,6.0,7.0,5.0,4.0,5.0,4.0,8.0,7.0,10.0,6.0,7.0,4.0,3.0,3.0,8.0,6.0,20.0,8.0,4.0,6.0,6.0,6.0,8.0,11.0,6.0,7.0,4.0
mouse,13.0,9.0,1.0,9.0,4.0,6.0,5.0,7.0,4.0,1.0,5.0,1.0,16.0,6.0,8.0,2.0,7.0,2.0,4.0,8.0,20.0,5.0,5.0,8.0,2.0,5.0,9.0,3.0,4.0,5.0
pig,1.0,6.0,6.0,11.0,11.0,5.0,9.0,6.0,2.0,6.0,9.0,5.0,3.0,7.0,6.0,6.0,3.0,3.0,5.0,4.0,5.0,20.0,4.0,5.0,9.0,6.0,8.0,2.0,3.0,6.0
polar bear,4.0,9.0,6.0,3.0,9.0,8.0,9.0,5.0,5.0,11.0,3.0,3.0,1.0,4.0,8.0,6.0,5.0,4.0,1.0,6.0,5.0,4.0,20.0,8.0,11.0,6.0,3.0,4.0,4.0,6.0
