exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,9.0,2.0,7.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0
beaver,3.0,20.0,8.0,7.0,5.0,8.0,6.0,7.0,6.0,5.0,7.0,3.0,7.0,9.0,8.0,3.0,8.0,7.0,4.0,4.0,6.0,13.0,12.0,13.0,9.0,6.0,8.0,7.0,7.0,7.0
bison,3.0,8.0,20.0,6.0,8.0,6.0,7.0,9.0,8.0,8.0,8.0,3.0,5.0,6.0,4.0,7.0,4.0,11.0,14.0,6.0,4.0,13.0,11.0,5.0,12.0,9.0,3.0,13.0,7.0,9.0
cat,4.0,7.0,6.0,20.0,8.0,6.0,11.0,6.0,2.0,4.0,9.0,4.0,9.0,7.0,4.0,4.0,3.0,12.0,7.0,4.0,4.0,4.0,4.0,12.0,3.0,7.0,9.0,15.0,14.0,2.0
cow,2.0,5.0,8.0,8.0,20.0,9.0,6.0,12.0,7.0,9.0,5.0,4.0,3.0,2.0,14.0,14.0,6.0,6.0,8.0,4.0,3.0,7.0,4.0,4.0,8.0,9.0,3.0,6.0,6.0,15.0
deer,2.0,8.0,6.0,6.0,9.0,20.0,7.0,12.0,6.0,7.0,7.0,9.0,6.0,5.0,11.0,11.0,4.0,3.0,7.0,3.0,3.0,7.0,4.0,6.0,6.0,9.0,8.0,7.0,9.0,11.0
dog,3.0,6.0,7.0,11.0,6.0,7.0,20.0,9.0,3.0,6.0,14.0,4.0,4.0,6.0,5.0,7.0,5.0,12.0,9.0,7.0,6.0,6.0,8.0,11.0,4.0,7.0,3.0,8.0,17.0,9.0
donkey,2.0,7.0,9.0,6.0,12.0,12.0,9.0,20.0,11.0,7.0,6.0,4.0,4.0,4.0,6.0,14.0,6.0,9.0,14.0,5.0,4.0,8.0,6.0,7.0,4.0,12.0,7.0,8.0,9.0,12.0
dromedary,2.0,6.0,8.0,2.0,7.0,6.0,3.0,11.0,20.0,7.0,3.0,7.0,2.0,3.0,6.0,8.0,6.0,4.0,13.0,4.0,3.0,3.0,6.0,3.0,8.0,7.0,3.0,5.0,3.0,9.0
elephant,2.0,5.0,8.0,4.0,9.0,7.0,6.0,7.0,7.0,20.0,4.0,12.0,3.0,2.0,11.0,10.0,6.0,4.0,6.0,6.0,3.0,6.0,8.0,3.0,8.0,8.0,3.0,4.0,4.0,12.0
