exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,3.0,4.0,2.0,2.0,6.0,5.0,2.0,5.0,3.0,3.0,5.0,8.0,3.0,3.0,3.0,9.0,3.0,5.0,8.0,4.0,3.0,6.0,6.0,2.0,4.0,7.0,9.0,3.0,5.0
beaver,3.0,20.0,3.0,9.0,4.0,8.0,8.0,6.0,3.0,3.0,8.0,5.0,8.0,6.0,6.0,4.0,4.0,3.0,4.0,5.0,2.0,9.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0
bison,4.0,3.0,20.0,2.0,9.0,5.0,6.0,10.0,11.0,11.0,2.0,3.0,2.0,6.0,13.0,7.0,3.0,11.0,10.0,2.0,2.0,5.0,10.0,3.0,9.0,5.0,5.0,4.0,4.0,13.0
cat,2.0,9.0,2.0,20.0,3.0,2.0,12.0,2.0,2.0,9.0,8.0,2.0,5.0,3.0,3.0,2.0,7.0,11.0,2.0,2.0,5.0,4.0,2.0,8.0,3.0,4.0,5.0,12.0,9.0,4.0
cow,2.0,4.0,9.0,3.0,20.0,7.0,3.0,9.0,6.0,9.0,6.0,9.0,2.0,3.0,4.0,11.0,3.0,4.0,8.0,4.0,8.0,10.0,3.0,3.0,7.0,6.0,4.0,4.0,5.0,7.0
deer,6.0,8.0,5.0,2.0,7.0,20.0,9.0,10.0,4.0,3.0,5.0,10.0,5.0,3.0,10.0,14.0,10.0,2.0,15.0,4.0,2.0,6.0,8.0,4.0,7.0,3.0,3.0,7.0,7.0,14.0
dog,5.0,8.0,6.0,12.0,3.0,9.0,20.0,4.0,7.0,4.0,13.0,3.0,6.0,6.0,7.0,5.0,3.0,6.0,6.0,3.0,3.0,5.0,4.0,10.0,2.0,4.0,3.0,8.0,14.0,5.0
donkey,2.0,6.0,10.0,2.0,9.0,10.0,4.0,20.0,12.0,2.0,5.0,12.0,5.0,3.0,12.0,18.0,4.0,5.0,14.0,2.0,2.0,9.0,5.0,4.0,15.0,8.0,3.0,4.0,5.0,6.0
dromedary,5.0,3.0,11.0,2.0,6.0,4.0,7.0,12.0,20.0,9.0,3.0,8.0,7.0,2.0,12.0,10.0,9.0,6.0,16.0,5.0,2.0,8.0,3.0,2.0,9.0,10.0,3.0,6.0,9.0,12.0
elephant,3.0,3.0,11.0,9.0,9.0,3.0,4.0,2.0,9.0,20.0,6.0,13.0,3.0,10.0,10.0,7.0,6.0,7.0,9.0,3.0,2.0,5.0,8.0,2.0,13.0,7.0,2.0,3.0,8.0,11.0
fox,3.0,8.0,2.0,8.0,6.0,5.0,13.0,5.0,3.0,6.0,20.0,8.0,3.0,4.0,7.0,6.0,3.0,7.0,6.0,5.0,4.0,5.0,8.0,4.0,5.0,5.0,5.0,8.0,18.0,5.0
giraffe,5.0,5.0,3.0,2.0,9.0,10.0,3.0,12.0,8.0,13.0,8.0,20.0,2.0,4.0,15.0,15.0,5.0,2.0,12.0,9.0,2.0,11.0,4.0,6.0,6.0,3.0,2.0,5.0,3.0,13.0
hamster,8.0,8.0,2.0,5.0,2.0,5.0,6.0,5.0,7.0,3.0,3.0,2.0,20.0,5.0,5.0,3.0,7.0,6.0,4.0,13.0,18.0,2.0,3.0,14.0,3.0,3.0,8.0,4.0,2.0,3.0
hedgehog,3.0,6.0,6.0,3.0,3.0,3.0,6.0,3.0,2.0,10.0,4.0,4.0,5.0,20.0,3.0,3.0,2.0,2.0,3.0,3.0,9.0,5.0,8.0,5.0,7.0,3.0,9.0,4.0,3.0,4.0
hippopotamus,3.0,6.0,13.0,3.0,4.0,10.0,7.0,12.0,12.0,10.0,7.0,15.0,5.0,3.0,20.0,12.0,10.0,7.0,13.0,2.0,3.0,10.0,6.0,3.0,13.0,7.0,2.0,9.0,7.0,13.0
horse,3.0,4.0,7.0,2.0,11.0,14.0,5.0,18.0,10.0,7.0,6.0,15.0,3.0,3.0,12.0,20.0,9.0,9.0,14.0,7.0,4.0,5.0,4.0,5.0,6.0,4.0,3.0,5.0,6.0,14.0
kangaroo,9.0,4.0,3.0,7.0,3.0,10.0,3.0,4.0,9.0,6.0,3.0,5.0,7.0,2.0,10.0,9.0,20.0,5.0,5.0,8.0,2.0,2.0,2.0,8.0,9.0,4.0,4.0,8.0,5.0,4.0
lion,3.0,3.0,11.0,11.0,4.0,2.0,6.0,5.0,6.0,7.0,7.0,2.0,6.0,2.0,7.0,9.0,5.0,20.0,6.0,3.0,4.0,5.0,6.0,4.0,8.0,4.0,5.0,16.0,10.0,9.0
llama,5.0,4.0,10.0,2.0,8.0,15.0,6.0,14.0,16.0,9.0,6.0,12.0,4.0,3.0,13.0,14.0,5.0,6.0,20.0,5.0,3.0,2.0,5.0,5.0,7.0,16.0,4.0,6.0,5.0,12.0
monkey,8.0,5.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,5.0,9.0,13.0,3.0,2.0,7.0,8.0,3.0,5.0,20.0,4.0,7.0,2.0,5.0,2.0,7.0,4.0,3.0,4.0,7.0
mouse,4.0,2.0,2.0,5.0,8.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,18.0,9.0,3.0,4.0,2.0,4.0,3.0,4.0,20.0,3.0,1.0,5.0,1.0,3.0,5.0,2.0,3.0,2.0
pig,3.0,9.0,5.0,4.0,10.0,6.0,5.0,9.0,8.0,5.0,5.0,11.0,2.0,5.0,10.0,5.0,2.0,5.0,2.0,7.0,3.0,20.0,7.0,3.0,2.0,12.0,3.0,4.0,6.0,2.0
polar bear,6.0,4.0,10.0,2.0,3.0,8.0,4.0,5.0,3.0,8.0,8.0,4.0,3.0,8.0,6.0,4.0,2.0,6.0,5.0,2.0,1.0,7.0,20.0,2.0,4.0,5.0,5.0,10.0,9.0,6.0
rabbit,6.0,3.0,3.0,8.0,3.0,4.0,10.0,4.0,2.0,2.0,4.0,6.0,14.0,5.0,3.0,5.0,8.0,4.0,5.0,5.0,5.0,3.0,2.0,20.0,2.0,5.0,6.0,5.0,3.0,3.0
rhinoceros,2.0,3.0,9.0,3.0,7.0,7.0,2.0,15.0,9.0,13.0,5.0,6.0,3.0,7.0,13.0,6.0,9.0,8.0,7.0,2.0,1.0,2.0,4.0,2.0,20.0,3.0,2.0,6.0,2.0,12.0
sheep,4.0,5.0,5.0,4.0,6.0,3.0,4.0,8.0,10.0,7.0,5.0,3.0,3.0,3.0,7.0,4.0,4.0,4.0,16.0,7.0,3.0,12.0,5.0,5.0,3.0,20.0,3.0,3.0,6.0,5.0
squirrel,7.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,8.0,9.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,6.0,2.0,3.0,20.0,3.0,4.0,3.0
tiger,9.0,4.0,4.0,12.0,4.0,7.0,8.0,4.0,6.0,3.0,8.0,5.0,4.0,4.0,9.0,5.0,8.0,16.0,6.0,3.0,2.0,4.0,10.0,5.0,6.0,3.0,3.0,20.0,12.0,5.0
wolf,3.0,3.0,4.0,9.0,5.0,7.0,14.0,5.0,9.0,8.0,18.0,3.0,2.0,3.0,7.0,6.0,5.0,10.0,5.0,4.0,3.0,6.0,9.0,3.0,2.0,6.0,4.0,12.0,20.0,6.0
zebra,5.0,4.0,13.0,4.0,7.0,14.0,5.0,6.0,12.0,11.0,5.0,13.0,3.0,4.0,13.0,14.0,4.0,9.0,12.0,7.0,2.0,2.0,6.0,3.0,12.0,5.0,3.0,5.0,6.0,20.0
