exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,3.0,6.0,5.0,3.0,7.0,6.0,15.0,2.0,2.0,5.0,4.0,6.0,6.0,5.0,4.0,2.0,3.0,4.0,5.0,7.0,4.0,3.0,4.0,6.0,8.0,6.0,3.0,6.0,4.0
beaver,3.0,20.0,10.0,5.0,4.0,2.0,5.0,6.0,4.0,4.0,5.0,5.0,6.0,3.0,2.0,6.0,3.0,17.0,2.0,7.0,7.0,3.0,20.0,3.0,12.0,4.0,4.0,3.0,6.0,5.0
bison,6.0,10.0,20.0,3.0,7.0,5.0,4.0,3.0,1.0,6.0,7.0,3.0,3.0,5.0,6.0,3.0,2.0,2.0,10.0,3.0,4.0,6.0,2.0,3.0,5.0,9.0,8.0,5.0,4.0,7.0
cat,5.0,5.0,3.0,20.0,2.0,4.0,13.0,5.0,12.0,5.0,6.0,6.0,15.0,2.0,2.0,8.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,6.0,2.0,3.0,3.0,2.0,3.0,1.0
cow,3.0,4.0,7.0,2.0,20.0,8.0,3.0,7.0,6.0,8.0,5.0,5.0,2.0,6.0,7.0,10.0,6.0,5.0,5.0,10.0,1.0,10.0,2.0,6.0,9.0,2.0,5.0,5.0,5.0,2.0
deer,7.0,2.0,5.0,4.0,8.0,20.0,3.0,14.0,6.0,7.0,2.0,10.0,3.0,3.0,3.0,3.0,9.0,6.0,5.0,3.0,3.0,5.0,5.0,3.0,7.0,5.0,5.0,5.0,8.0,1.0
dog,6.0,5.0,4.0,13.0,3.0,3.0,20.0,7.0,9.0,15.0,2.0,4.0,3.0,4.0,10.0,4.0,6.0,3.0,2.0,6.0,4.0,8.0,1.0,10.0,7.0,4.0,4.0,5.0,4.0,5.0
donkey,15.0,6.0,3.0,5.0,7.0,14.0,7.0,20.0,4.0,3.0,3.0,3.0,2.0,5.0,1.0,10.0,4.0,3.0,5.0,4.0,2.0,4.0,7.0,5.0,4.0,6.0,3.0,5.0,10.0,9.0
dromedary,2.0,4.0,1.0,12.0,6.0,6.0,9.0,4.0,20.0,5.0,5.0,3.0,3.0,6.0,3.0,1.0,2.0,7.0,4.0,10.0,2.0,10.0,4.0,3.0,4.0,4.0,15.0,4.0,4.0,4.0
elephant,2.0,4.0,6.0,5.0,8.0,7.0,15.0,3.0,5.0,20.0,6.0,6.0,5.0,14.0,6.0,7.0,6.0,3.0,5.0,3.0,5.0,3.0,10.0,3.0,1.0,1.0,3.0,4.0,2.0,6.0
