exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,4.0,4.0,8.0,7.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,11.0,11.0,7.0,6.0,4.0,4.0,4.0,10.0,9.0,7.0,5.0,8.0,4.0,5.0,10.0,4.0,8.0,5.0
beaver,4.0,20.0,6.0,10.0,5.0,7.0,4.0,6.0,5.0,4.0,11.0,4.0,11.0,12.0,6.0,6.0,12.0,5.0,5.0,9.0,13.0,6.0,8.0,15.0,5.0,7.0,11.0,7.0,7.0,4.0
bison,4.0,6.0,20.0,8.0,14.0,13.0,9.0,12.0,13.0,11.0,6.0,11.0,4.0,4.0,8.0,9.0,11.0,11.0,12.0,9.0,4.0,9.0,8.0,5.0,10.0,11.0,4.0,9.0,14.0,8.0
cat,8.0,10.0,8.0,20.0,7.0,8.0,11.0,10.0,9.0,3.0,14.0,4.0,8.0,10.0,6.0,8.0,7.0,17.0,4.0,11.0,8.0,8.0,8.0,7.0,4.0,5.0,11.0,15.0,10.0,8.0
cow,7.0,5.0,14.0,7.0,20.0,12.0,7.0,13.0,12.0,6.0,8.0,9.0,2.0,3.0,14.0,11.0,11.0,11.0,12.0,4.0,6.0,11.0,8.0,4.0,12.0,9.0,5.0,9.0,11.0,13.0
deer,5.0,7.0,13.0,8.0,12.0,20.0,11.0,13.0,14.0,9.0,9.0,9.0,6.0,10.0,7.0,11.0,10.0,8.0,11.0,8.0,4.0,7.0,9.0,5.0,9.0,12.0,4.0,8.0,11.0,13.0
dog,5.0,4.0,9.0,11.0,7.0,11.0,20.0,9.0,10.0,5.0,15.0,8.0,5.0,5.0,4.0,10.0,8.0,12.0,11.0,11.0,11.0,10.0,8.0,9.0,7.0,7.0,9.0,11.0,15.0,8.0
donkey,6.0,6.0,12.0,10.0,13.0,13.0,9.0,20.0,13.0,10.0,6.0,10.0,6.0,7.0,8.0,16.0,9.0,10.0,13.0,8.0,9.0,6.0,9.0,7.0,12.0,11.0,5.0,11.0,11.0,14.0
dromedary,4.0,5.0,13.0,9.0,12.0,14.0,10.0,13.0,20.0,11.0,9.0,11.0,6.0,5.0,14.0,13.0,7.0,11.0,14.0,8.0,5.0,5.0,7.0,7.0,11.0,10.0,5.0,8.0,9.0,12.0
elephant,5.0,4.0,11.0,3.0,6.0,9.0,5.0,10.0,11.0,20.0,5.0,8.0,5.0,4.0,12.0,7.0,5.0,10.0,7.0,8.0,7.0,9.0,6.0,4.0,11.0,8.0,4.0,11.0,7.0,11.0
fox,6.0,11.0,6.0,14.0,8.0,9.0,15.0,6.0,9.0,5.0,20.0,7.0,6.0,11.0,5.0,9.0,10.0,10.0,11.0,7.0,7.0,10.0,10.0,8.0,8.0,10.0,13.0,10.0,14.0,11.0
