exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
Brussels sprouts,20.0,10.0,10.0,9.0,12.0,10.0,14.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,9.0,12.0,9.0,10.0,9.0,13.0,9.0,10.0,9.0,15.0,12.0,10.0,9.0,16.0,11.0
asparagus,10.0,20.0,10.0,12.0,13.0,13.0,9.0,13.0,9.0,8.0,9.0,10.0,11.0,9.0,11.0,14.0,9.0,9.0,11.0,9.0,9.0,10.0,14.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0
beans,10.0,10.0,20.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,12.0,13.0,10.0,9.0,10.0,9.0,14.0,11.0,11.0,13.0
beet,9.0,12.0,9.0,20.0,10.0,16.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,12.0,10.0,14.0,9.0,9.0,13.0,9.0,9.0,10.0,13.0,15.0,10.0,9.0,9.0,8.0,10.0,12.0
black salsify,12.0,13.0,9.0,10.0,20.0,10.0,11.0,12.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,12.0,9.0,7.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0
carrot,10.0,13.0,11.0,16.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,15.0,9.0,9.0,12.0,12.0,12.0,9.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,12.0
cauliflower,14.0,9.0,9.0,11.0,11.0,10.0,20.0,11.0,9.0,10.0,10.0,10.0,8.0,13.0,9.0,11.0,13.0,9.0,13.0,9.0,11.0,9.0,10.0,11.0,17.0,10.0,9.0,9.0,17.0,10.0
celery,10.0,13.0,9.0,11.0,12.0,10.0,11.0,20.0,9.0,8.0,12.0,9.0,13.0,9.0,9.0,12.0,10.0,8.0,14.0,10.0,9.0,9.0,12.0,14.0,12.0,10.0,9.0,9.0,10.0,10.0
chervil,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,20.0,8.0,10.0,10.0,10.0,12.0,10.0,11.0,12.0,9.0,9.0,15.0,10.0,9.0,9.0,11.0,9.0,13.0,10.0,14.0,9.0,10.0
corn,9.0,8.0,11.0,11.0,9.0,10.0,10.0,8.0,8.0,20.0,11.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,12.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0
