exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
Brussels sprouts,20.0,8.0,7.0,8.0,9.0,4.0,8.0,5.0,8.0,3.0,7.0,7.0,18.0,3.0,10.0,6.0,13.0,9.0,9.0,13.0,13.0,6.0,8.0,12.0,9.0,8.0,5.0,4.0,8.0,15.0
asparagus,8.0,20.0,17.0,14.0,17.0,14.0,6.0,15.0,5.0,2.0,13.0,11.0,13.0,3.0,4.0,14.0,6.0,6.0,3.0,6.0,4.0,3.0,9.0,9.0,4.0,4.0,3.0,4.0,5.0,7.0
beans,7.0,17.0,20.0,4.0,13.0,10.0,6.0,11.0,4.0,7.0,11.0,4.0,9.0,4.0,12.0,3.0,9.0,15.0,5.0,3.0,10.0,5.0,10.0,5.0,4.0,6.0,4.0,2.0,4.0,11.0
beet,8.0,14.0,4.0,20.0,17.0,11.0,4.0,6.0,4.0,4.0,3.0,15.0,11.0,4.0,4.0,4.0,11.0,8.0,14.0,7.0,4.0,7.0,13.0,13.0,12.0,3.0,10.0,2.0,6.0,7.0
black salsify,9.0,17.0,13.0,17.0,20.0,6.0,3.0,9.0,7.0,5.0,12.0,5.0,11.0,4.0,8.0,12.0,5.0,9.0,9.0,4.0,2.0,6.0,13.0,13.0,8.0,6.0,6.0,4.0,6.0,6.0
carrot,4.0,14.0,10.0,11.0,6.0,20.0,9.0,13.0,14.0,3.0,10.0,6.0,11.0,6.0,14.0,6.0,4.0,6.0,6.0,14.0,4.0,14.0,9.0,13.0,3.0,7.0,4.0,4.0,2.0,9.0
cauliflower,8.0,6.0,6.0,4.0,3.0,9.0,20.0,4.0,5.0,2.0,5.0,4.0,9.0,6.0,3.0,8.0,15.0,5.0,9.0,4.0,12.0,4.0,9.0,9.0,17.0,6.0,5.0,2.0,17.0,4.0
celery,5.0,15.0,11.0,6.0,9.0,13.0,4.0,20.0,11.0,3.0,13.0,7.0,7.0,5.0,7.0,17.0,10.0,4.0,14.0,8.0,4.0,12.0,4.0,4.0,3.0,5.0,3.0,8.0,16.0,12.0
chervil,8.0,5.0,4.0,4.0,7.0,14.0,5.0,11.0,20.0,7.0,4.0,6.0,4.0,3.0,9.0,13.0,13.0,3.0,3.0,17.0,10.0,4.0,3.0,7.0,2.0,16.0,3.0,16.0,3.0,8.0
corn,3.0,2.0,7.0,4.0,5.0,3.0,2.0,3.0,7.0,20.0,2.0,2.0,2.0,2.0,9.0,2.0,2.0,4.0,3.0,2.0,19.0,2.0,8.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0
