exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,14.0,11.0,10.0,12.0,10.0,19.0,17.0,10.0,10.0,10.0,16.0,16.0,18.0,10.0,9.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,14.0,10.0,10.0
aardbei,14.0,20.0,10.0,10.0,10.0,10.0,14.0,16.0,10.0,10.0,10.0,11.0,17.0,17.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0
abrikoos,11.0,10.0,20.0,11.0,13.0,10.0,11.0,10.0,13.0,17.0,13.0,11.0,10.0,12.0,12.0,11.0,16.0,10.0,12.0,13.0,15.0,14.0,11.0,11.0,19.0,1.0,11.0,16.0,14.0,13.0
ananas,10.0,10.0,11.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,10.0,11.0,11.0,12.0,10.0,11.0,12.0,10.0,10.0,10.0,8.0,10.0,11.0,10.0
appel,12.0,10.0,13.0,10.0,20.0,13.0,13.0,10.0,15.0,15.0,10.0,13.0,10.0,12.0,15.0,9.0,14.0,12.0,14.0,12.0,15.0,13.0,12.0,19.0,16.0,15.0,14.0,14.0,16.0,11.0
banaan,10.0,10.0,10.0,10.0,13.0,20.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,11.0,10.0,8.0,10.0,10.0,10.0
bosbes,19.0,14.0,11.0,10.0,13.0,10.0,20.0,17.0,10.0,10.0,10.0,13.0,17.0,16.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,16.0,10.0,10.0
braambessen,17.0,16.0,10.0,10.0,10.0,10.0,17.0,20.0,10.0,10.0,10.0,12.0,19.0,15.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0
citroen,10.0,10.0,13.0,10.0,15.0,10.0,10.0,10.0,20.0,18.0,10.0,10.0,10.0,10.0,10.0,10.0,19.0,10.0,14.0,12.0,12.0,10.0,12.0,10.0,12.0,18.0,11.0,12.0,18.0,11.0
clementine,10.0,10.0,17.0,10.0,15.0,11.0,10.0,10.0,18.0,20.0,12.0,11.0,10.0,10.0,10.0,8.0,12.0,11.0,11.0,12.0,13.0,12.0,10.0,11.0,5.0,16.0,9.0,13.0,18.0,12.0
dadels,10.0,10.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,20.0,11.0,10.0,10.0,13.0,12.0,10.0,12.0,11.0,10.0,13.0,13.0,10.0,13.0,11.0,10.0,10.0,15.0,10.0,19.0
druif,16.0,11.0,11.0,10.0,13.0,10.0,13.0,12.0,10.0,11.0,11.0,20.0,10.0,18.0,13.0,9.0,10.0,17.0,12.0,12.0,10.0,10.0,10.0,10.0,12.0,11.0,9.0,14.0,12.0,11.0
framboos,16.0,17.0,10.0,10.0,10.0,10.0,17.0,19.0,10.0,10.0,10.0,10.0,20.0,17.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,8.0,10.0,10.0,10.0
kers,18.0,17.0,12.0,10.0,12.0,10.0,16.0,15.0,10.0,10.0,10.0,18.0,17.0,20.0,11.0,8.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,15.0,10.0,10.0
kiwi,10.0,10.0,12.0,10.0,15.0,10.0,10.0,10.0,10.0,10.0,13.0,13.0,10.0,11.0,20.0,15.0,14.0,11.0,13.0,10.0,10.0,10.0,14.0,14.0,11.0,10.0,9.0,12.0,10.0,14.0
kokosnoot,9.0,9.0,11.0,14.0,9.0,7.0,9.0,9.0,10.0,8.0,12.0,9.0,9.0,8.0,15.0,20.0,9.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,12.0
limoen,10.0,10.0,16.0,10.0,14.0,10.0,10.0,10.0,19.0,12.0,10.0,10.0,10.0,10.0,14.0,9.0,20.0,10.0,12.0,13.0,12.0,14.0,10.0,10.0,11.0,17.0,11.0,12.0,17.0,15.0
lychee,12.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,12.0,17.0,12.0,10.0,11.0,11.0,10.0,20.0,10.0,10.0,10.0,12.0,14.0,10.0,11.0,10.0,10.0,10.0,10.0,15.0
mango,10.0,10.0,12.0,11.0,14.0,10.0,10.0,10.0,14.0,11.0,11.0,12.0,10.0,11.0,13.0,9.0,12.0,10.0,20.0,15.0,14.0,18.0,14.0,11.0,15.0,10.0,12.0,13.0,13.0,10.0
meloen,10.0,10.0,13.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0,10.0,13.0,10.0,15.0,20.0,13.0,10.0,10.0,10.0,12.0,16.0,18.0,10.0,12.0,10.0
