exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,12.0,12.0,14.0,6.0,10.0,15.0,17.0,9.0,8.0,7.0,14.0,12.0,7.0,11.0,9.0,7.0,8.0,14.0,7.0,8.0,8.0,9.0,9.0,5.0,14.0,8.0,14.0,9.0,8.0
aardbei,12.0,20.0,8.0,10.0,10.0,9.0,12.0,9.0,6.0,8.0,8.0,10.0,5.0,11.0,11.0,6.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,6.0,9.0,8.0,9.0,7.0,6.0
abrikoos,12.0,8.0,20.0,8.0,9.0,4.0,11.0,10.0,4.0,8.0,6.0,7.0,12.0,6.0,6.0,7.0,7.0,6.0,7.0,9.0,12.0,12.0,7.0,8.0,14.0,10.0,4.0,15.0,8.0,6.0
ananas,14.0,10.0,8.0,20.0,9.0,15.0,6.0,9.0,12.0,7.0,4.0,8.0,7.0,8.0,8.0,17.0,10.0,9.0,9.0,9.0,9.0,9.0,5.0,11.0,11.0,10.0,16.0,5.0,9.0,5.0
appel,6.0,10.0,9.0,9.0,20.0,15.0,9.0,8.0,8.0,5.0,7.0,9.0,6.0,9.0,9.0,8.0,8.0,7.0,9.0,10.0,10.0,5.0,4.0,15.0,11.0,9.0,6.0,11.0,12.0,8.0
banaan,10.0,9.0,4.0,15.0,15.0,20.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,8.0,9.0,6.0,6.0,10.0,7.0,9.0,11.0,7.0,11.0,13.0,11.0,9.0,9.0,8.0,6.0,5.0
bosbes,15.0,12.0,11.0,6.0,9.0,9.0,20.0,16.0,5.0,8.0,8.0,9.0,15.0,11.0,9.0,6.0,4.0,9.0,8.0,8.0,10.0,8.0,11.0,6.0,9.0,8.0,11.0,9.0,7.0,7.0
braambessen,17.0,9.0,10.0,9.0,8.0,9.0,16.0,20.0,9.0,10.0,8.0,9.0,17.0,9.0,7.0,14.0,9.0,6.0,7.0,9.0,7.0,7.0,5.0,7.0,10.0,8.0,12.0,10.0,5.0,8.0
citroen,9.0,6.0,4.0,12.0,8.0,9.0,5.0,9.0,20.0,12.0,6.0,7.0,6.0,4.0,9.0,4.0,18.0,8.0,9.0,10.0,6.0,5.0,6.0,4.0,6.0,16.0,4.0,4.0,17.0,7.0
clementine,8.0,8.0,8.0,7.0,5.0,9.0,8.0,10.0,12.0,20.0,2.0,6.0,8.0,8.0,9.0,6.0,10.0,9.0,13.0,9.0,11.0,11.0,8.0,9.0,10.0,15.0,15.0,9.0,17.0,4.0
dadels,7.0,8.0,6.0,4.0,7.0,5.0,8.0,8.0,6.0,2.0,20.0,6.0,7.0,6.0,6.0,9.0,4.0,9.0,5.0,4.0,4.0,4.0,8.0,9.0,6.0,9.0,4.0,13.0,4.0,11.0
druif,14.0,10.0,7.0,8.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,20.0,10.0,14.0,7.0,6.0,7.0,6.0,10.0,9.0,11.0,9.0,8.0,6.0,12.0,10.0,5.0,9.0,9.0,14.0
framboos,12.0,5.0,12.0,7.0,6.0,9.0,15.0,17.0,6.0,8.0,7.0,10.0,20.0,13.0,6.0,4.0,10.0,6.0,10.0,9.0,11.0,9.0,7.0,8.0,9.0,11.0,7.0,7.0,9.0,2.0
kers,7.0,11.0,6.0,8.0,9.0,8.0,11.0,9.0,4.0,8.0,6.0,14.0,13.0,20.0,4.0,7.0,9.0,10.0,12.0,13.0,12.0,8.0,9.0,9.0,13.0,4.0,8.0,10.0,10.0,9.0
kiwi,11.0,11.0,6.0,8.0,9.0,9.0,9.0,7.0,9.0,9.0,6.0,7.0,6.0,4.0,20.0,9.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,9.0,4.0,8.0,9.0,8.0
kokosnoot,9.0,6.0,7.0,17.0,8.0,6.0,6.0,14.0,4.0,6.0,9.0,6.0,4.0,7.0,9.0,20.0,5.0,9.0,9.0,7.0,9.0,9.0,6.0,4.0,10.0,6.0,4.0,5.0,7.0,9.0
limoen,7.0,10.0,7.0,10.0,8.0,6.0,4.0,9.0,18.0,10.0,4.0,7.0,10.0,9.0,9.0,5.0,20.0,13.0,7.0,10.0,6.0,6.0,7.0,8.0,6.0,8.0,4.0,10.0,14.0,7.0
lychee,8.0,9.0,6.0,9.0,7.0,10.0,9.0,6.0,8.0,9.0,9.0,6.0,6.0,10.0,10.0,9.0,13.0,20.0,8.0,7.0,9.0,8.0,9.0,4.0,8.0,5.0,6.0,14.0,5.0,13.0
mango,14.0,8.0,7.0,9.0,9.0,7.0,8.0,7.0,9.0,13.0,5.0,10.0,10.0,12.0,8.0,9.0,7.0,8.0,20.0,10.0,14.0,7.0,13.0,8.0,11.0,8.0,9.0,5.0,12.0,9.0
meloen,7.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,4.0,9.0,9.0,13.0,8.0,7.0,10.0,7.0,10.0,20.0,8.0,11.0,8.0,10.0,8.0,9.0,8.0,10.0,10.0,4.0
nectarine,8.0,9.0,12.0,9.0,10.0,11.0,10.0,7.0,6.0,11.0,4.0,11.0,11.0,12.0,8.0,9.0,6.0,9.0,14.0,8.0,20.0,7.0,7.0,9.0,17.0,9.0,9.0,11.0,13.0,8.0
