exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,8.0,10.0,2.0,4.0,2.0,4.0,30.0,2.0,6.0,4.0,2.0,4.0,36.0,20.0,10.0,2.0,2.0,-2.0,4.0,4.0,20.0,10.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0
aardbei,8.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
abrikoos,10.0,2.0,20.0,2.0,30.0,2.0,4.0,2.0,20.0,2.0,30.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,-2.0,24.0,10.0,20.0,4.0,24.0,14.0,10.0,2.0,36.0,14.0,30.0
ananas,2.0,2.0,2.0,20.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
appel,4.0,2.0,30.0,2.0,20.0,2.0,4.0,2.0,10.0,2.0,10.0,2.0,4.0,4.0,6.0,4.0,2.0,10.0,-2.0,16.0,20.0,2.0,4.0,4.0,4.0,2.0,2.0,8.0,10.0,6.0
banaan,2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
bosbes,4.0,2.0,4.0,2.0,4.0,2.0,20.0,36.0,2.0,4.0,2.0,2.0,36.0,30.0,30.0,4.0,2.0,2.0,-2.0,2.0,10.0,30.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0
braambessen,30.0,2.0,2.0,2.0,2.0,2.0,36.0,20.0,2.0,22.0,2.0,2.0,36.0,40.0,30.0,4.0,2.0,2.0,-2.0,4.0,2.0,16.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0
citroen,2.0,2.0,20.0,4.0,10.0,2.0,2.0,2.0,20.0,2.0,10.0,2.0,4.0,4.0,4.0,6.0,2.0,34.0,-2.0,10.0,20.0,6.0,4.0,10.0,2.0,20.0,2.0,10.0,10.0,10.0
clementine,6.0,2.0,2.0,2.0,2.0,2.0,4.0,22.0,2.0,20.0,2.0,36.0,2.0,4.0,2.0,16.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
dadels,4.0,2.0,30.0,2.0,10.0,2.0,2.0,2.0,10.0,2.0,20.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,-2.0,24.0,10.0,4.0,14.0,22.0,4.0,6.0,2.0,24.0,20.0,36.0
druif,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,36.0,2.0,20.0,34.0,2.0,2.0,2.0,4.0,2.0,-2.0,2.0,2.0,30.0,2.0,2.0,2.0,32.0,2.0,8.0,2.0,2.0
framboos,4.0,2.0,4.0,2.0,4.0,2.0,36.0,36.0,4.0,2.0,4.0,34.0,20.0,20.0,32.0,4.0,20.0,2.0,-2.0,2.0,2.0,34.0,2.0,6.0,20.0,2.0,2.0,10.0,2.0,4.0
kers,36.0,2.0,2.0,2.0,4.0,2.0,30.0,40.0,4.0,4.0,4.0,2.0,20.0,20.0,20.0,2.0,2.0,2.0,-2.0,4.0,2.0,14.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0
kiwi,20.0,2.0,4.0,2.0,6.0,2.0,30.0,30.0,4.0,2.0,4.0,2.0,32.0,20.0,20.0,10.0,10.0,4.0,-2.0,4.0,4.0,30.0,4.0,4.0,20.0,2.0,2.0,10.0,4.0,6.0
kokosnoot,10.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,6.0,16.0,4.0,2.0,4.0,2.0,10.0,20.0,36.0,4.0,-2.0,2.0,2.0,30.0,4.0,2.0,4.0,14.0,10.0,2.0,2.0,10.0
limoen,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,20.0,2.0,10.0,36.0,20.0,2.0,-2.0,4.0,2.0,10.0,2.0,2.0,2.0,4.0,2.0,2.0,10.0,2.0
lychee,2.0,2.0,4.0,2.0,10.0,2.0,2.0,2.0,34.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,20.0,-2.0,10.0,4.0,10.0,4.0,10.0,6.0,10.0,2.0,6.0,4.0,10.0
mango,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,20.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
meloen,4.0,2.0,24.0,2.0,16.0,2.0,2.0,4.0,10.0,2.0,24.0,2.0,2.0,4.0,4.0,2.0,4.0,10.0,-2.0,20.0,20.0,24.0,6.0,30.0,36.0,4.0,2.0,24.0,28.0,36.0
nectarine,4.0,2.0,10.0,2.0,20.0,2.0,10.0,2.0,20.0,2.0,10.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,-2.0,20.0,20.0,20.0,20.0,6.0,4.0,6.0,2.0,10.0,14.0,10.0
papaya,20.0,2.0,20.0,2.0,2.0,2.0,30.0,16.0,6.0,2.0,4.0,30.0,34.0,14.0,30.0,30.0,10.0,10.0,-2.0,24.0,20.0,20.0,20.0,20.0,4.0,16.0,2.0,20.0,4.0,4.0
passievrucht,10.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,14.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,-2.0,6.0,20.0,20.0,20.0,14.0,20.0,10.0,2.0,10.0,20.0,10.0
peer,2.0,2.0,24.0,2.0,4.0,2.0,4.0,4.0,10.0,2.0,22.0,2.0,6.0,2.0,4.0,2.0,2.0,10.0,-2.0,30.0,6.0,20.0,14.0,20.0,6.0,6.0,2.0,30.0,20.0,36.0
perzik,2.0,4.0,14.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,20.0,2.0,20.0,4.0,2.0,6.0,-2.0,36.0,4.0,4.0,20.0,6.0,20.0,8.0,2.0,20.0,4.0,14.0
pompelmoes,2.0,2.0,10.0,2.0,2.0,2.0,2.0,4.0,20.0,2.0,6.0,32.0,2.0,2.0,2.0,14.0,4.0,10.0,-2.0,4.0,6.0,16.0,10.0,6.0,8.0,20.0,4.0,4.0,20.0,10.0
pompoen,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,20.0,2.0,2.0,2.0
pruim,4.0,2.0,36.0,2.0,8.0,2.0,4.0,4.0,10.0,4.0,24.0,8.0,10.0,6.0,10.0,2.0,2.0,6.0,-2.0,24.0,10.0,20.0,10.0,30.0,20.0,4.0,2.0,20.0,36.0,24.0
sinaasappel,4.0,2.0,14.0,2.0,10.0,2.0,2.0,2.0,10.0,2.0,20.0,2.0,2.0,2.0,4.0,2.0,10.0,4.0,-2.0,28.0,14.0,4.0,20.0,20.0,4.0,20.0,2.0,36.0,20.0,36.0
vijg,10.0,2.0,30.0,2.0,6.0,2.0,4.0,4.0,10.0,2.0,36.0,2.0,4.0,2.0,6.0,10.0,2.0,10.0,-2.0,36.0,10.0,4.0,10.0,36.0,14.0,10.0,2.0,24.0,36.0,20.0
